team_id,class,team_name,rank,1試合平均走行距離
001,J1,鹿島アントラーズ,15,115
002,J1,川崎フロンターレ,19,114
003,J1,セレッソ大阪,1,124
004,J1,清水エスパルス,13,116
005,J1,京都サンガF.C.,5,119
006,J1,浦和レッズ,5,119
007,J1,名古屋グランパス,13,116
008,J1,柏レイソル,2,122
009,J1,ＦＣ町田ゼルビア,12,117
010,J1,ガンバ大阪,15,115
011,J1,アビスパ福岡,8,118
012,J1,アルビレックス新潟,3,121
013,J1,サンフレッチェ広島,20,113
014,J1,横浜Ｆ・マリノス,8,118
015,J1,ヴィッセル神戸,15,115
016,J1,ファジアーノ岡山,5,119
017,J1,湘南ベルマーレ,8,118
018,J1,ＦＣ東京,8,118
019,J1,東京ヴェルディ,4,120
020,J1,横浜ＦＣ,15,115
