team_id,class,team_name,rank,クリーンシート総数
001,J1,鹿島アントラーズ,7,4
002,J1,川崎フロンターレ,2,5
003,J1,セレッソ大阪,19,1
004,J1,清水エスパルス,11,3
005,J1,京都サンガF.C.,11,3
006,J1,浦和レッズ,7,4
007,J1,名古屋グランパス,19,1
008,J1,柏レイソル,2,5
009,J1,ＦＣ町田ゼルビア,7,4
010,J1,ガンバ大阪,11,3
011,J1,アビスパ福岡,2,5
012,J1,アルビレックス新潟,18,2
013,J1,サンフレッチェ広島,11,3
014,J1,横浜Ｆ・マリノス,11,3
015,J1,ヴィッセル神戸,7,4
016,J1,ファジアーノ岡山,1,6
017,J1,湘南ベルマーレ,11,3
018,J1,ＦＣ東京,11,3
019,J1,東京ヴェルディ,2,5
020,J1,横浜ＦＣ,2,5
