team_id,class,team_name,rank,1試合平均被ゴール期待値
001,J1,鹿島アントラーズ,5,1.3
002,J1,川崎フロンターレ,14,0.9
003,J1,セレッソ大阪,6,1.2
004,J1,清水エスパルス,8,1.2
005,J1,京都サンガF.C.,3,1.3
006,J1,浦和レッズ,11,1.1
007,J1,名古屋グランパス,1,1.3
008,J1,柏レイソル,4,1.3
009,J1,ＦＣ町田ゼルビア,18,0.9
010,J1,ガンバ大阪,15,0.9
011,J1,アビスパ福岡,17,0.9
012,J1,アルビレックス新潟,7,1.2
013,J1,サンフレッチェ広島,20,0.8
014,J1,横浜Ｆ・マリノス,2,1.3
015,J1,ヴィッセル神戸,16,0.9
016,J1,ファジアーノ岡山,10,1.1
017,J1,湘南ベルマーレ,12,1.1
018,J1,ＦＣ東京,9,1.2
019,J1,東京ヴェルディ,13,1.0
020,J1,横浜ＦＣ,19,0.8
