team_id,class,team_name,rank,1試合平均得点数
001,J1,鹿島アントラーズ,1,1.6
002,J1,川崎フロンターレ,1,1.6
003,J1,セレッソ大阪,5,1.3
004,J1,清水エスパルス,3,1.4
005,J1,京都サンガF.C.,3,1.4
006,J1,浦和レッズ,6,1.1
007,J1,名古屋グランパス,6,1.1
008,J1,柏レイソル,6,1.1
009,J1,ＦＣ町田ゼルビア,10,1.0
010,J1,ガンバ大阪,10,1.0
011,J1,アビスパ福岡,6,1.1
012,J1,アルビレックス新潟,10,1.0
013,J1,サンフレッチェ広島,13,0.9
014,J1,横浜Ｆ・マリノス,13,0.9
015,J1,ヴィッセル神戸,13,0.9
016,J1,ファジアーノ岡山,13,0.9
017,J1,湘南ベルマーレ,18,0.8
018,J1,ＦＣ東京,13,0.9
019,J1,東京ヴェルディ,19,0.7
020,J1,横浜ＦＣ,19,0.7
