team_id,class,team_name,rank,1試合平均Dtスプリント回数
001,J1,鹿島アントラーズ,9,37
002,J1,川崎フロンターレ,16,34
003,J1,セレッソ大阪,9,37
004,J1,清水エスパルス,5,40
005,J1,京都サンガF.C.,1,56
006,J1,浦和レッズ,2,45
007,J1,名古屋グランパス,7,38
008,J1,柏レイソル,14,36
009,J1,ＦＣ町田ゼルビア,9,37
010,J1,ガンバ大阪,14,36
011,J1,アビスパ福岡,18,32
012,J1,アルビレックス新潟,17,33
013,J1,サンフレッチェ広島,20,31
014,J1,横浜Ｆ・マリノス,9,37
015,J1,ヴィッセル神戸,18,32
016,J1,ファジアーノ岡山,3,42
017,J1,湘南ベルマーレ,4,41
018,J1,ＦＣ東京,7,38
019,J1,東京ヴェルディ,5,40
020,J1,横浜ＦＣ,9,37
