league,match_type,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,elo_diff_mean,xg_diff_mean,rank_gap_mean
J1,away_strong,27,13,0.48148148148148145,1,5,21,7,5,15,-48.3977111111111,-3.688888888888889,9.222222222222221
J1,home_strong,25,14,0.56,8,17,0,16,7,2,38.021575999999996,3.6920000000000006,-8.84
J1,signal_conflict,11,1,0.09090909090909091,0,11,0,7,1,3,-10.193627272727275,0.15454545454545457,0.45454545454545453
J1,neutral,6,1,0.16666666666666666,0,6,0,3,1,2,-1.8217666666666663,-0.9333333333333332,1.6666666666666667
J1,close_match,1,1,1.0,0,1,0,0,1,0,-18.7269,0.9000000000000004,-1.0
