match_type,lab_basis_hint,rows,hit_rate,pred_D_rate,actual_D_rate,confidence_base_mean,confidence_lab_mean,confidence_main_mean,weight_main_mean
home_strong,basis_balanced,33,0.45454545454545453,0.030303030303030304,0.15151515151515152,0.49873680824882893,0.6763043530149777,0.594862710606114,0.07138352527273362
away_strong,basis_balanced,22,0.3181818181818182,0.0,0.36363636363636365,0.8947737066689523,0.6783960016511338,0.4442782543957225,0.053313390527486654
neutral,basis_balanced,13,0.15384615384615385,1.0,0.15384615384615385,0.531908932291512,0.7291294857778501,0.4857096746038164,0.05828516095245792
home_strong,draw_compressed,13,0.23076923076923078,0.0,0.5384615384615384,0.4948185035831454,0.7596793833544517,0.6014825021078012,0.0721779002529361
home_strong,side_strong,2,1.0,0.0,0.0,0.5669206274603906,0.3631042450214994,0.4626197500639872,0.05551437000767841
away_strong,draw_compressed,1,0.0,0.0,0.0,0.6377998877770829,0.7650887878360114,0.5714399912531396,0.0685727989503767
neutral,split_side,1,0.0,1.0,0.0,0.4578561466262089,0.7134599007568211,0.5799316169680238,0.0695917940361628
signal_conflict,basis_balanced,1,0.0,0.0,1.0,0.6088262287279328,0.7458017623092085,0.4962555570935764,0.0595506668512291
signal_conflict,split_side,1,0.0,0.0,0.0,0.6605317690458183,0.7021056480085998,0.5352615824009316,0.0642313898881117
