match_id,league,節,home_team,away_team,actual_result,predicted_result,draw_candidate_rule_result,draw_candidate_flag,draw_candidate_reason,prob_home_win,prob_draw,prob_away_win,draw_candidate_gap
j2_2026_08081903_宮崎_横浜FC,j2,第１節第１日,宮崎,横浜FC,A,D,D,True,prob_draw>=0.33 & gap<=0.02,0.3365872021369505,0.340694960413066,0.3227178374499836,-0.004107758276115536
j2_2026_08151803_栃木C_八戸,j2,第２節第１日,栃木Ｃ,八戸,H,A,D,True,prob_draw>=0.33 & gap<=0.02,0.31282223051551894,0.3404474779288075,0.34673029155567364,0.006282813626866168
j2_2026_08151903_新潟_札幌,j2,第２節第１日,新潟,札幌,H,A,D,True,prob_draw>=0.33 & gap<=0.02,0.30724078716300646,0.34021404704224395,0.35254516579474965,0.012331118752505699
j2_2026_08151903_湘南_山形,j2,第２節第１日,湘南,山形,H,A,D,True,prob_draw>=0.33 & gap<=0.02,0.3069234048979418,0.34019870306486194,0.35287789203719633,0.012679188972334388
j2_2026_08221703_八戸_仙台,j2,第３節第１日,八戸,仙台,A,A,D,True,prob_draw>=0.33 & gap<=0.02,0.3013901748569131,0.3398949239607214,0.3587149011823655,0.01881997722164408
j2_2026_08221803_秋田_甲府,j2,第３節第１日,秋田,甲府,H,H,D,True,prob_draw>=0.33 & gap<=0.02,0.3543183479421379,0.3401298112474908,0.3055518408103714,0.014188536694647091
j2_2026_08221903_山形_横浜FC,j2,第３節第１日,山形,横浜FC,H,D,D,True,prob_draw>=0.33 & gap<=0.02,0.3346984124078366,0.340718232107336,0.3245833554848274,-0.006019819699499385
j2_2026_08221903_磐田_徳島,j2,第３節第１日,磐田,徳島,H,D,D,True,prob_draw>=0.33 & gap<=0.02,0.32012958668924346,0.34065048449740276,0.33921992881335383,-0.0014305556840489286
j2_2026_08291803_いわき_新潟,j2,第４節第１日,いわき,新潟,A,H,D,True,prob_draw>=0.33 & gap<=0.02,0.3513216387279696,0.340268629250797,0.3084097320212334,0.011053009477172637
j2_2026_08291833_八戸_秋田,j2,第４節第１日,八戸,秋田,H,H,D,True,prob_draw>=0.33 & gap<=0.02,0.35936620289855775,0.3398569928910838,0.3007768042103584,0.019509210007473965
j2_2026_08291833_富山_藤枝,j2,第４節第１日,富山,藤枝,A,D,D,True,prob_draw>=0.33 & gap<=0.02,0.3294537269538958,0.3407446425801608,0.3298016304659434,-0.010943012114217388
j2_2026_08291903_横浜FC_鳥栖,j2,第４節第１日,横浜FC,鳥栖,D,D,D,True,prob_draw>=0.33 & gap<=0.02,0.32718703156739537,0.34073850067144085,0.3320744677611638,-0.008664032910277064
j2_2026_09051903_湘南_仙台,j2,第５節第１日,湘南,仙台,A,A,D,True,prob_draw>=0.33 & gap<=0.02,0.3057228781703456,0.3401386315831897,0.35413849024646477,0.013999858663275078
j2_2026_09061303_札幌_栃木C,j2,第５節第２日,札幌,栃木Ｃ,A,A,D,True,prob_draw>=0.33 & gap<=0.02,0.30884350705565955,0.3402881128214096,0.3508683801229309,0.01058026730152134
j2_2026_09061803_横浜FC_新潟,j2,第５節第２日,横浜FC,新潟,H,D,D,True,prob_draw>=0.33 & gap<=0.02,0.32338739969442815,0.3407041567009145,0.33590844360465727,-0.004795713096257204
j2_2026_09121804_いわき_横浜FC,j2,第６節第１日,いわき,横浜FC,H,A,D,True,prob_draw>=0.33 & gap<=0.02,0.3106045818929957,0.3403629440225236,0.3490324740844806,0.008669530061957031
j2_2026_09121835_八戸_湘南,j2,第６節第１日,八戸,湘南,A,D,D,True,prob_draw>=0.33 & gap<=0.02,0.3197594638037858,0.340642960636938,0.33959757555927617,-0.0010453850776618312
j2_2026_09121905_宮崎_藤枝,j2,第６節第１日,宮崎,藤枝,H,D,D,True,prob_draw>=0.33 & gap<=0.02,0.3383590002254365,0.34066656555919544,0.32097443421536814,-0.002307565333758921
j2_2026_09131805_新潟_山形,j2,第６節第２日,新潟,山形,H,A,D,True,prob_draw>=0.33 & gap<=0.02,0.31637924354494884,0.3405606810643446,0.3430600753907065,0.00249939432636187
j2_2026_09181303_八戸_宮崎,j2,第７節第１日,八戸,宮崎,A,H,D,True,prob_draw>=0.33 & gap<=0.02,0.3443586302494644,0.3405236720046172,0.31511769774591847,0.0038349582448471975
