cluster_type,cluster_label,overlap_subtype,matches,all_same_matches,all_miss_matches,portfolio_hit_rate,avg_topology_asymmetry,avg_admission_draw,avg_escape_draw,avg_escape_home,avg_escape_away,avg_p_draw
shape,draw_core,non_overlap,5,0,0,1.0,0.21121247248970776,0.6288767638731538,0.6813493196415619,0.33566205766760254,0.30436492946861743,0.40865139400028844
shape,hold_core,non_overlap,4,0,0,1.0,0.19019690554042123,0.6227244776265325,0.6826813610832618,0.33094842502167626,0.30589881145331255,0.3847065106954041
shape,low_tempo_draw,non_overlap,2,0,0,1.0,0.02126073537039665,0.7195501649920042,0.8007216161704183,0.2596070805483253,0.18005150304533116,0.4712127262718687
shape,neutral,non_overlap,1,0,0,1.0,0.5269368706048889,0.4824553251243098,0.4779405995879515,0.4132419205972745,0.521126830159167,0.2039038404667078
lab,draw_core,non_overlap,5,0,0,1.0,0.21121247248970776,0.6288767638731538,0.6813493196415619,0.33566205766760254,0.30436492946861743,0.40865139400028844
lab,hold_core,non_overlap,4,0,0,1.0,0.19019690554042123,0.6227244776265325,0.6826813610832618,0.33094842502167626,0.30589881145331255,0.3847065106954041
lab,low_tempo_draw,non_overlap,2,0,0,1.0,0.02126073537039665,0.7195501649920042,0.8007216161704183,0.2596070805483253,0.18005150304533116,0.4712127262718687
lab,neutral,non_overlap,1,0,0,1.0,0.5269368706048889,0.4824553251243098,0.4779405995879515,0.4132419205972745,0.521126830159167,0.2039038404667078
