league,match_type,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,elo_diff_mean,xg_diff_mean,rank_gap_mean
J2,away_strong,124,59,0.47580645161290325,12,21,91,29,29,66,-37.2962620967742,-9.99274193548387,9.0
J2,home_strong,123,64,0.5203252032520326,103,14,6,70,35,18,42.65332195121951,10.056097560975608,-8.788617886178862
J2,neutral,83,22,0.26506024096385544,42,16,25,25,26,32,4.333563855421687,0.31445783132530114,-0.18072289156626506
J2,signal_conflict,50,12,0.24,21,14,15,19,18,13,2.783368,-0.4779999999999997,-0.4
