節,matches,hit_argmax,hit_rate_argmax,avg_max_prob,pred_H_count,pred_D_count,pred_A_count,actual_H_count,actual_D_count,actual_A_count
第１節第１日,7,0,0.0,0.340694960413066,0,7,0,4,0,3
第１節第２日,3,0,0.0,0.340694960413066,0,3,0,1,0,2
第２節第１日,3,1,0.3333333333333333,0.3484905360936505,1,2,0,3,0,0
第２節第２日,7,2,0.2857142857142857,0.34665796100437996,1,4,2,3,3,1
第３節第１日,5,1,0.2,0.3554220265347562,1,3,1,4,0,1
第３節第２日,5,2,0.4,0.35355848154809905,2,1,2,2,2,1
第４節第１日,3,3,1.0,0.35516788680491546,1,1,1,1,1,1
第４節第２日,7,3,0.42857142857142855,0.36297483697964816,2,3,2,2,4,1
第５節第１日,5,2,0.4,0.36819807022184625,3,1,1,4,0,1
第５節第２日,5,4,0.8,0.3598999238853125,2,3,0,1,3,1
第６節第１日,10,5,0.5,0.3633314944961784,3,3,4,3,2,5
第７節第１日,1,0,0.0,0.3506859362388797,1,0,0,0,0,1
第７節第２日,9,2,0.2222222222222222,0.36014350570559533,3,2,4,6,1,2
第８節第１日,8,3,0.375,0.37395600907461224,5,0,3,5,3,0
第８節第２日,2,0,0.0,0.340779229799358,1,1,0,1,1,0
第９節第１日,3,3,1.0,0.35583047170498405,1,1,1,1,1,1
第９節第２日,7,3,0.42857142857142855,0.37283876733194915,3,1,3,0,4,3
第１０節第１日,3,0,0.0,0.38139400754304775,2,0,1,0,2,1
第１０節第２日,7,3,0.42857142857142855,0.3736488052647169,3,1,3,3,1,3
第１１節第１日,8,3,0.375,0.3904802150027452,7,1,0,3,2,3
第１１節第２日,2,2,1.0,0.3760507614721242,1,0,1,1,0,1
第１２節第１日,10,4,0.4,0.3722752044245366,1,2,7,2,4,4
第１３節第１日,10,4,0.4,0.38211450104472744,7,0,3,2,5,3
第１４節第１日,10,4,0.4,0.3746685541734963,3,2,5,2,1,7
第１５節第１日,1,0,0.0,0.34097773241621376,0,0,1,1,0,0
第１５節第２日,9,5,0.5555555555555556,0.38266814626871387,6,1,2,3,5,1
第１６節第１日,7,5,0.7142857142857143,0.3956944980827556,4,0,3,4,1,2
第１６節第２日,3,1,0.3333333333333333,0.38172669693264577,1,0,2,1,0,2
第１７節第１日,7,3,0.42857142857142855,0.3783054025850827,4,0,3,2,2,3
第１８節第１日,9,2,0.2222222222222222,0.3870534998128045,5,4,0,3,5,1
第１８節第２日,1,0,0.0,0.34074394410106834,0,1,0,1,0,0
第１７節第２日,1,1,1.0,0.34074071440573783,0,1,0,0,1,0
第１７節第３日,2,1,0.5,0.4719583377921037,1,0,1,0,1,1
第１９節第１日,1,1,1.0,0.38049430612457125,1,0,0,1,0,0
第１９節第２日,9,4,0.4444444444444444,0.38700469221865563,3,1,5,1,5,3
第２０節第１日,7,3,0.42857142857142855,0.3719818335333219,4,1,2,3,1,3
第２０節第２日,3,1,0.3333333333333333,0.39570522898084176,2,0,1,0,1,2
第２１節第１日,10,4,0.4,0.3912190202443303,4,2,4,3,5,2
第２２節第１日,8,3,0.375,0.4221924920879314,6,1,1,2,0,6
第２２節第２日,2,0,0.0,0.4000857536667123,1,0,1,1,0,1
第２３節第１日,10,5,0.5,0.40755233921250344,4,1,5,6,3,1
第２４節第１日,9,4,0.4444444444444444,0.4040807246232539,5,1,3,2,3,4
第２４節第２日,1,0,0.0,0.5325125646011497,0,0,1,1,0,0
第２５節第１日,5,3,0.6,0.36927843760000373,4,1,0,2,2,1
第２５節第２日,4,2,0.5,0.4176355910202466,1,0,3,1,0,3
第２５節第３日,1,1,1.0,0.4003735060994127,0,0,1,0,0,1
第２６節第１日,7,1,0.14285714285714285,0.40013125269543465,2,0,5,3,1,3
第２６節第２日,3,2,0.6666666666666666,0.40077440252654645,1,1,1,1,0,2
第２７節第１日,8,6,0.75,0.4071560399788694,6,0,2,5,1,2
第２７節第２日,2,1,0.5,0.4205764156259709,1,1,0,2,0,0
第２８節第１日,7,2,0.2857142857142857,0.4141363677059252,4,0,3,3,2,2
第２８節第２日,3,1,0.3333333333333333,0.4690543829751716,1,0,2,1,2,0
第２９節第１日,6,2,0.3333333333333333,0.3564352759476111,2,1,3,1,2,3
第２９節第２日,3,2,0.6666666666666666,0.43476646066995417,2,0,1,3,0,0
第２９節第３日,1,0,0.0,0.44581947940427774,0,0,1,1,0,0
第３０節第１日,10,3,0.3,0.41521514130396164,6,1,3,4,3,3
第３１節第１日,7,2,0.2857142857142857,0.38625983281669757,5,0,2,1,2,4
第３１節第２日,3,2,0.6666666666666666,0.46170069856575374,1,0,2,1,1,1
第３２節第１日,5,1,0.2,0.37979990167961475,3,1,1,0,0,5
第３２節第２日,5,4,0.8,0.426716904013657,2,0,3,1,1,3
第３３節第１日,5,5,1.0,0.43415861648096943,4,0,1,4,0,1
第３３節第２日,5,1,0.2,0.42572071465846484,3,0,2,0,3,2
第３４節第１日,2,0,0.0,0.40601797511276316,1,0,1,0,2,0
第３４節第２日,8,3,0.375,0.38990332441065745,2,2,4,2,2,4
第３５節第１日,10,5,0.5,0.3929932654654556,6,0,4,5,2,3
第３６節第１日,2,2,1.0,0.4790939046147508,1,0,1,1,0,1
第３６節第２日,8,3,0.375,0.44016535281628244,4,0,4,5,1,2
第３７節第１日,10,2,0.2,0.40153177263362894,6,0,4,1,6,3
第３８節第１日,10,4,0.4,0.4108345502022178,5,1,4,6,2,2
