variant,matches,hits,hit_rate,pred_H,pred_D,pred_A,changed_matches,improved_vs_main,worsened_vs_main
predicted_result_main,159,51,0.32075471698113206,1,85,73,,,
predicted_result_type_b,0,0,,0,0,0,,,
predicted_result_type_c,0,0,,0,0,0,,,
main_vs_type_b,159,0,0.0,,,,159,0,0
main_vs_type_c,159,0,0.0,,,,159,0,0
