max_prob_band,matches,hit_argmax,hit_rate_argmax,avg_prob_home_win,avg_prob_draw,avg_prob_away_win
<0.45,67,29,0.43283582089552236,0.33947463396816885,0.3375630661273859,0.3229622999044453
0.45以上0.50未満,6,1,0.16666666666666666,0.38051637186331283,0.3248532610857795,0.2946303670509078
0.50以上,1,0,0.0,0.5155480181586778,0.31000614033293983,0.17444584150838238
