profile,hfa_elo,hfa_prob_weight,matches,hit_argmax,logloss,brier,maxp_gt_050,maxp_lt_045,pred_H,pred_D,pred_A,miss_H_to_A
baseline,42.5,0.675,45,0.37777777777777777,1.1598395328100668,0.7006635127516847,0.044444444444444446,0.8,32,4,9,15
mild_cut,35.0,0.6,45,0.35555555555555557,1.1514572429671512,0.6961061476357787,0.044444444444444446,0.8666666666666667,29,5,11,13
medium_cut,25.0,0.5,45,0.4,1.1429280886858648,0.691416070744592,0.022222222222222223,0.8666666666666667,25,7,13,13
low_cut,15.0,0.4,45,0.4666666666666667,1.1369310626508715,0.6880807294211903,0.022222222222222223,0.8888888888888888,24,5,16,13
hfa_off,0.0,0.0,45,0.4222222222222222,1.1318002026063096,0.6851975360946535,0.022222222222222223,0.9111111111111111,22,4,19,12
