league,basis_hint,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,side_path_mean,draw_support_mean,dispersion_mean,mix_draw_mean
J1,draw_compressed,33,12,0.36363636363636365,4,22,7,17,6,10,0.49526957783549236,0.5850979263377433,0.33667846871483975,0.5327711107677842
J1,flat_draw_trap,20,5,0.25,1,14,5,10,5,5,0.462642041217887,0.6129234048244544,0.3191493115978917,0.5679111106503514
J1,basis_balanced,17,13,0.7647058823529411,4,4,9,6,4,7,0.6008511111653109,0.5466791812363788,0.33656047732237887,0.46645339992970525
