max_prob_band,matches,hit_argmax,hit_rate_argmax,avg_prob_home_win,avg_prob_draw,avg_prob_away_win
<0.45,57,22,0.38596491228070173,0.298994660774505,0.374913681161289,0.32609165806420604
0.45以上0.50未満,7,2,0.2857142857142857,0.2179020368256129,0.3315440050017872,0.4505539581725998
0.50以上,6,6,1.0,0.18194551731031647,0.2584111413606609,0.5596433413290226
