segment,matches,argmax_max_prob_mean,argmax_max_prob_median,prob_home_win_mean,prob_home_win_median,prob_draw_mean,prob_draw_median,prob_away_win_mean,prob_away_win_median,elo_diff_before_hfa_mean,elo_diff_before_hfa_median,hfa_added_to_diff_mean,hfa_added_to_diff_median,elo_diff_after_hfa_mean,elo_diff_after_hfa_median,elo_diff_for_prob_mean,elo_diff_for_prob_median,home_advantage_diff_mean,home_advantage_diff_median,home_advantage_profile_diff_mean,home_advantage_profile_diff_median
all,45,0.40129386229369013,0.3954582560676616,0.3826163774498171,0.3761030753744361,0.3334446904537784,0.3365342246946469,0.2839389320964045,0.2852869143980182,7.87236888888889,4.1323,28.6875,28.6875,36.559868888888886,32.8198,30.57733555555555,27.4493,-0.17473555555555553,-0.2013,-0.17473555555555553,-0.2013
actual_A_all,22,0.40506521447553356,0.3935268548428946,0.3911189351285793,0.3865159510044115,0.3322219213624226,0.33676084425182606,0.276659143508998,0.27591957504158365,14.109722727272723,11.54985,28.6875,28.6875,42.79722272727273,40.23735,35.79403181818182,33.65305,-0.5815863636363635,-0.64035,-0.5815863636363635,-0.64035
actual_A_predH,15,0.4286675207780057,0.4124222577487164,0.4286675207780057,0.4124222577487164,0.3286809641424914,0.3341787888846171,0.2426515150795029,0.2533989533666665,41.26894000000001,29.8784,28.6875,28.6875,69.95644,58.5659,58.50902666666666,48.9824,-0.25264,-0.2055,-0.25264,-0.2055
actual_A_predA,4,0.36479987943071335,0.3594342325779166,0.29608876587750504,0.30079242956273766,0.33911135469178155,0.33977333785934566,0.36479987943071335,0.3594342325779166,-55.186099999999996,-51.3955,28.6875,28.6875,-26.4986,-22.708,-22.162499999999998,-18.9922,-1.0151000000000001,-0.88975,-1.0151000000000001,-0.88975
actual_D_all,9,0.3823534305377817,0.3582268048152208,0.3529103912057294,0.3529225685517728,0.33644624944644,0.3399228216838825,0.3106433593478305,0.3068808049677142,-13.626133333333334,-12.5476,28.6875,28.6875,15.061366666666666,16.1399,12.596766666666664,13.4988,-0.19344444444444445,-0.2013,-0.19344444444444445,-0.2013
actual_D_predH,5,0.39642765162856175,0.3694719352688542,0.39642765162856175,0.3694719352688542,0.33463026550927155,0.3391661707372708,0.26894208286216675,0.291361893993875,18.35514,-0.6146,28.6875,28.6875,47.04263999999999,28.0729,39.344759999999994,23.4792,-0.0528,-0.0692,-0.0528,-0.0692
pred_H_hit,12,0.40887850256903163,0.4121803476319734,0.40887850256903163,0.4121803476319734,0.3331302996039798,0.3341343376726126,0.2579911978269886,0.2536853146954141,27.1921,29.68345,28.6875,28.6875,55.8796,58.37095,46.73565833333333,48.8193,0.6396333333333333,0.52725,0.6396333333333333,0.52725
