league,basis_hint,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,side_path_mean,draw_support_mean,dispersion_mean,mix_draw_mean
J2,draw_compressed,29,9,0.3103448275862069,7,12,10,14,7,8,0.5188233800792309,0.5853365156937689,0.30638325008841333,0.5126169918340392
J2,flat_draw_trap,28,4,0.14285714285714285,3,22,3,13,6,9,0.45372865855780226,0.6186275814823501,0.26723708419512626,0.571799854928917
J2,basis_balanced,4,2,0.5,3,1,0,3,0,1,0.5429956299479931,0.5752204699996748,0.3812985080192534,0.5024076944648482
