league,basis_hint,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,side_path_mean,draw_support_mean,dispersion_mean,mix_draw_mean
J1,flat_draw_trap,335,140,0.417910447761194,131,61,143,138,92,105,0.4491634721210888,0.6300583149847628,0.2978173797572088,0.5904276537451129
J1,draw_compressed,43,31,0.7209302325581395,37,2,4,29,4,10,0.5313499073808756,0.5886731219482627,0.3116641831435628,0.5205988504519072
J1,basis_balanced,2,1,0.5,2,0,0,1,1,0,0.5932389506184848,0.57189907764816,0.32616952584218933,0.47273879598505153
