league,match_type,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,elo_diff_mean,xg_diff_mean,rank_gap_mean
J1,away_strong,123,59,0.4796747967479675,10,11,102,33,31,59,-34.43107642276423,-8.893495934959349,8.951219512195122
J1,home_strong,119,74,0.6218487394957983,114,3,2,77,19,23,35.040197478991594,9.082352941176469,-8.974789915966387
J1,neutral,95,43,0.45263157894736844,44,42,9,38,33,24,0.606478947368421,0.01999999999999976,-0.2736842105263158
J1,signal_conflict,38,18,0.47368421052631576,19,6,13,15,14,9,1.2456999999999998,0.310526315789474,-0.05263157894736842
J1,close_match,5,2,0.4,2,3,0,5,0,0,-0.29561999999999955,-0.11999999999999886,-1.0
