target_branch,match_id,home_team,away_team,actual_result,argmax_result,predicted_result_main,decision_reason,prob_home_win,prob_draw,prob_away_win,draw_gap,d_score_close,d_score_stall,d_score_total,lab_draw_support_score,lab_dispersion_score,match_intensity_score,focus_stability_score,lab_mix_home,lab_mix_draw,lab_mix_away,match_type_lab_low_event,match_type_lab_style_conflict,match_type_lab_available
signal_conflict__basis_balanced,j1_2026_02081603_東京Ｖ_水戸,東京Ｖ,水戸,H,D,D,NARROW_DRAW_OVERRIDE,0.279206737788095,0.4140516983040879,0.306741563907817,-0.0968130200730016,0.728636100439386,0.2693127146641374,0.5449067461292866,0.544214500699076,0.3566973651793524,0.07255,0.8605555555555555,0.2419350583770164,0.5363231956923886,0.2217417459305949,False,False,False
signal_conflict__basis_balanced,j1_2026_02141403_清水_京都,清水,京都,D,A,A,BASE_FUSION,0.2586895130592153,0.347763067758007,0.3935474191827776,0.0346895278585788,0.771420371095514,0.2611467304123808,0.5673109148222607,0.547573970785879,0.35666567685781,0.06005,0.7831143790849673,0.2315549092867599,0.5408637151103555,0.2275813756028846,False,False,False
signal_conflict__basis_balanced,j1_2026_04041303_千葉_東京Ｖ,千葉,東京Ｖ,H,D,D,NARROW_DRAW_OVERRIDE,0.2582457581835001,0.4331672103083704,0.3085870315081294,-0.1149401324600317,0.7207959678430673,0.2636642058326448,0.5379432630388983,0.5496394641750142,0.3422150958763708,0.0538,0.7588805555555556,0.228473260988424,0.5259664350880197,0.2455603039235563,False,False,False
signal_conflict__basis_balanced,j1_2026_04111603_京都_岡山,京都,岡山,H,A,D,J1_AWAY_RESTORE_OVERRIDE,0.2727793254863936,0.3949982342476935,0.3322224402659128,-0.0517921043859421,0.8019869186966448,0.2723515673714909,0.5901327781665833,0.5519733140764904,0.3590507389402891,0.1117666666666666,0.7401555555555556,0.2267878703602554,0.5546931314765955,0.2185189981631491,False,False,False
signal_conflict__basis_balanced,j1_2026_04181503_東京Ｖ_千葉,東京Ｖ,千葉,H,D,D,NARROW_DRAW_OVERRIDE,0.2938153352824754,0.405506679468936,0.3006779852485886,-0.095586425823428,0.7312944466597743,0.2685120195298871,0.5461814758078194,0.5385831426007387,0.3431545642200443,0.0538,0.6656124999999999,0.2534559444124313,0.5159277230137197,0.2306163325738489,False,False,False
signal_conflict__basis_balanced,j1_2026_04291303_清水_長崎,清水,長崎,A,D,D,NARROW_DRAW_OVERRIDE,0.2904998723950628,0.4423309288889945,0.2671691987159424,-0.1425549136738102,0.7187992020070801,0.2627400890924289,0.5363755568412196,0.5435681246207618,0.3457511212722048,0.06005,0.6953555555555555,0.2410410054817568,0.5362088680659812,0.2227501264522619,False,False,False
signal_conflict__basis_balanced,j1_2026_05021403_京都_清水,京都,清水,A,A,D,J1_AWAY_RESTORE_OVERRIDE,0.2696899284597318,0.3997490032827213,0.3305610682575468,-0.059025576124452,0.782558802907462,0.2684630406398517,0.5769204980004179,0.5555527062411302,0.3579654151859943,0.06005,0.7080909722222222,0.2221856284727854,0.5582014030442262,0.2196129684829882,False,False,False
signal_conflict__basis_balanced,j1_2026_05101603_柏_川崎Ｆ,柏,川崎Ｆ,H,D,D,NARROW_DRAW_OVERRIDE,0.2732273648235936,0.4411704707785838,0.2856021643978226,-0.1460687206319728,0.7196322368014232,0.2634144081636745,0.5371451053463238,0.5595196749311526,0.3458785238160173,0.0621333333333333,0.7239048611111111,0.2542646830029457,0.5224755446070491,0.223259772390005,False,False,False
neutral__split_side,j1_2026_03211403_岡山_長崎,岡山,長崎,A,D,D,NARROW_DRAW_OVERRIDE,0.2819929303543658,0.4446138961729478,0.2733931734726864,-0.151638040437343,0.7187216362238303,0.4035082352526559,0.5926362758353606,0.5834888925209922,0.5195767292404414,0.1117666666666666,0.7207305555555557,0.2251656397184117,0.5619606348108849,0.2128737254707034,False,False,True
neutral__split_side,j1_2026_03221503_川崎Ｆ_横浜FM,川崎Ｆ,横浜FM,A,D,D,BASE_FUSION,0.2828045567661665,0.4261712397857451,0.2910242034480884,-0.121698318840531,0.7260424887737776,0.3648121528092102,0.5815503543879507,0.597198595546509,0.5283896842846092,0.4441666666666666,0.7435048611111111,0.2195527090788901,0.5603451778353084,0.2201021130858014,False,False,True
neutral__split_side,j1_2026_03221603_浦和_町田,浦和,町田,A,D,D,NARROW_DRAW_OVERRIDE,0.2671206884543577,0.4530614390070374,0.2798178725386048,-0.1629213912409067,0.7149353620070807,0.2666143141887256,0.5356069428797388,0.6004094684242494,0.4882907539678528,0.1526666666666666,0.7489055555555556,0.2220863088963653,0.5672384594244368,0.2106752316791977,False,False,True
