match_id,league,節,home_team,away_team,actual_result,predicted_result,match_type,match_type_signal_conflict,match_type_home_signal_count,match_type_away_signal_count,elo_diff_for_prob,match_type_xg_diff,match_type_rank_gap,match_type_sig_away_elo,match_type_sig_away_xg,match_type_sig_away_rank,match_type_sig_home_elo,match_type_sig_home_xg,match_type_sig_home_rank,prob_home_win,prob_draw,prob_away_win,draw_risk_flag,draw_gap,d_score_close,d_score_stall,d_score_total,type_c_draw_signal_strong,type_c_draw_signal_weak,type_b_reverse_signal_strong,type_b_reverse_signal_weak,d_combo_close_lowevent,d_combo_close_conflict,d_combo_drawrisk_stall,d_flag_close_lowevent,d_flag_close_conflict,d_flag_drawrisk_stall,d_flag_two_of_three,d_flag_j1_close_lowevent,d_flag_j1_drawrisk_stall,d_flag_j2_second_draw_close,d_flag_j2_drawrisk_second,lab_sim_stall_score,lab_sim_flip_score,lab_sim_hold_score,lab_sim_scenario,lab_sim_reason,lab_sim_j1_stall_candidate,lab_sim_j1_flip_candidate,lab_sim_j1_hold_candidate,decision_reason
j1_2025_02221403_京都_浦和,j1,第２節第１日,京都,浦和,D,H,home_strong,False,2,0,-7.3333,2.8999999999999986,-4,False,False,False,False,True,True,0.4645083284149133,0.3258423008741419,0.20964937071094475,False,0.1386660275407714,0.454926031512484,0.1215352507284516,0.321569719198871,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.06876345131121281,0.0,0.49853310963927,hold,no_draw_risk,False,False,True,ARGMAX
j1_2025_02221403_名古屋_神戸,j1,第２節第１日,名古屋,神戸,D,A,away_strong,False,0,2,-7.3333,-2.8000000000000043,11,False,True,True,False,False,False,0.25351299159796603,0.3379827076167877,0.40850430078524624,False,0.07052159316845852,0.5425268884812899,0.13165225634732314,0.3781770356277032,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.08697406142518155,0.0,0.43994826481351634,hold,no_draw_risk,False,False,False,ARGMAX
j1_2025_02221403_柏_川崎Ｆ,j1,第２節第１日,柏,川崎Ｆ,D,H,signal_conflict,True,1,1,0.0,-3.9000000000000057,-6,False,True,False,False,False,True,0.43213943939390226,0.33692735744770275,0.23093320315839497,False,0.09521208194619951,0.4717432634148342,0.13077279787308566,0.33535507719813473,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.08539103617155408,0.3,0.3833242286811698,hold,no_draw_risk,False,False,False,ARGMAX
j1_2025_02221403_横浜FC_岡山,j1,第２節第１日,横浜FC,岡山,H,D,away_strong,False,0,2,-14.6667,-4.599999999999994,5,False,True,True,False,False,False,0.2966347081068946,0.3549382241005783,0.34842706779252725,True,-0.006511156308051047,0.9208813592524544,0.1457818534171486,0.6108415569183321,True,False,False,False,0.0,0.0,0.13424779132912587,False,False,False,False,False,False,False,False,0.5261294453807398,0.27471142626856454,0.17193383289671205,stall,"draw_risk,close_top_gap",True,False,False,MATCH_TYPE_MAIN_OVERRIDE
j1_2025_02221403_清水_新潟,j1,第２節第１日,清水,新潟,H,H,home_strong,False,2,0,7.3333,9.5,-6,False,False,False,False,True,True,0.4709085587236396,0.3004611327674529,0.22863030850890756,False,0.17044742595618673,0.4587556889307818,0.10038427730621076,0.31540712428095335,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.030691699151179308,0.0,0.5096565990846653,hold,no_draw_risk,False,False,True,ARGMAX
j1_2025_02221503_FC東京_町田,j1,第２節第１日,FC東京,町田,A,A,neutral,False,0,1,14.6667,0.20000000000000284,5,False,False,True,False,False,False,0.2668667877376057,0.36219944877452853,0.3709337634878658,True,0.008734314713337243,0.9359644453067202,0.15000000000000002,0.6215786671840321,True,False,False,False,0.0,0.0,0.14039466679600804,False,False,False,False,False,False,False,False,0.5314633863784497,0.17088561762220922,0.24759447646947372,stall,"draw_risk,close_top_gap",True,False,False,J1_AWAY_RESTORE_OVERRIDE
j1_2025_02221503_鹿島_東京Ｖ,j1,第２節第１日,鹿島,東京Ｖ,H,H,home_strong,False,2,0,0.0,13.800000000000004,-16,False,False,False,False,True,True,0.5750143863928233,0.2197234644519232,0.20526214915525345,False,0.3552909219409001,0.4,0.05,0.26,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0,0.5743518226793151,hold,no_draw_risk,False,False,True,ARGMAX
j1_2025_02221503_Ｃ大阪_湘南,j1,第２節第１日,Ｃ大阪,湘南,A,H,home_strong,False,2,0,0.0,16.799999999999997,-9,False,False,False,False,True,True,0.4808513667754997,0.280113873537503,0.23903475968699736,False,0.20073749323799672,0.4563274796164267,0.08342822794791918,0.3071677789490237,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0001708103062544597,0.0,0.5202581226332988,hold,no_draw_risk,False,False,True,ARGMAX
j1_2025_02221503_Ｇ大阪_福岡,j1,第２節第１日,Ｇ大阪,福岡,H,H,home_strong,False,2,0,0.0,3.3000000000000043,-3,False,False,False,False,True,True,0.45088802865825034,0.34713351941201287,0.20197845192973687,False,0.10375450924623747,0.45531007540920687,0.13927793284334405,0.32889721838286173,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.10070027911801926,0.0,0.4863140782361831,hold,no_draw_risk,False,False,True,ARGMAX
j1_2025_02231403_広島_横浜FM,j1,第２節第２日,広島,横浜FM,H,H,home_strong,False,2,0,7.3333,18.0,-11,False,False,False,False,True,True,0.42838490396281803,0.272048578187751,0.29956651784943095,False,0.156336325775067,0.08160666409601625,0.07670714848979253,0.07964685785352676,False,False,False,False,0.0,0.0,0.0,False,False,False,False,False,False,False,False,0.0,0.0,0.43363213917875554,hold,no_draw_risk,False,False,False,ARGMAX
