league,season_year,match_id,節,試合日,datetime,home_team,away_team,actual_result,pred_final_label,pred_postfusion_main_argmax,pred_argmax,is_hit_final_label,is_hit_postfusion_main_argmax,is_hit_argmax,max_prob,prob_home_win,prob_draw,prob_away_win,elo_diff_for_prob,applied_hfa_for_prob
j1,2025,j1_2025_02261903_FC東京_名古屋,第３節第１日,2025-02-26,2025-02-26 19:03:00,FC東京,名古屋,H,H,H,H,1,1,1,0.3567598536377382,0.3567598536377382,0.34939321094154874,0.293846935420713,6.7006,0.0
j1,2025,j1_2025_02261903_柏_Ｃ大阪,第３節第１日,2025-02-26,2025-02-26 19:03:00,柏,Ｃ大阪,H,H,H,H,1,1,1,0.3580444056532419,0.3580444056532419,0.347500531084786,0.294455063261972,7.3333,0.0
j1,2025,j1_2025_02261903_横浜FM_横浜FC,第３節第１日,2025-02-26,2025-02-26 19:03:00,横浜FM,横浜FC,D,D,D,D,1,1,1,0.35589099050652634,0.28931876346710783,0.35589099050652634,0.3547902460263658,-7.544,0.0
j1,2025,j1_2025_02261903_清水_広島,第３節第１日,2025-02-26,2025-02-26 19:03:00,清水,広島,D,D,D,D,1,1,1,0.3697122792129021,0.34309197214568304,0.3697122792129021,0.28719574864141484,0.0,0.0
j1,2025,j1_2025_02261903_湘南_浦和,第３節第１日,2025-02-26,2025-02-26 19:03:00,湘南,浦和,H,H,H,H,1,1,1,0.37326247943879803,0.37326247943879803,0.32530506295500144,0.30143245760620047,14.8777,0.0
j1,2025,j1_2025_02261903_町田_東京Ｖ,第３節第１日,2025-02-26,2025-02-26 19:03:00,町田,東京Ｖ,A,H,H,H,0,0,0,0.373684508290791,0.373684508290791,0.3246955876897609,0.3016199040194481,15.0883,0.0
j1,2025,j1_2025_02261903_神戸_京都,第３節第１日,2025-02-26,2025-02-26 19:03:00,神戸,京都,D,H,H,H,0,0,0,0.357187693347221,0.357187693347221,0.3487624976869741,0.2940498089658048,6.9113,0.0
j1,2025,j1_2025_02261903_福岡_川崎Ｆ,第３節第１日,2025-02-26,2025-02-26 19:03:00,福岡,川崎Ｆ,A,A,A,A,1,1,1,0.34539833742335757,0.3229676264106275,0.33163403616601494,0.34539833742335757,-22.0,0.0
j1,2025,j1_2025_02261903_鹿島_新潟,第３節第１日,2025-02-26,2025-02-26 19:03:00,鹿島,新潟,H,H,H,H,1,1,1,0.3576161141431814,0.3576161141431814,0.34813125523042615,0.29425263062639234,7.1223,0.0
j1,2025,j1_2025_03011304_横浜FM_湘南,第４節第１日,2025-03-01,2025-03-01 13:04:00,横浜FM,湘南,D,A,A,A,0,0,0,0.35533600237660967,0.3241831534806985,0.32048084414269185,0.35533600237660967,-28.4775,0.0
j1,2025,j1_2025_03011403_鹿島_FC東京,第４節第１日,2025-03-01,2025-03-01 14:03:00,鹿島,FC東京,H,D,D,D,0,0,0,0.3684565991104555,0.3439302927405611,0.3684565991104555,0.2876131081489834,0.4095,0.0
j1,2025,j1_2025_03011503_川崎Ｆ_京都,第４節第１日,2025-03-01,2025-03-01 15:03:00,川崎Ｆ,京都,A,H,H,H,0,0,0,0.3853713036788828,0.3853713036788828,0.3079508579706207,0.3066778383504965,20.9585,0.0
j1,2025,j1_2025_03011503_神戸_福岡,第４節第１日,2025-03-01,2025-03-01 15:03:00,神戸,福岡,A,H,H,H,0,0,0,0.3853713036788828,0.3853713036788828,0.3079508579706207,0.3066778383504965,20.9585,0.0
j1,2025,j1_2025_03021403_名古屋_町田,第４節第２日,2025-03-02,2025-03-02 14:03:00,名古屋,町田,A,D,D,D,0,0,0,0.35693628083325346,0.28790576235927273,0.35693628083325346,0.35515795680747386,-6.9174,0.0
j1,2025,j1_2025_03021403_岡山_清水,第４節第２日,2025-03-02,2025-03-02 14:03:00,岡山,清水,D,D,D,D,1,1,1,0.3559112433865741,0.28929135682837104,0.3559112433865741,0.3547973997850548,-7.5319,0.0
j1,2025,j1_2025_03021403_新潟_Ｃ大阪,第４節第２日,2025-03-02,2025-03-02 14:03:00,新潟,Ｃ大阪,D,D,D,D,1,1,1,0.3565843882616594,0.2883810996091308,0.3565843882616594,0.3550345121292099,-7.1284,0.0
j1,2025,j1_2025_03021403_東京Ｖ_Ｇ大阪,第４節第２日,2025-03-02,2025-03-02 14:03:00,東京Ｖ,Ｇ大阪,A,D,D,D,0,0,0,0.3683452013390907,0.34400470374220493,0.3683452013390907,0.28765009491870436,0.4459,0.0
j1,2025,j1_2025_03021431_広島_横浜FC,第４節第２日,2025-03-02,2025-03-02 14:31:00,広島,横浜FC,H,H,H,H,1,1,1,0.3720061237665986,0.3720061237665986,0.3271213916811521,0.30087248455224924,14.251,0.0
j1,2025,j1_2025_03021503_浦和_柏,第４節第２日,2025-03-02,2025-03-02 15:03:00,浦和,柏,A,A,A,A,1,1,1,0.34570096528544914,0.32194434269897765,0.3323546920155731,0.34570096528544914,-21.5723,0.0
j1,2025,j1_2025_03081403_浦和_岡山,第５節第１日,2025-03-08,2025-03-08 14:03:00,浦和,岡山,H,A,A,A,0,0,0,0.346123826742618,0.3205087194654693,0.3333674537919126,0.346123826742618,-20.971,0.0
j1,2025,j1_2025_03081408_新潟_東京Ｖ,第５節第１日,2025-03-08,2025-03-08 14:08:00,新潟,東京Ｖ,D,D,D,D,1,1,1,0.36909843930533176,0.34350168400826786,0.36909843930533176,0.2873998766864004,0.2001,0.0
j1,2025,j1_2025_03081503_Ｇ大阪_清水,第５節第１日,2025-03-08,2025-03-08 15:03:00,Ｇ大阪,清水,H,A,A,A,0,0,0,0.35065655745697266,0.30465570548302495,0.3446877370600025,0.35065655745697266,-14.2382,0.0
j1,2025,j1_2025_03081603_FC東京_湘南,第５節第１日,2025-03-08,2025-03-08 16:03:00,FC東京,湘南,D,A,A,A,0,0,0,0.34585149937630083,0.32143405587054885,0.33271444475315043,0.34585149937630083,-21.3587,0.0
j1,2025,j1_2025_03081603_柏_鹿島,第５節第１日,2025-03-08,2025-03-08 16:03:00,柏,鹿島,A,H,H,H,0,0,0,0.3567984172652465,0.3567984172652465,0.34933634777639333,0.29386523495836026,6.7196,0.0
j1,2025,j1_2025_03081603_横浜FC_町田,第５節第１日,2025-03-08,2025-03-08 16:03:00,横浜FC,町田,A,D,D,D,0,0,0,0.35761920911063677,0.28698425702754105,0.35761920911063677,0.3553965338618222,-6.5078,0.0
j1,2025,j1_2025_03081603_Ｃ大阪_名古屋,第５節第１日,2025-03-08,2025-03-08 16:03:00,Ｃ大阪,名古屋,D,H,H,H,0,0,0,0.3716422145176304,0.3716422145176304,0.3276480456631878,0.30070973981918175,14.0697,0.0
j1,2025,j1_2025_03091403_京都_福岡,第５節第２日,2025-03-09,2025-03-09 14:03:00,京都,福岡,A,H,H,H,0,0,0,0.3723949653615914,0.3723949653615914,0.3265589261095172,0.3010461085288914,14.4449,0.0
j1,2025,j1_2025_03151403_東京Ｖ_名古屋,第６節第１日,2025-03-15,2025-03-15 14:03:00,東京Ｖ,名古屋,H,H,H,H,1,1,1,0.3568653897250982,0.3568653897250982,0.34923760128340037,0.29389700899150134,6.7526,0.0
j1,2025,j1_2025_03151403_横浜FC_Ｃ大阪,第６節第１日,2025-03-15,2025-03-15 14:03:00,横浜FC,Ｃ大阪,H,D,D,D,0,0,0,0.358243868622127,0.2861425276300657,0.358243868622127,0.3556136037478074,-6.1331,0.0
j1,2025,j1_2025_03151403_町田_新潟,第６節第１日,2025-03-15,2025-03-15 14:03:00,町田,新潟,H,H,H,H,1,1,1,0.3854262964599625,0.3854262964599625,0.30787267758193465,0.306701025958103,20.9863,0.0
j1,2025,j1_2025_03151403_福岡_FC東京,第６節第１日,2025-03-15,2025-03-15 14:03:00,福岡,FC東京,H,D,D,D,0,0,0,0.35897350587876253,0.28516073424649147,0.35897350587876253,0.355865759874746,-5.6951,0.0
j1,2025,j1_2025_03161303_清水_京都,第６節第２日,2025-03-16,2025-03-16 13:03:00,清水,京都,A,H,H,H,0,0,0,0.3699620392955236,0.3699620392955236,0.33008278708871047,0.29995517361576596,13.2331,0.0
j1,2025,j1_2025_03161403_岡山_川崎Ｆ,第６節第２日,2025-03-16,2025-03-16 14:03:00,岡山,川崎Ｆ,D,D,D,D,1,1,1,0.3569738747502837,0.28785500104005574,0.3569738747502837,0.35517112420966046,-6.8949,0.0
j1,2025,j1_2025_03161403_広島_柏,第６節第２日,2025-03-16,2025-03-16 14:03:00,広島,柏,D,H,H,H,0,0,0,0.3588620751959835,0.3588620751959835,0.3462973001611697,0.29484062464284677,7.7364,0.0
j1,2025,j1_2025_03161403_横浜FM_Ｇ大阪,第６節第２日,2025-03-16,2025-03-16 14:03:00,横浜FM,Ｇ大阪,H,A,A,A,0,0,0,0.3509177986507116,0.30371361486657733,0.34536858648271107,0.3509177986507116,-13.8324,0.0
j1,2025,j1_2025_03161403_鹿島_浦和,第６節第２日,2025-03-16,2025-03-16 14:03:00,鹿島,浦和,D,H,H,H,0,0,0,0.39893299564999796,0.39893299564999796,0.2888489265855139,0.3122180777644881,27.8716,0.0
j1,2025,j1_2025_03161503_湘南_神戸,第６節第２日,2025-03-16,2025-03-16 15:03:00,湘南,神戸,A,H,H,H,0,0,0,0.40013018543963297,0.40013018543963297,0.28718008302290154,0.31268973153746543,28.4878,0.0
j1,2025,j1_2025_03281903_Ｃ大阪_浦和,第７節第１日,2025-03-28,2025-03-28 19:03:00,Ｃ大阪,浦和,D,A,A,A,0,0,0,0.35322809964038915,0.2952279149503762,0.35154398540923465,0.35322809964038915,-10.1459,0.0
j1,2025,j1_2025_03291300_岡山_横浜FM,第７節第２日,2025-03-29,2025-03-29 13:00:00,岡山,横浜FM,H,D,D,D,0,0,0,0.3647203217483852,0.2774804717340661,0.3647203217483852,0.35779920651754876,-2.2387,0.0
j1,2025,j1_2025_03291303_清水_湘南,第７節第２日,2025-03-29,2025-03-29 13:03:00,清水,湘南,H,A,A,A,0,0,0,0.35131550031895276,0.302272875781589,0.3464116238994584,0.35131550031895276,-13.2105,0.0
j1,2025,j1_2025_03291403_京都_広島,第７節第２日,2025-03-29,2025-03-29 14:03:00,京都,広島,H,A,A,A,0,0,0,0.34667594531765206,0.3186238905049303,0.33470016417741766,0.34667594531765206,-20.1796,0.0
j1,2025,j1_2025_03291403_名古屋_横浜FC,第７節第２日,2025-03-29,2025-03-29 14:03:00,名古屋,横浜FC,H,A,A,A,0,0,0,0.3455567397438687,0.3224324436479118,0.3320108166082196,0.3455567397438687,-21.7764,0.0
j1,2025,j1_2025_03291403_新潟_Ｇ大阪,第７節第２日,2025-03-29,2025-03-29 14:03:00,新潟,Ｇ大阪,D,A,A,A,0,0,0,0.3462475367843227,0.320087427343905,0.3336650358717723,0.3462475367843227,-20.7944,0.0
j1,2025,j1_2025_03291403_柏_東京Ｖ,第７節第２日,2025-03-29,2025-03-29 14:03:00,柏,東京Ｖ,D,H,H,H,0,0,0,0.38538703025046883,0.38538703025046883,0.3079284997259564,0.3066844700235748,20.9664,0.0
j1,2025,j1_2025_03291503_鹿島_神戸,第７節第２日,2025-03-29,2025-03-29 15:03:00,鹿島,神戸,H,H,H,H,1,1,1,0.3861905935097467,0.3861905935097467,0.30678671715917816,0.3070226893310752,21.3728,0.0
j1,2025,j1_2025_03291504_福岡_町田,第７節第２日,2025-03-29,2025-03-29 15:04:00,福岡,町田,D,A,A,A,0,0,0,0.35217245226046273,0.2991407549082391,0.3486867928312982,0.35217245226046273,-11.8529,0.0
j1,2025,j1_2025_03291703_FC東京_川崎Ｆ,第７節第２日,2025-03-29,2025-03-29 17:03:00,FC東京,川崎Ｆ,A,A,A,A,1,1,1,0.3512022951308964,0.3026837928701653,0.3461139119989382,0.3512022951308964,-13.388,0.0
j1,2025,j1_2025_04021903_京都_柏,第８節第１日,2025-04-02,2025-04-02 19:03:00,京都,柏,D,D,D,D,1,1,1,0.36117351879474413,0.2822095160246502,0.36117351879474413,0.35661696518060565,-4.3734,0.0
j1,2025,j1_2025_04021903_川崎Ｆ_湘南,第８節第１日,2025-04-02,2025-04-02 19:03:00,川崎Ｆ,湘南,H,H,H,H,1,1,1,0.3605521319496448,0.3605521319496448,0.3438141191990875,0.29563374885126764,8.5702,0.0
j1,2025,j1_2025_04021903_広島_鹿島,第８節第１日,2025-04-02,2025-04-02 19:03:00,広島,鹿島,H,A,A,A,0,0,0,0.3503878081842537,0.30562137952569585,0.3439908122900505,0.3503878081842537,-14.6535,0.0
j1,2025,j1_2025_04021903_新潟_福岡,第８節第１日,2025-04-02,2025-04-02 19:03:00,新潟,福岡,A,A,A,A,1,1,1,0.34515781345295876,0.32377848893335875,0.33106369761368243,0.34515781345295876,-22.3385,0.0
j1,2025,j1_2025_04021903_東京Ｖ_FC東京,第８節第１日,2025-04-02,2025-04-02 19:03:00,東京Ｖ,FC東京,D,H,H,H,0,0,0,0.3592671523436132,0.3592671523436132,0.34570165783081236,0.29503118982557447,7.9361,0.0
