match_id,league,節,home_team,away_team,actual_result,predicted_result_main,lab_sim_stall_score,lab_sim_flip_score,lab_sim_hold_score,lab_sim_scenario,lab_sim_reason,lab_sim_j1_stall_candidate,lab_sim_j1_flip_candidate,lab_sim_j1_hold_candidate,prob_home_win,prob_draw,prob_away_win,draw_risk_flag,draw_gap,match_type_primary,match_type_flags,match_type_reason,match_type_signal_conflict
j1_2025_02141903_Ｇ大阪_Ｃ大阪,j1,第１節第１日,Ｇ大阪,Ｃ大阪,A,H,0.12436860531275148,0.0,0.4733611874001322,hold,no_draw_risk,False,False,True,0.42965865325649794,0.36291240354183435,0.20742894320166771,False,0.06674624971466359,neutral,away_adverse,type=neutral; flags=away_adverse; elo=0.000; xg_diff=-5.400; rank_gap=-1.000; prob_draw=0.363; draw_gap=0.067; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=mid; away_ctx=mid,False
j1_2025_02151403_横浜FC_FC東京,j1,第１節第２日,横浜FC,FC東京,A,A,0.48993174351666713,0.16320816167827928,0.22849798377313832,stall,draw_risk,True,False,False,0.2808247925806807,0.3504415018561485,0.3687337055631707,True,0.018292203707022225,away_strong,"draw_risk,away_strong,home_relegation_risk,away_adverse","type=away_strong; flags=draw_risk,away_strong,home_relegation_risk,away_adverse; elo=0.000; xg_diff=-13.500; rank_gap=7.000; prob_draw=0.350; draw_gap=0.018; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=relegation; away_ctx=mid",False
j1_2025_02151403_横浜FM_新潟,j1,第１節第２日,横浜FM,新潟,D,H,0.08895548186095245,0.0,0.49148849010163753,hold,no_draw_risk,False,False,True,0.45784219772150414,0.3393036545739683,0.20285414770452753,False,0.11853854314753581,neutral,"away_relegation_risk,away_adverse","type=neutral; flags=away_relegation_risk,away_adverse; elo=0.000; xg_diff=0.100; rank_gap=-5.000; prob_draw=0.339; draw_gap=0.119; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=mid; away_ctx=relegation",False
j1_2025_02151403_神戸_浦和,j1,第１節第２日,神戸,浦和,D,H,0.474798102164292,0.07849107105256864,0.36275843753948034,stall,draw_risk,True,False,False,0.40707254460080644,0.37061986591657703,0.2223075894826165,True,0.03645267868422941,draw_risk,"draw_risk,away_adverse","type=neutral; flags=draw_risk,away_adverse; elo=0.000; xg_diff=4.000; rank_gap=-2.000; prob_draw=0.371; draw_gap=0.036; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=mid; away_ctx=mid",False
j1_2025_02151404_岡山_京都,j1,第１節第２日,岡山,京都,H,A,0.044915686945054406,0.0,0.4577863020337296,hold,no_draw_risk,False,False,True,0.26653570178751035,0.30994379129670296,0.42352050691578663,False,0.11357671561908367,away_strong,"away_strong,away_title_race,away_adverse","type=away_strong; flags=away_strong,away_title_race,away_adverse; elo=0.000; xg_diff=-8.300; rank_gap=10.000; prob_draw=0.310; draw_gap=0.114; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=mid; away_ctx=title",False
j1_2025_02151404_福岡_柏,j1,第１節第２日,福岡,柏,A,A,0.07981018177511373,0.0,0.3962857081542871,hold,no_draw_risk,False,False,False,0.27066220302060356,0.33320678785007585,0.3961310091293206,False,0.06292422127924474,away_strong,"away_strong,away_title_race,away_adverse","type=away_strong; flags=away_strong,away_title_race,away_adverse; elo=0.000; xg_diff=-4.000; rank_gap=10.000; prob_draw=0.333; draw_gap=0.063; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=mid; away_ctx=title",False
j1_2025_02151503_川崎Ｆ_名古屋,j1,第１節第２日,川崎Ｆ,名古屋,H,H,0.04556657770808942,0.0,0.5014354057126551,hold,no_draw_risk,False,False,True,0.45733602050821703,0.31037771847205964,0.23228626101972316,False,0.1469583020361574,home_strong,"home_strong,away_adverse","type=home_strong; flags=home_strong,away_adverse; elo=0.000; xg_diff=7.300; rank_gap=-8.000; prob_draw=0.310; draw_gap=0.147; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=mid; away_ctx=mid",False
j1_2025_02151503_湘南_鹿島,j1,第１節第２日,湘南,鹿島,H,A,0.0,0.0,0.5456163209354112,hold,no_draw_risk,False,False,True,0.220855002469067,0.2529777545720219,0.5261672429589113,False,0.2731894883868894,away_strong,"away_strong,away_title_race,home_relegation_risk,away_adverse","type=away_strong; flags=away_strong,away_title_race,home_relegation_risk,away_adverse; elo=0.000; xg_diff=-8.400; rank_gap=18.000; prob_draw=0.253; draw_gap=0.273; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=relegation; away_ctx=title",False
j1_2025_02161403_東京Ｖ_清水,j1,第１節第３日,東京Ｖ,清水,A,D,0.44634330757500473,0.24736633557307414,0.10498854818166803,stall,draw_risk,False,False,False,0.31639381470160033,0.3636206159059985,0.3199855693924013,True,-0.043635046513597175,away_strong,"draw_risk,away_strong,home_relegation_risk,away_adverse","type=away_strong; flags=draw_risk,away_strong,home_relegation_risk,away_adverse; elo=0.000; xg_diff=-17.400; rank_gap=3.000; prob_draw=0.364; draw_gap=-0.044; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=relegation; away_ctx=mid",False
j1_2025_02161403_町田_広島,j1,第１節第３日,町田,広島,A,D,0.4771435522156039,0.13935013988774836,0.18576939564795614,stall,draw_risk,True,False,False,0.2784498303843949,0.3813463743646818,0.3402037952509233,True,-0.04114257911375846,draw_risk,"draw_risk,away_adverse","type=neutral; flags=draw_risk,away_adverse; elo=0.000; xg_diff=-9.800; rank_gap=2.000; prob_draw=0.381; draw_gap=-0.041; lab_edge=; adv_home=0.40; adv_away=1.60; home_ctx=mid; away_ctx=mid",False
