match_id,league,節,home_team,away_team,actual_result,predicted_result,decision_reason,close_split_profile,draw_core_score,swing_close_score,prob_home_win,prob_draw,prob_away_win,prob_elo_home,prob_elo_draw,prob_elo_away,prob_lab_home,prob_lab_draw,prob_lab_away,match_type,lab_basis_hint,lab_draw_support_score,lab_mix_draw,match_type_xg_diff,match_type_rank_gap,match_type_home_signal_count,match_type_away_signal_count,outcome_bucket,rank_sign,xg_sign,signal_balance,prob_side_bias,recommended_action
j2_2026_02141403_大宮_札幌,j2,第２節第１日,大宮,札幌,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.7291576581048066,0.6734953307777415,0.3518955164619577,0.3932149679482635,0.2548895155897787,0.3943158675520589,0.3366750928319044,0.2690090396160366,0.2412847202318309,0.5301202107967454,0.2285950689714235,signal_conflict,draw_compressed,0.564879827156255,0.5301202107967454,5.100000000000001,4,1,1,draw_miss_to_h,away_better,home_better,1-1,home,hold
j2_2026_02151403_栃木Ｃ_秋田,j2,第２節第２日,栃木Ｃ,秋田,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6131706532336241,0.7003463449948037,0.3361404079661313,0.3605091935511224,0.3033503984827463,0.3488826593321781,0.340368760537709,0.3107485801301129,0.2483917870781661,0.455610902971942,0.295997309949892,away_strong,basis_balanced,0.5310420010807663,0.455610902971942,-4.699999999999999,4,0,2,draw_miss_to_a,away_better,away_better,0-2,home,hold
j2_2026_02221403_横浜FC_栃木Ｃ,j2,第３節第２日,横浜FC,栃木Ｃ,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6472884274309179,0.6089410701517253,0.3258466289161765,0.376688888886603,0.2974644821972202,0.3384566687193739,0.3406648162084313,0.3208785150721948,0.3022462694156646,0.4602896247467217,0.2374641058376135,neutral,basis_balanced,0.5097125233620152,0.4602896247467217,15.7,-1,1,0,draw_miss_to_h,home_better,home_better,1-0,home,consider_home_restore
j2_2026_02281403_栃木Ｃ_湘南,j2,第４節第１日,栃木Ｃ,湘南,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6066171586511462,0.6240181588673201,0.2804403069446228,0.3687346283975452,0.3508250646578318,0.2985813772137534,0.3397141957493527,0.3617044270368939,0.24272946154392,0.4817369038419071,0.2755336346141728,away_strong,basis_balanced,0.5332702955858687,0.4817369038419071,-2.3000000000000007,3,0,2,draw_miss_to_a,away_better,away_better,0-2,away,consider_away_restore
j2_2026_03011403_今治_新潟,j2,第４節第２日,今治,新潟,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.7742761526829263,0.586720411406106,0.3155642865014763,0.4027890892315706,0.2816466242669531,0.355907860817988,0.340049159030595,0.304042980151417,0.2126485149580601,0.5562207816050231,0.2311307034369168,neutral,flat_draw_trap,0.619311422470204,0.5562207816050231,,5,0,1,draw_miss_to_a,away_better,flat,0-1,home,hold
j2_2026_03071403_いわき_大宮,j2,第５節第１日,いわき,大宮,D,D,NARROW_DRAW_OVERRIDE,mixed_close,0.8254765964080145,0.5726133940688538,0.2978102365839877,0.3979037753440847,0.3042859880719276,0.3248230086346435,0.3407206909294005,0.3344563004359561,0.2314627840986352,0.5400153894151433,0.2285218264862215,signal_conflict,draw_compressed,0.5829944773600942,0.5400153894151433,-3.1000000000000014,-3,1,1,draw_hit,home_better,away_better,1-1,away,keep_draw_candidate
j2_2026_03081303_八戸_横浜FC,j2,第５節第２日,八戸,横浜FC,D,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6494705466957392,0.5729712499621343,0.3241044258958481,0.3666862123525725,0.3092093617515793,0.3357526140718585,0.3407061361702235,0.323541249757918,0.2490931420383703,0.4709754558443703,0.2799314021172592,away_strong,basis_balanced,0.5467910528268515,0.4709754558443703,-13.5,4,0,2,draw_hit,away_better,away_better,0-2,home,keep_draw_candidate
j2_2026_03151303_八戸_栃木Ｃ,j2,第６節第２日,八戸,栃木Ｃ,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6649556574252042,0.6463637868125296,0.3510356038486804,0.3776108846580392,0.2713535114932804,0.3778570983031803,0.3384494794098981,0.2836934222869216,0.2836923382122381,0.4658082891552034,0.2504993726325585,signal_conflict,basis_balanced,0.5217896224964358,0.4658082891552034,2.1999999999999993,3,1,1,draw_miss_to_a,away_better,home_better,1-1,home,hold
j2_2026_03201403_新潟_富山,j2,第７節第１日,新潟,富山,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6514993581570401,0.5717079357270967,0.3581980913521301,0.3830065097063091,0.2587953989415608,0.4030301444127631,0.3355435206148316,0.2614263349724052,0.2431885646619514,0.4803758702110534,0.2764355651269952,neutral,basis_balanced,0.596513867410653,0.4803758702110534,,1,1,0,draw_miss_to_a,away_better,flat,1-0,home,hold
j2_2026_03211403_磐田_大宮,j2,第７節第１日,磐田,大宮,A,D,J2_AWAY_DRAW_RESTORE,mixed_close,0.7109492294139775,0.6257972800943044,0.3151205629619175,0.3635202904351012,0.3213591466029813,0.3422161491441592,0.3405829386875428,0.3172009121682979,0.2467397252322026,0.4687680890493008,0.2844921857184966,neutral,draw_compressed,0.5833450997071226,0.4687680890493008,-8.600000000000001,2,0,1,draw_miss_to_a,away_better,away_better,0-1,away,consider_away_restore
