match_id,league,節,home_team,away_team,actual_result,predicted_result,match_type,match_type_signal_conflict,match_type_home_signal_count,match_type_away_signal_count,elo_diff_for_prob,match_type_xg_diff,match_type_rank_gap,match_type_sig_away_elo,match_type_sig_away_xg,match_type_sig_away_rank,match_type_sig_home_elo,match_type_sig_home_xg,match_type_sig_home_rank,prob_home_win,prob_draw,prob_away_win,decision_reason
j2_2025_03011403_千葉_山形,j2,第３節第１日,千葉,山形,H,H,home_strong,False,2,0,36.9673,12.599999999999994,-7,False,False,False,False,True,True,0.39209588927752365,0.3369423364112604,0.2709617743112159,ARGMAX
j2_2025_03011403_藤枝_秋田,j2,第３節第１日,藤枝,秋田,H,A,neutral,False,1,0,-21.0973,2.5,1,False,False,False,False,True,False,0.29746864585444643,0.33963760335868476,0.36289375078686875,ARGMAX
j2_2025_03011403_長崎_磐田,j2,第３節第１日,長崎,磐田,H,D,home_strong,False,2,0,-4.8509,11.399999999999999,-3,False,False,False,False,True,True,0.3230934242703924,0.34070023553611734,0.3362063401934902,NARROW_DRAW_OVERRIDE
j2_2025_03011403_鳥栖_今治,j2,第３節第１日,鳥栖,今治,A,D,signal_conflict,True,1,1,-4.37,-10.0,-3,False,True,False,False,False,True,0.32386415362412596,0.3407101285366357,0.3354257178392384,NARROW_DRAW_OVERRIDE
j2_2025_03021303_熊本_大宮,j2,第３節第２日,熊本,大宮,A,A,away_strong,False,0,2,-13.2145,-18.200000000000003,12,False,True,True,False,False,False,0.3097983655509659,0.3403295354872461,0.3498720989617881,ARGMAX
j2_2025_03021403_いわき_徳島,j2,第３節第２日,いわき,徳島,D,A,signal_conflict,True,1,1,-21.0973,13.899999999999999,5,False,False,True,False,True,False,0.29746864585444643,0.33963760335868476,0.36289375078686875,ARGMAX
j2_2025_03021403_富山_甲府,j2,第３節第２日,富山,甲府,H,D,signal_conflict,True,1,1,3.5127,2.1999999999999957,4,False,False,True,False,True,False,0.3365872021369505,0.340694960413066,0.3227178374499836,NARROW_DRAW_OVERRIDE
j2_2025_03021403_山口_札幌,j2,第３節第２日,山口,札幌,H,H,neutral,False,0,1,12.3573,0.7999999999999972,7,False,False,True,False,False,False,0.3510485630432259,0.3402804153095403,0.3086710216472338,ARGMAX
j2_2025_03021403_水戸_愛媛,j2,第３節第２日,水戸,愛媛,D,H,home_strong,False,2,0,19.7591,12.0,-19,False,False,False,False,True,True,0.36328303453554633,0.3396119555388376,0.29710500992561606,ARGMAX
j2_2025_03081304_仙台_長崎,j2,第４節第１日,仙台,長崎,D,D,away_strong,False,0,2,-4.3838,-9.399999999999999,5,False,True,True,False,False,False,0.3238419784392454,0.34070986138613013,0.33544816017462437,NARROW_DRAW_OVERRIDE
j2_2025_03081403_大宮_山口,j2,第４節第１日,大宮,山口,H,H,home_strong,False,2,0,27.8963,13.600000000000001,-13,False,False,False,False,True,True,0.3768512243355487,0.33854222092897335,0.2846065547354779,ARGMAX
j2_2025_03081813_愛媛_今治,j2,第４節第１日,愛媛,今治,A,A,away_strong,False,0,2,-12.0397,-22.9,9,False,True,True,False,False,False,0.31165316747879857,0.34040425782813377,0.3479425746930676,ARGMAX
j2_2025_03091308_札幌_千葉,j2,第４節第２日,札幌,千葉,A,A,away_strong,False,0,3,-45.4559,-10.699999999999996,9,True,True,True,False,False,False,0.26077572812545546,0.33543937669506796,0.4037848951794767,ARGMAX
j2_2025_03091403_いわき_鳥栖,j2,第４節第２日,いわき,鳥栖,D,H,neutral,False,1,0,20.7198,10.299999999999997,1,False,False,False,False,True,False,0.3648789390034427,0.33950383854943583,0.2956172224471216,ARGMAX
j2_2025_03091403_大分_水戸,j2,第４節第２日,大分,水戸,D,D,away_strong,False,0,2,3.2721,-12.100000000000001,15,False,True,True,False,False,False,0.33619640580854165,0.3407003692001494,0.32310322499130906,NARROW_DRAW_OVERRIDE
j2_2025_03091403_富山_磐田,j2,第４節第２日,富山,磐田,H,D,away_strong,False,0,2,4.2343,-7.100000000000001,12,False,True,True,False,False,False,0.3377599831534859,0.34067687429217774,0.32156314255433643,NARROW_DRAW_OVERRIDE
j2_2025_03091403_山形_秋田,j2,第４節第２日,山形,秋田,H,A,home_strong,False,2,0,-27.7956,3.9000000000000057,-4,False,False,False,False,True,True,0.28715746494284944,0.33879064343715515,0.3740518916199954,ARGMAX
