節,matches,hit_argmax,hit_rate_argmax,avg_max_prob,pred_H_count,pred_D_count,pred_A_count,actual_H_count,actual_D_count,actual_A_count
第１節第１日,8,4,0.5,0.39499815824837664,4,1,3,5,1,2
第１節第２日,2,0,0.0,0.39428381335566576,0,2,0,2,0,0
第２節第１日,8,2,0.25,0.400341916058875,2,4,2,4,2,2
第２節第２日,2,1,0.5,0.40816174146437023,0,2,0,1,1,0
第３節第１日,10,1,0.1,0.39400758010835035,0,9,1,6,1,3
第４節第１日,10,4,0.4,0.39290456932817575,3,5,2,4,2,4
第５節第１日,5,1,0.2,0.40192694973734533,1,4,0,2,1,2
第５節第２日,5,1,0.2,0.4087830263572928,1,3,1,1,2,2
第６節第１日,8,1,0.125,0.395936543403582,1,3,4,4,2,2
第６節第２日,2,0,0.0,0.3972688403204965,1,1,0,1,1,0
第７節第１日,1,0,0.0,0.3784080992509699,0,1,0,0,0,1
