scenario,matches,main_hit_rate,actual_D_rate,main_miss_HA_flip_rate,stall_score_mean,flip_score_mean,hold_score_mean
hold,253,0.5849802371541502,0.22924901185770752,0.1857707509881423,0.021677647807663257,0.03806393449906904,0.48602322306098444
stall,113,0.39823008849557523,0.2920353982300885,0.13274336283185842,0.46608458069371655,0.19295289014287842,0.19072412184051404
flip,14,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.2790493798751409,0.4677660520552956,0.13865859044453172
