league,close_split_profile,matches,draw_hit,draw_hit_rate,draw_miss_to_h,draw_miss_to_a,draw_core_score_mean,swing_close_score_mean,prob_draw_mean,lab_mix_draw_mean
j1,draw_core,45,15,0.3333,17,13,0.7783718315439322,0.42898748888007554,0.43013182485354534,0.5485887061197923
j1,mixed_close,6,3,0.5,1,2,0.680558939477221,0.617933747198656,0.38319497617217957,0.5175390285769582
j1,soft_draw,6,1,0.1667,4,1,0.7403364552144726,0.5356614392800659,0.3898452528188312,0.5248231368124991
j1,swing_close,1,0,0.0,1,0,0.5680297919346019,0.7311629059883591,0.3672673344905308,0.4494338208876804
j2,mixed_close,27,5,0.1852,9,13,0.6888985729462627,0.6035546367073766,0.3820503254182246,0.5029986140741305
j2,soft_draw,6,1,0.1667,1,4,0.7410312479737556,0.5415310981670967,0.3970692894099734,0.5525403444456626
j2,swing_close,3,0,0.0,1,2,0.5433933938915833,0.7167690246684139,0.3554330576094184,0.4240298189042772
j2,draw_core,1,1,1.0,0,0,0.8283833219592432,0.3850256016523413,0.4092740987036025,0.5789703776033512
