league,rule_name,matches,actual_d_count,candidate_count,prob_draw_min,gap_max,hit_rate,hit_rate_delta_vs_argmax,actual_d_hit,actual_d_hit_delta_vs_argmax
J1,argmax_baseline,70,15,0,,,0.37142857142857144,0.0,5,0
J1,draw_p0.3300_g0.0000,70,15,20,0.33,0.0,0.37142857142857144,0.0,5,0
J1,draw_p0.3300_g0.0050,70,15,21,0.33,0.005,0.37142857142857144,0.0,5,0
J1,draw_p0.3300_g0.0100,70,15,21,0.33,0.01,0.37142857142857144,0.0,5,0
J1,draw_p0.3300_g0.0150,70,15,21,0.33,0.015,0.37142857142857144,0.0,5,0
J1,draw_p0.3300_g0.0200,70,15,22,0.33,0.02,0.38571428571428573,0.01428571428571429,6,1
J1,draw_p0.3325_g0.0000,70,15,20,0.3325,0.0,0.37142857142857144,0.0,5,0
J1,draw_p0.3325_g0.0050,70,15,20,0.3325,0.005,0.37142857142857144,0.0,5,0
J1,draw_p0.3325_g0.0100,70,15,20,0.3325,0.01,0.37142857142857144,0.0,5,0
J1,draw_p0.3325_g0.0150,70,15,20,0.3325,0.015,0.37142857142857144,0.0,5,0
J1,draw_p0.3325_g0.0200,70,15,21,0.3325,0.02,0.38571428571428573,0.01428571428571429,6,1
J1,draw_p0.3350_g0.0000,70,15,20,0.335,0.0,0.37142857142857144,0.0,5,0
J1,draw_p0.3350_g0.0050,70,15,20,0.335,0.005,0.37142857142857144,0.0,5,0
J1,draw_p0.3350_g0.0100,70,15,20,0.335,0.01,0.37142857142857144,0.0,5,0
J1,draw_p0.3350_g0.0150,70,15,20,0.335,0.015,0.37142857142857144,0.0,5,0
J1,draw_p0.3350_g0.0200,70,15,21,0.335,0.02,0.38571428571428573,0.01428571428571429,6,1
J1,draw_p0.3375_g0.0000,70,15,20,0.3375,0.0,0.37142857142857144,0.0,5,0
J1,draw_p0.3375_g0.0050,70,15,20,0.3375,0.005,0.37142857142857144,0.0,5,0
J1,draw_p0.3375_g0.0100,70,15,20,0.3375,0.01,0.37142857142857144,0.0,5,0
J1,draw_p0.3375_g0.0150,70,15,20,0.3375,0.015,0.37142857142857144,0.0,5,0
J1,draw_p0.3375_g0.0200,70,15,21,0.3375,0.02,0.38571428571428573,0.01428571428571429,6,1
J1,draw_p0.3400_g0.0000,70,15,20,0.34,0.0,0.37142857142857144,0.0,5,0
J1,draw_p0.3400_g0.0050,70,15,20,0.34,0.005,0.37142857142857144,0.0,5,0
J1,draw_p0.3400_g0.0100,70,15,20,0.34,0.01,0.37142857142857144,0.0,5,0
J1,draw_p0.3400_g0.0150,70,15,20,0.34,0.015,0.37142857142857144,0.0,5,0
J1,draw_p0.3400_g0.0200,70,15,20,0.34,0.02,0.37142857142857144,0.0,5,0
