league,basis_hint,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,side_path_mean,draw_support_mean,dispersion_mean,mix_draw_mean
J2,flat_draw_trap,323,129,0.3993808049535604,146,60,117,124,88,111,0.4599134589152198,0.635194357916673,0.24977212440258845,0.5729053201594096
J2,draw_compressed,45,21,0.4666666666666667,22,5,18,14,15,16,0.5299291632232991,0.5978333458516667,0.29264785767342877,0.5070856152548324
J2,basis_balanced,12,7,0.5833333333333334,10,0,2,5,5,2,0.6005828969155708,0.5627757487325412,0.26578047904145263,0.4305630795302187
