league,match_type,matches,hits,hit_rate,pred_H,pred_D,pred_A,act_H,act_D,act_A,elo_diff_mean,xg_diff_mean,rank_gap_mean
J2,away_strong,22,6,0.2727272727272727,2,11,9,9,2,11,-16.79369090909091,-2.809090909090909,7.818181818181818
J2,neutral,18,4,0.2222222222222222,1,15,2,9,4,5,-6.305983333333333,0.28888888888888886,0.05555555555555555
J2,home_strong,13,3,0.23076923076923078,8,4,1,6,6,1,30.83810769230769,3.9846153846153856,-8.461538461538462
J2,signal_conflict,8,2,0.25,2,5,1,6,1,1,10.5307,-1.0,-3.0
