target_branch,match_id,home_team,away_team,actual_result,argmax_result,predicted_result_main,decision_reason,prob_home_win,prob_draw,prob_away_win,draw_gap,d_score_close,d_score_stall,d_score_total,lab_draw_support_score,lab_dispersion_score,match_intensity_score,focus_stability_score,lab_mix_home,lab_mix_draw,lab_mix_away,match_type_lab_low_event,match_type_lab_style_conflict,match_type_lab_available
neutral__draw_compressed,j2_2026_02071404_湘南_秋田,湘南,秋田,A,H,D,NARROW_DRAW_OVERRIDE,0.3397592138430536,0.3951210584548838,0.2651197277020625,-0.0426977333022787,0.8234214125621083,0.2774978210570508,0.6050519759600853,0.587156283471452,0.2335900487903575,0.1803333333333333,0.8605555555555555,0.2486302114113141,0.5289869736350488,0.222382814953637,False,False,False
neutral__draw_compressed,j2_2026_02081405_いわき_札幌,いわき,札幌,H,H,D,J2_NEUTRAL_POS_PRESS_HOME_RESTORE,0.3429949130539645,0.4012973331601505,0.2557077537858849,-0.045201651511933,0.8142692180369318,0.2806412511861599,0.600818031296623,0.5914255599522035,0.2408563117309727,0.247,0.8605555555555555,0.2295003272053142,0.5548471748840897,0.215652497910596,False,False,False
neutral__draw_compressed,j2_2026_02151403_徳島_新潟,徳島,新潟,H,H,D,J2_NEUTRAL_POS_ELO_HOME_RESTORE,0.3648754841599921,0.3967763012117993,0.2383482146282084,-0.0191663295853814,0.8740524897210191,0.2686258901755697,0.6318818499028394,0.5934267159134778,0.2540920628541495,0.111,0.8605555555555555,0.219218122808983,0.5508322559264288,0.2299496212645881,False,False,False
neutral__draw_compressed,j2_2026_03011403_今治_新潟,今治,新潟,A,H,D,NARROW_DRAW_OVERRIDE,0.3175164287691843,0.4015715001230472,0.2809120711077685,-0.0726238081855997,0.7501077046603313,0.2768256535399431,0.560794884212176,0.5930718978669381,0.3236999881955929,0.1648,0.8337409722222222,0.2190891348622423,0.5533088124033602,0.2276020527343976,False,False,False
neutral__draw_compressed,j2_2026_03071403_いわき_大宮,いわき,大宮,D,D,D,NARROW_DRAW_OVERRIDE,0.294974386376836,0.4013906160797224,0.3036349975434416,-0.0870604727550447,0.7325434820957252,0.2721004101589737,0.5483662533210245,0.5977808077891521,0.211095273801559,0.086,0.8471902777777778,0.2208846768946873,0.5524438177471899,0.2266715053581228,False,False,False
neutral__draw_compressed,j2_2026_03071403_藤枝_磐田,藤枝,磐田,D,A,A,BASE_FUSION,0.2230389655636136,0.3758605329967679,0.4011005014396184,0.0118274637857359,0.9008083015610652,0.2629987329554017,0.6456844741187998,0.5688354438276924,0.2635678411864386,0.0788,0.8936798611111111,0.2375336251524911,0.540234783647662,0.222231591199847,False,False,False
neutral__draw_compressed,j2_2026_03291403_山形_栃木Ｃ,山形,栃木Ｃ,A,H,D,NARROW_DRAW_OVERRIDE,0.3333822307387453,0.3956786820720239,0.2709390871892307,-0.0503537640283975,0.8053010486987651,0.276134775466361,0.5936345394058035,0.5735527871277472,0.1788531017084253,0.1617666666666666,0.8146027777777778,0.2266337963508247,0.5329697015492716,0.2403965020999038,False,False,False
neutral__draw_compressed,j2_2026_04121404_秋田_湘南,秋田,湘南,A,D,D,NARROW_DRAW_OVERRIDE,0.2964946577656628,0.4009265907349065,0.3025787514994305,-0.0877448083409084,0.7326683798236794,0.2766549671340619,0.5502630147478325,0.5965741735479109,0.285421039995792,0.1803333333333333,0.7153958333333333,0.2167022960040412,0.5502917612879207,0.233005942708038,False,False,False
neutral__draw_compressed,j2_2026_04181403_新潟_今治,新潟,今治,H,A,D,J2_NEUTRAL_HOME_RESTORE,0.2941870885517077,0.3960025447988116,0.3098103666494807,-0.0751200076210977,0.7459110663899129,0.2772892412991065,0.5584623363535903,0.5717239561757759,0.351896275580992,0.1648,0.7913909722222222,0.2433524070146197,0.5315722177403052,0.2250753752450752,False,False,False
neutral__draw_compressed,j2_2026_04291403_富山_新潟,富山,新潟,H,A,D,J2_NEUTRAL_DEEP_DRAW_HOME_RESTORE,0.2892224057813741,0.3919486658219108,0.318828928396715,-0.0611036003676457,0.7814671559428527,0.2808429185791317,0.5812174609973643,0.5836205271120443,0.2029151416687084,0.2136666666666666,0.8032277777777779,0.2575440025786845,0.5137519595308866,0.2287040378904289,False,False,False
