節,matches,hit_argmax,hit_rate_argmax,avg_max_prob,pred_H_count,pred_D_count,pred_A_count,actual_H_count,actual_D_count,actual_A_count
第１節第１日,2,1,0.5,0.4250607875877326,0,1,1,1,0,1
第１節第２日,6,2,0.3333333333333333,0.4148901148901043,1,4,1,3,0,3
第１節第３日,2,0,0.0,0.42333255164016914,0,1,1,1,1,0
第２節第１日,1,1,1.0,0.610084424774771,0,0,1,0,0,1
第２節第２日,9,6,0.6666666666666666,0.41428588311819786,1,6,2,3,3,3
第３節第１日,2,2,1.0,0.36142498734341183,2,0,0,2,0,0
第３節第２日,7,3,0.42857142857142855,0.3901873183369906,1,5,1,4,2,1
第３節第３日,1,0,0.0,0.3614326691746294,0,1,0,1,0,0
第４節第１日,10,4,0.4,0.4400942601907684,1,4,5,5,2,3
第５節第１日,10,4,0.4,0.427917258336904,2,4,4,4,3,3
第６節第１日,1,1,1.0,0.38927043881499085,0,1,0,0,1,0
第６節第２日,9,2,0.2222222222222222,0.3898382089794114,1,5,3,5,1,3
第７節第１日,2,1,0.5,0.43815503001208084,0,1,1,1,0,1
第７節第２日,6,2,0.3333333333333333,0.39904898492346463,0,5,1,3,1,2
第７節第３日,2,1,0.5,0.4204002883503899,0,2,0,0,1,1
