test_round,train_round_min,train_round_max,draw_boost,temperature,home_shift,train_N,train_logloss,train_brier,train_accuracy,objective
6,1,5,1.1,1.1,0.02,117,1.0930818976583891,0.6656506719320234,0.3247863247863248,1.259494565641395
6,1,5,1.08,1.1,0.02,117,1.0933674150642059,0.6658139528453433,0.3504273504273504,1.2598209032755416
6,1,5,1.1,1.05,0.02,117,1.093363655992217,0.666068746243765,0.3247863247863248,1.2598808425531582
6,1,5,1.08,1.05,0.02,117,1.0936355951292942,0.6662213721777155,0.3504273504273504,1.260190938173723
6,1,5,1.06,1.1,0.02,117,1.0937244662727652,0.6660245833628081,0.3418803418803419,1.2602306121134672
6,1,5,1.1,1.0,0.02,117,1.093728263389506,0.6665719389996193,0.3247863247863248,1.260371248139411
6,1,5,1.06,1.05,0.02,117,1.0939853727702857,0.6664256435020143,0.3418803418803419,1.2605917836457894
6,1,5,1.08,1.0,0.02,117,1.093982555090664,0.6667111043906698,0.3504273504273504,1.2606603311883315
6,1,5,1.04,1.1,0.02,117,1.0941567331349198,0.666284549790991,0.3418803418803419,1.2607278705826674
6,1,5,1.1,0.95,0.02,117,1.0941973966214376,0.6671798162065378,0.3247863247863248,1.260992350673072
6,1,5,1.06,1.0,0.02,117,1.0943219350816114,0.6669068666420847,0.3418803418803419,1.2610486517421324
6,1,5,1.04,1.05,0.02,117,1.0944169930220506,0.6666837050558712,0.3418803418803419,1.2610879192860185
6,1,5,1.08,0.95,0.02,117,1.0944289032005698,0.6673020132998138,0.3504273504273504,1.2612544065255233
6,1,5,1.02,1.1,0.02,117,1.094668135161899,0.6665959300383892,0.3333333333333333,1.2613171176714963
6,1,5,1.04,1.0,0.02,117,1.0947507768636238,0.6671615505356189,0.3418803418803419,1.2615411644975285
6,1,5,1.06,0.95,0.02,117,1.0947538955489624,0.667486555450609,0.3418803418803419,1.2616255344116147
6,1,5,1.02,1.05,0.02,117,1.0949347170584107,0.6669977965436991,0.3333333333333333,1.2616841661943354
6,1,5,1.0,1.1,0.02,117,1.0952628491901366,0.666960898735494,0.3333333333333333,1.26200307387401
6,1,5,1.1,1.1,0.01,117,1.095326871056587,0.6670580025219923,0.3162393162393162,1.2620913716870852
6,1,5,1.04,0.95,0.02,117,1.0951771735681848,0.6677359730027751,0.3418803418803419,1.2621111668188785
6,1,5,1.02,1.0,0.02,117,1.0952737329499622,0.6674775786165533,0.3333333333333333,1.2621431276041006
6,1,5,1.0,1.05,0.02,117,1.0955430842697451,0.6673702574801638,0.3333333333333333,1.262385648639786
6,1,5,1.08,1.1,0.01,117,1.0956131169938828,0.667226462238958,0.3333333333333333,1.2624197325536222
6,1,5,1.1,1.05,0.01,117,1.0956577493565707,0.6675071124518311,0.3162393162393162,1.2625345274695285
6,1,5,1.02,0.95,0.02,117,1.0957038411052724,0.6680528963093795,0.3333333333333333,1.2627170651826174
6,1,5,1.06,1.1,0.01,117,1.095970907274366,0.6674422892550744,0.3247863247863248,1.2628314795881346
6,1,5,1.08,1.05,0.01,117,1.095930107502341,0.6676647354486943,0.3333333333333333,1.2628462913645147
6,1,5,1.0,1.0,0.02,117,1.095895757668705,0.6678574758314002,0.3333333333333333,1.262860126626555
6,1,5,1.1,1.0,0.01,117,1.0960710220328622,0.6680418848071833,0.3162393162393162,1.2630814932346581
6,1,5,1.06,1.05,0.01,117,1.096280310160065,0.6678740086504189,0.3247863247863248,1.26324881232267
6,1,5,1.04,1.1,0.01,117,1.0964039240026,0.6677074689738087,0.3418803418803419,1.263330791246052
6,1,5,1.08,1.0,0.01,117,1.09632531373402,0.6681857297254142,0.3333333333333333,1.2633717461653737
6,1,5,1.0,0.95,0.02,117,1.096339330599652,0.6684400598774449,0.3333333333333333,1.2634493455690132
6,1,5,1.04,1.05,0.01,117,1.0967123615740875,0.6681370755179824,0.3418803418803419,1.2637466304535832
6,1,5,1.1,0.95,0.01,117,1.0965875255815143,0.6686817458541544,0.3162393162393162,1.263757962045053
6,1,5,1.06,1.0,0.01,117,1.0966646937249673,0.6683861591385187,0.3247863247863248,1.2637612335095971
6,1,5,1.02,1.1,0.01,117,1.0969160869525734,0.6680240783285734,0.3162393162393162,1.2639221065347166
6,1,5,1.08,0.95,0.01,117,1.0968184659953815,0.668808116524762,0.3333333333333333,1.2640204951265719
6,1,5,1.04,1.0,0.01,117,1.0970935355069797,0.6686454958931954,0.3418803418803419,1.2642549094802786
6,1,5,1.02,1.05,0.01,117,1.097230523060216,0.6684561742889082,0.3162393162393162,1.264344566632443
6,1,5,1.06,0.95,0.01,117,1.0971428842161852,0.668996796913685,0.3247863247863248,1.2643920834446065
6,1,5,1.0,1.1,0.01,117,1.0975115732329788,0.6683942908978651,0.3247863247863248,1.264610145957445
6,1,5,1.02,1.0,0.01,117,1.0976164915933184,0.6689661604957876,0.3162393162393162,1.2648580317172653
6,1,5,1.04,0.95,0.01,117,1.0975655799868138,0.669250314787302,0.3418803418803419,1.2648781586836393
6,1,5,1.0,1.05,0.01,117,1.0978393341555166,0.6688336429168883,0.3247863247863248,1.2650477448847386
6,1,5,1.1,1.1,0.0,117,1.098058602355905,0.6687790374310953,0.3247863247863248,1.2652533617136787
6,1,5,1.02,0.95,0.01,117,1.098091656991804,0.6695712978064593,0.3162393162393162,1.2654844814434187
6,1,5,1.0,1.0,0.01,117,1.0982385163120607,0.6693506757444516,0.3247863247863248,1.2655761852481735
6,1,5,1.08,1.1,0.0,117,1.0983452627129078,0.6689563551001988,0.3162393162393162,1.2655843514879574
6,1,5,1.1,1.05,0.0,117,1.0984873615381607,0.6692872089070226,0.3247863247863248,1.2658091637649165
6,1,5,1.06,1.1,0.0,117,1.0987034735035124,0.6691811364212646,0.3076923076923077,1.2659987576088285
6,1,5,1.08,1.05,0.0,117,1.098759958363216,0.6694541541737812,0.3162393162393162,1.2661234969066613
6,1,5,1.0,0.95,0.01,117,1.0987265475041832,0.6699624776662372,0.3247863247863248,1.2662171669207425
6,1,5,1.1,1.0,0.0,117,1.099005293673185,0.6698851730705623,0.3247863247863248,1.2664765869408254
