league,rule_name,matches,actual_d_count,candidate_count,prob_draw_min,gap_max,hit_rate,hit_rate_delta_vs_argmax,actual_d_hit,actual_d_hit_delta_vs_argmax
J2,argmax_baseline,61,13,0,,,0.36065573770491804,0.0,1,0
J2,draw_p0.3350_g0.0000,61,13,8,0.335,0.0,0.36065573770491804,0.0,1,0
J2,draw_p0.3350_g0.0050,61,13,10,0.335,0.005,0.36065573770491804,0.0,1,0
J2,draw_p0.3350_g0.0100,61,13,12,0.335,0.01,0.36065573770491804,0.0,1,0
J2,draw_p0.3350_g0.0150,61,13,18,0.335,0.015,0.3114754098360656,-0.04918032786885246,1,0
J2,draw_p0.3350_g0.0200,61,13,20,0.335,0.02,0.2786885245901639,-0.08196721311475413,1,0
J2,draw_p0.3375_g0.0000,61,13,8,0.3375,0.0,0.36065573770491804,0.0,1,0
J2,draw_p0.3375_g0.0050,61,13,10,0.3375,0.005,0.36065573770491804,0.0,1,0
J2,draw_p0.3375_g0.0100,61,13,12,0.3375,0.01,0.36065573770491804,0.0,1,0
J2,draw_p0.3375_g0.0150,61,13,18,0.3375,0.015,0.3114754098360656,-0.04918032786885246,1,0
J2,draw_p0.3375_g0.0200,61,13,20,0.3375,0.02,0.2786885245901639,-0.08196721311475413,1,0
J2,draw_p0.3400_g0.0000,61,13,8,0.34,0.0,0.36065573770491804,0.0,1,0
J2,draw_p0.3400_g0.0050,61,13,10,0.34,0.005,0.36065573770491804,0.0,1,0
J2,draw_p0.3400_g0.0100,61,13,12,0.34,0.01,0.36065573770491804,0.0,1,0
J2,draw_p0.3400_g0.0150,61,13,18,0.34,0.015,0.3114754098360656,-0.04918032786885246,1,0
J2,draw_p0.3400_g0.0200,61,13,18,0.34,0.02,0.3114754098360656,-0.04918032786885246,1,0
J2,draw_p0.3425_g0.0000,61,13,0,0.3425,0.0,0.36065573770491804,0.0,1,0
J2,draw_p0.3425_g0.0050,61,13,0,0.3425,0.005,0.36065573770491804,0.0,1,0
J2,draw_p0.3425_g0.0100,61,13,0,0.3425,0.01,0.36065573770491804,0.0,1,0
J2,draw_p0.3425_g0.0150,61,13,0,0.3425,0.015,0.36065573770491804,0.0,1,0
J2,draw_p0.3425_g0.0200,61,13,0,0.3425,0.02,0.36065573770491804,0.0,1,0
J2,draw_p0.3450_g0.0000,61,13,0,0.345,0.0,0.36065573770491804,0.0,1,0
J2,draw_p0.3450_g0.0050,61,13,0,0.345,0.005,0.36065573770491804,0.0,1,0
J2,draw_p0.3450_g0.0100,61,13,0,0.345,0.01,0.36065573770491804,0.0,1,0
J2,draw_p0.3450_g0.0150,61,13,0,0.345,0.015,0.36065573770491804,0.0,1,0
J2,draw_p0.3450_g0.0200,61,13,0,0.345,0.02,0.36065573770491804,0.0,1,0
