league,profile,slice,matches,draw_hit,draw_hit_rate,miss_to_h,miss_to_a
j2,draw_core,draw_core_ge_070,1,1,1.0,0,0
j2,draw_core,draw_core_ge_075,1,1,1.0,0,0
j2,mixed_close,draw_core_ge_070,8,1,0.125,3,4
j2,mixed_close,draw_core_ge_075,5,1,0.2,2,2
j2,mixed_close,swing_ge_050,27,5,0.1852,9,13
j2,mixed_close,swing_ge_055,27,5,0.1852,9,13
j2,mixed_close,mixed_band,27,5,0.1852,9,13
j2,soft_draw,draw_core_ge_070,4,1,0.25,0,3
j2,soft_draw,draw_core_ge_075,2,1,0.5,0,1
j2,soft_draw,swing_ge_050,6,1,0.1667,1,4
j2,soft_draw,swing_ge_055,2,0,0.0,0,2
j2,swing_close,swing_ge_050,3,0,0.0,1,2
j2,swing_close,swing_ge_055,3,0,0.0,1,2
j2,swing_close,mixed_band,1,0,0.0,0,1
