league,season_year,match_id,節,試合日,datetime,home_team,away_team,actual_result,pred_final_label,pred_postfusion_main_argmax,pred_argmax,is_hit_final_label,is_hit_postfusion_main_argmax,is_hit_argmax,max_prob,prob_home_win,prob_draw,prob_away_win,elo_diff_for_prob,applied_hfa_for_prob
j2,2026,j2_2026_08081450_札幌_徳島,第１節第１日,2026-08-08,2026-08-08 14:50:00,札幌,徳島,H,A,A,A,0,0,0,0.3849920624732853,0.2541006280707483,0.3609073094559665,0.3849920624732853,-45.4635,4.2
j2,2026,j2_2026_08081833_八戸_富山,第１節第１日,2026-08-08,2026-08-08 18:33:00,八戸,富山,H,H,H,H,1,1,1,0.38116608066993385,0.38116608066993385,0.36306994844781243,0.25576397088225383,52.9666,4.2
j2,2026,j2_2026_08081833_藤枝_仙台,第１節第１日,2026-08-08,2026-08-08 18:33:00,藤枝,仙台,H,A,A,A,0,0,0,0.4099962406509267,0.21344039655595615,0.37656336279311714,0.4099962406509267,-76.7132,4.2
j2,2026,j2_2026_08081903_大宮_新潟,第１節第１日,2026-08-08,2026-08-08 19:03:00,大宮,新潟,H,H,H,H,1,1,1,0.375974978416903,0.375974978416903,0.3581766837853243,0.2658483377977727,31.8408,4.2
j2,2026,j2_2026_08081903_宮崎_横浜FC,第１節第１日,2026-08-08,2026-08-08 19:03:00,宮崎,横浜FC,A,D,D,D,0,0,0,0.3786921112317495,0.31529931273455847,0.3786921112317495,0.3060085760336921,3.5127,4.2
j2,2026,j2_2026_08081903_磐田_秋田,第１節第１日,2026-08-08,2026-08-08 19:03:00,磐田,秋田,D,H,H,H,0,0,0,0.42405804087176646,0.42405804087176646,0.3539723075774167,0.2219696515508168,68.1313,4.2
j2,2026,j2_2026_08081905_大分_湘南,第１節第１日,2026-08-08,2026-08-08 19:05:00,大分,湘南,A,A,A,A,1,1,1,0.3957767796512438,0.24104023212625963,0.3631829882224967,0.3957767796512438,-52.0871,4.2
j2,2026,j2_2026_08081937_鳥栖_甲府,第１節第１日,2026-08-08,2026-08-08 19:37:00,鳥栖,甲府,H,H,H,H,1,1,1,0.40932897202120444,0.40932897202120444,0.3544668905398601,0.23620413743893554,56.7177,4.2
j2,2026,j2_2026_08091807_いわき_今治,第１節第２日,2026-08-09,2026-08-09 18:07:00,いわき,今治,H,D,D,D,0,0,0,0.40603367164235116,0.3351073861431743,0.40603367164235116,0.25885894221447453,30.347,4.2
j2,2026,j2_2026_08091904_山形_栃木C,第１節第２日,2026-08-09,2026-08-09 19:04:00,山形,栃木Ｃ,H,D,D,D,0,0,0,0.38253395506898036,0.33916396041308,0.38253395506898036,0.27830208451793964,20.9879,4.2
j2,2026,j2_2026_08151803_栃木C_八戸,第２節第１日,2026-08-15,2026-08-15 18:03:00,栃木Ｃ,八戸,H,D,D,D,0,0,0,0.38108718134103536,0.30387549617922893,0.38108718134103536,0.31503732247973565,-11.3024,4.2
j2,2026,j2_2026_08151803_秋田_富山,第２節第１日,2026-08-15,2026-08-15 18:03:00,秋田,富山,A,H,H,H,0,0,0,0.3783509256131673,0.3783509256131673,0.3563102987568228,0.26533877563001,37.7599,4.2
