miss_pattern,count,ratio
H→D,52,0.23318385650224216
H→A,49,0.21973094170403587
A→H,39,0.17488789237668162
A→D,37,0.16591928251121077
D→H,27,0.1210762331838565
D→A,19,0.08520179372197309
