league,rule_name,matches,actual_d_count,candidate_count,prob_draw_min,gap_max,hit_rate,hit_rate_delta_vs_argmax,actual_d_hit,actual_d_hit_delta_vs_argmax
J2,argmax_baseline,380,108,0,,,0.4131578947368421,0.0,19,0
J2,draw_p0.3350_g0.0000,380,108,65,0.335,0.0,0.4131578947368421,0.0,19,0
J2,draw_p0.3350_g0.0050,380,108,80,0.335,0.005,0.4236842105263158,0.010526315789473661,25,6
J2,draw_p0.3350_g0.0100,380,108,104,0.335,0.01,0.4,-0.01315789473684209,29,10
J2,draw_p0.3350_g0.0150,380,108,117,0.335,0.015,0.37894736842105264,-0.03421052631578947,30,11
J2,draw_p0.3350_g0.0200,380,108,132,0.335,0.02,0.3868421052631579,-0.026315789473684237,36,17
J2,draw_p0.3375_g0.0000,380,108,65,0.3375,0.0,0.4131578947368421,0.0,19,0
J2,draw_p0.3375_g0.0050,380,108,80,0.3375,0.005,0.4236842105263158,0.010526315789473661,25,6
J2,draw_p0.3375_g0.0100,380,108,104,0.3375,0.01,0.4,-0.01315789473684209,29,10
J2,draw_p0.3375_g0.0150,380,108,117,0.3375,0.015,0.37894736842105264,-0.03421052631578947,30,11
J2,draw_p0.3375_g0.0200,380,108,132,0.3375,0.02,0.3868421052631579,-0.026315789473684237,36,17
J2,draw_p0.3400_g0.0000,380,108,65,0.34,0.0,0.4131578947368421,0.0,19,0
J2,draw_p0.3400_g0.0050,380,108,80,0.34,0.005,0.4236842105263158,0.010526315789473661,25,6
J2,draw_p0.3400_g0.0100,380,108,104,0.34,0.01,0.4,-0.01315789473684209,29,10
J2,draw_p0.3400_g0.0150,380,108,117,0.34,0.015,0.37894736842105264,-0.03421052631578947,30,11
J2,draw_p0.3400_g0.0200,380,108,121,0.34,0.02,0.37894736842105264,-0.03421052631578947,31,12
J2,draw_p0.3425_g0.0000,380,108,0,0.3425,0.0,0.4131578947368421,0.0,19,0
J2,draw_p0.3425_g0.0050,380,108,0,0.3425,0.005,0.4131578947368421,0.0,19,0
J2,draw_p0.3425_g0.0100,380,108,0,0.3425,0.01,0.4131578947368421,0.0,19,0
J2,draw_p0.3425_g0.0150,380,108,0,0.3425,0.015,0.4131578947368421,0.0,19,0
J2,draw_p0.3425_g0.0200,380,108,0,0.3425,0.02,0.4131578947368421,0.0,19,0
J2,draw_p0.3450_g0.0000,380,108,0,0.345,0.0,0.4131578947368421,0.0,19,0
J2,draw_p0.3450_g0.0050,380,108,0,0.345,0.005,0.4131578947368421,0.0,19,0
J2,draw_p0.3450_g0.0100,380,108,0,0.345,0.01,0.4131578947368421,0.0,19,0
J2,draw_p0.3450_g0.0150,380,108,0,0.345,0.015,0.4131578947368421,0.0,19,0
J2,draw_p0.3450_g0.0200,380,108,0,0.345,0.02,0.4131578947368421,0.0,19,0
