節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,_merge_weather
第１節第１日,j2_2026_08081450_札幌_徳島,2026-08-08 14:50:00,プレド,札幌,徳島,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j2_2026_08081833_藤枝_仙台,2026-08-08 18:33:00,藤枝サ,藤枝,仙台,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j2_2026_08081903_大宮_新潟,2026-08-08 19:03:00,ＮＡＣＫ,大宮,新潟,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j2_2026_08081903_磐田_秋田,2026-08-08 19:03:00,ヤマハ,磐田,秋田,1.0,1.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j2_2026_08081903_宮崎_横浜FC,2026-08-08 19:03:00,いちご,宮崎,横浜FC,0.0,1.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j2_2026_08081905_大分_湘南,2026-08-08 19:05:00,クラド,大分,湘南,0.0,1.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j2_2026_08081937_鳥栖_甲府,2026-08-08 19:37:00,駅スタ,鳥栖,甲府,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第２日,j2_2026_08091807_いわき_今治,2026-08-09 18:07:00,ハワスタ,いわき,今治,2.0,1.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第２日,j2_2026_08091904_山形_栃木C,2026-08-09 19:04:00,ＮＤスタ,山形,栃木Ｃ,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j2_2026_08081833_八戸_富山,2026-08-08 18:33:00,プラスタ,八戸,富山,2.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
