節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,_merge_fatigue_finished
第１戦第２日,j2_2026_05311403_秋田_札幌,2026-05-31 14:03:00,ソユスタ,秋田,札幌,1.0,1.0,,,left_only
第１戦第１日,j2_2026_05301403_湘南_いわき,2026-05-30 14:03:00,レモンＳ,湘南,いわき,1.0,2.0,,,left_only
第１戦第１日,j2_2026_05301403_栃木Ｃ_磐田,2026-05-30 14:03:00,ＣＦＳ,栃木Ｃ,磐田,3.0,3.0,,,left_only
第１戦第１日,j2_2026_05301403_横浜FC_大宮,2026-05-30 14:03:00,ニッパツ,横浜FC,大宮,2.0,1.0,,,left_only
第１戦第１日,j2_2026_05301403_仙台_甲府,2026-05-30 14:03:00,ユアスタ,仙台,甲府,1.0,0.0,,,left_only
第１戦第１日,j2_2026_05301403_徳島_鳥栖,2026-05-30 14:03:00,鳴門大塚,徳島,鳥栖,3.0,1.0,,,left_only
第１戦第１日,j2_2026_05301803_富山_宮崎,2026-05-30 18:03:00,長野Ｕ,富山,宮崎,1.0,0.0,,,left_only
