stadium_name,home_teams,league
●未定●,讃岐,J2
いちご,宮崎,J2
えがおＳ,熊本,J2
とうスタ,福島,J2
みらスタ,山口,J2
カンセキ,栃木SC,J2
ギオンス,相模原,J2
ギケンス,高知,J2
クロスタ,宮崎,J2
ゴースタ,金沢,J2
サンアル,松本,J2
ニンスタ,愛媛,J2
ハトスタ,滋賀,J2
プレド,札幌,J2
ミクスタ,北九州,J2
メグスタ,讃岐,J2
ロートＦ,奈良,J2
札幌厚別,札幌,J2
正田スタ,群馬,J2
沖縄県陸,琉球,J2
白波スタ,鹿児島,J2
花園,FC大阪,J2
藤枝サ,藤枝,J2
長良川,岐阜,J2
長野Ｕ,長野,J2
Ａｘｉｓ,鳥取,J2
