match_id,home_elo,away_elo,home_advantage_diff_input,hfa_enabled,matchup_bias_enabled,matchup_bias_coef,matchup_bias,home_advantage_profile_diff_raw,home_advantage_profile_diff_clipped,HFA_base,HFA_multiplier,hfa_clip_min,hfa_clip_max,elo_diff_scale_factor,hfa_added_to_diff,hfa_added_to_diff_raw,HFA_applied,elo_diff_before_hfa,elo_diff_after_hfa,diff_raw_no_hfa,elo_diff_raw,elo_diff_scaled,elo_diff_for_prob,elo_diff,expected_home,draw_model_input,draw_model_output,draw_model_poi,draw_model_elo,absence_home_score,absence_away_score,absence_diff_for_prob,absence_adjust_for_prob,elo_diff_effective_for_multinom,hda_model_mode_effective,prob_home_win,prob_draw,prob_away_win,prob_home_win_before_signfix,prob_away_win_before_signfix,elo_sign_fix_applied,elo_sign_fix_reason,predicted_result,decision_reason,argmax_result,argmax_max_prob,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,base_prob_home,base_prob_draw,base_prob_away,prob_home_win_cal,prob_draw_cal,prob_away_win_cal,final_prob_home,final_prob_draw,final_prob_away,delta_prob_home,delta_prob_draw,delta_prob_away,residue_detected,predicted_result_cal,decision_reason_cal,argmax_result_cal,argmax_max_prob_cal,phase
j1_2026_09191800_川崎F_鹿島,1532.0178638131608,1587.9858726665605,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-55.968008853399624,-55.968008853399624,-55.968008853399624,-55.968008853399624,-41.04320649249306,-41.04320649249306,-41.04320649249306,0.46070392675998917,41.048049478207346,0.37228735856609696,,,0.066667,0.018237142857142858,-0.04842985714285715,-0.004842985714285715,-41.048049478207346,multinom,0.29015354743250815,0.37228735856609696,0.33755909400139494,0.29015354743250815,0.33755909400139494,False,,D,ARGMAX,D,0.37228735856609696,0.29015354743250815,0.37228735856609696,0.33755909400139494,0.2853376318086171,0.36610820093538543,0.34855416725599736,0.2853376318086171,0.36610820093538543,0.34855416725599736,0.2853376318086171,0.36610820093538543,0.34855416725599736,0.0,0.0,0.0,False,D,ARGMAX,D,0.36610820093538543,prediction
j1_2026_09191800_福岡_広島,1452.9444133039037,1583.765506475245,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-130.82109317134132,-130.82109317134132,-130.82109317134132,-130.82109317134132,-95.9354683256503,-95.9354683256503,-95.9354683256503,0.4089842632041259,95.9328877256503,0.18484695663112144,,,0.0,0.025806,0.025806,0.0025806,-95.9328877256503,multinom,0.16882822397581512,0.18484695663112144,0.6463248193930635,0.16882822397581512,0.6463248193930635,False,,A,ARGMAX,A,0.6463248193930635,0.16882822397581512,0.18484695663112144,0.6463248193930635,0.1635431249412825,0.17906039767183643,0.657396477386881,0.1635431249412825,0.17906039767183643,0.657396477386881,0.1635431249412825,0.17906039767183643,0.657396477386881,0.0,0.0,0.0,False,A,ARGMAX,A,0.657396477386881,prediction
j1_2026_09191830_浦和_東京V,1520.4152975845043,1441.5790991182405,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,78.8361984662638,78.8361984662638,78.8361984662638,78.8361984662638,57.813212208593455,57.813212208593455,57.813212208593455,0.5552401874695345,57.830672577641074,0.32109462623450713,,,0.05,0.2246036904761905,0.1746036904761905,0.01746036904761905,57.830672577641074,multinom,0.342380226962547,0.32109462623450713,0.3365251468029459,0.342380226962547,0.3365251468029459,False,,H,ARGMAX,H,0.342380226962547,0.342380226962547,0.32109462623450713,0.3365251468029459,0.33671458077622635,0.31578121032637235,0.3475042088974012,0.33671458077622635,0.31578121032637235,0.3475042088974012,0.33671458077622635,0.31578121032637235,0.3475042088974012,0.0,0.0,0.0,False,A,ARGMAX,A,0.3475042088974012,prediction
j1_2026_09191830_清水_千葉,1448.6459499506016,1465.6483606520708,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-17.002410701469216,-17.002410701469216,-17.002410701469216,-17.002410701469216,-12.46843451441076,-12.46843451441076,-12.46843451441076,0.4880399354213127,12.46291066441076,0.374448125096474,,,0.0114285,0.066667,0.0552385,0.00552385,-12.46291066441076,multinom,0.2949681813465004,0.374448125096474,0.3305836935570257,0.3305836935570257,0.2949681813465004,True,neg_diff_home_gt_away_swap,D,ARGMAX,D,0.374448125096474,0.2949681813465004,0.374448125096474,0.3305836935570257,0.29017187680644785,0.36835944382171426,0.34146867937183784,0.29017187680644785,0.36835944382171426,0.34146867937183784,0.29017187680644785,0.36835944382171426,0.34146867937183784,0.0,0.0,0.0,False,D,ARGMAX,D,0.36835944382171426,prediction
j1_2026_09191830_長崎_C大阪,1486.4417235516175,1500.4785529573169,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-14.036829405699336,-14.036829405699336,-14.036829405699336,-14.036829405699336,-10.293674897512847,-10.293674897512847,-10.293674897512847,0.49012542476925425,10.291174897512848,0.4019348392355617,,,0.0,0.025,0.025,0.0025000000000000005,-10.291174897512848,multinom,0.28018870928365786,0.4019348392355617,0.3178764514807805,0.28018870928365786,0.3178764514807805,False,,D,ARGMAX,D,0.4019348392355617,0.28018870928365786,0.4019348392355617,0.3178764514807805,0.2758051117721384,0.3956465039005278,0.32854838432733363,0.2758051117721384,0.3956465039005278,0.32854838432733363,0.2758051117721384,0.3956465039005278,0.32854838432733363,0.0,0.0,0.0,False,D,ARGMAX,D,0.3956465039005278,prediction
j1_2026_09191900_FC東京_名古屋,1536.3322504538176,1448.9663594190042,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,87.36589103481333,87.36589103481333,87.36589103481333,87.36589103481333,64.06832009219644,64.06832009219644,64.06832009219644,0.5611600188949517,64.08176019219644,0.29019955413550563,,,0.033684,0.16808499999999998,0.134401,0.0134401,64.08176019219644,multinom,0.3597115720664697,0.29019955413550563,0.3500888737980247,0.3597115720664697,0.3500888737980247,False,,H,ARGMAX,H,0.3597115720664697,0.3597115720664697,0.29019955413550563,0.3500888737980247,0.35352334262246904,0.2852071614381549,0.36126949593937613,0.35352334262246904,0.2852071614381549,0.36126949593937613,0.35352334262246904,0.2852071614381549,0.36126949593937613,0.0,0.0,0.0,False,A,ARGMAX,A,0.36126949593937613,prediction
j1_2026_09191900_岡山_京都,1485.0334467344478,1531.3537241313115,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-46.32027739686373,-46.32027739686373,-46.32027739686373,-46.32027739686373,-33.96820342436674,-33.96820342436674,-33.96820342436674,0.46745662199323124,33.964286124366744,0.3212738416728199,,,0.010827,0.05,0.039173,0.0039173,-33.964286124366744,multinom,0.33884296017460863,0.3212738416728199,0.33988319815257134,0.33884296017460863,0.33988319815257134,False,,A,ARGMAX,A,0.33988319815257134,0.33884296017460863,0.3212738416728199,0.33988319815257134,0.3331808318401603,0.31590529654762284,0.35091387161221693,0.3331808318401603,0.31590529654762284,0.35091387161221693,0.3331808318401603,0.31590529654762284,0.35091387161221693,0.0,0.0,0.0,False,A,ARGMAX,A,0.35091387161221693,prediction
j1_2026_09191930_横浜FM_水戸,1508.336331567684,1508.9896504133046,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-0.6533188456205608,-0.6533188456205608,-0.6533188456205608,-0.6533188456205608,-0.4791004867884113,-0.4791004867884113,-0.4791004867884113,0.49954034611326975,0.48257878678841126,0.4236702917882984,,,0.034783,0.0,-0.034783,-0.0034783,-0.48257878678841126,multinom,0.2699229640234821,0.4236702917882984,0.30640674418821945,0.30640674418821945,0.2699229640234821,True,neg_diff_home_gt_away_swap,D,ARGMAX,D,0.4236702917882984,0.2699229640234821,0.4236702917882984,0.30640674418821945,0.2658500515860446,0.41727746038530883,0.31687248802864654,0.2658500515860446,0.41727746038530883,0.31687248802864654,0.2658500515860446,0.41727746038530883,0.31687248802864654,0.0,0.0,0.0,False,D,ARGMAX,D,0.41727746038530883,prediction
j1_2026_09201700_町田_柏,1569.652845812938,1610.8505035364842,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-41.19765772354617,-41.19765772354617,-41.19765772354617,-41.19765772354617,-30.211615663933863,-30.211615663933863,-30.211615663933863,0.47104708584488775,30.211615663933863,0.3850559214475982,,,0.05,0.05,0.0,0.0,-30.211615663933863,multinom,0.30055804227867894,0.3850559214475982,0.3143860362737229,0.30055804227867894,0.3143860362737229,False,,D,ARGMAX,D,0.3850559214475982,0.30055804227867894,0.3850559214475982,0.3143860362737229,0.2959065971691167,0.3790967846727295,0.32499661815815367,0.2959065971691167,0.3790967846727295,0.32499661815815367,0.2959065971691167,0.3790967846727295,0.32499661815815367,0.0,0.0,0.0,False,D,ARGMAX,D,0.3790967846727295,prediction
j1_2026_09201700_G大阪_神戸,1499.633751659352,1576.1920061984345,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-76.55825453908255,-76.55825453908255,-76.55825453908255,-76.55825453908255,-56.14271999532721,-56.14271999532721,-56.14271999532721,0.44634349336538665,56.14210290961292,0.25843842139725093,,,0.011607142857142858,0.017778,0.006170857142857141,0.0006170857142857142,-56.14210290961292,multinom,0.2085827107127357,0.25843842139725093,0.5329788678900135,0.2085827107127357,0.5329788678900135,False,,A,ARGMAX,A,0.5329788678900135,0.2085827107127357,0.25843842139725093,0.5329788678900135,0.20316848524976813,0.251730080725309,0.5451014340249227,0.20316848524976813,0.251730080725309,0.5451014340249227,0.20316848524976813,0.251730080725309,0.5451014340249227,0.0,0.0,0.0,False,A,ARGMAX,A,0.5451014340249227,prediction
