match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,岡山,広島,best=2 second=0 third=1 (base=2) margin=0.003,1,H,2,False,2,False,2,False,0,False,2,False,2,False,2,False,2,False,2,False,2,False
2,J1,FC東京,川崎Ｆ,best=1 second=0 third=2 (base=1) margin=0.070,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True,1,True
3,J1,京都,清水,best=0 second=2 third=1 (base=0) margin=0.095,2,A,0,False,0,False,0,False,1,False,0,False,0,False,0,False,0,False,0,False,1,False
4,J1,Ｇ大阪,神戸,best=2 second=0 third=1 (base=2) margin=0.003,1,H,2,False,2,False,2,False,2,False,0,False,2,False,2,False,2,False,2,False,2,False
5,J1,浦和,千葉,best=1 second=0 third=2 (base=1) margin=0.069,1,H,1,True,1,True,1,True,1,True,1,True,1,True,2,False,1,True,1,True,2,False
6,J1,横浜FM,水戸,best=0 second=2 third=1 (base=0) margin=0.197,0,D,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
7,J1,東京Ｖ,柏,best=0 second=2 third=1 (base=0) margin=0.093,1,H,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False,0,False
8,J1,Ｃ大阪,福岡,best=1 second=0 third=2 (base=1) margin=0.081,0,D,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
9,J1,長崎,名古屋,best=2 second=0 third=1 (base=2) margin=0.103,2,A,2,True,0,False,2,True,2,True,2,True,2,True,2,True,2,True,2,True,2,True
10,J1,鹿島,町田,best=2 second=0 third=1 (base=2) margin=0.085,0,D,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False,2,False
11,J2,仙台,秋田,best=1 second=0 third=2 (base=1) margin=0.010,2,A,1,False,1,False,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False
12,J2,鳥栖,宮崎,best=0 second=2 third=1 (base=0) margin=0.125,0,D,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True,0,True
13,J2,磐田,いわき,best=0 second=2 third=1 (base=0) margin=0.078,0,D,0,True,0,True,0,True,0,True,0,True,0,True,1,False,0,True,0,True,2,False
