diff_type,match_no,home_team,away_team,league
missing_in_toto_order,,大分,いわき,j2
missing_in_toto_order,,宮崎,湘南,j2
missing_in_toto_order,,富山,今治,j2
missing_in_toto_order,,町田,浦和,j1
missing_in_toto_order,,鳥栖,栃木Ｃ,j2
matched,1,鹿島,福岡,
matched,2,岡山,東京V,
matched,3,名古屋,G大阪,
matched,4,京都,水戸,
matched,5,広島,川崎F,
matched,6,C大阪,清水,
matched,7,横浜ＦM,神戸,
matched,8,札幌,大宮,
matched,9,山形,横浜ＦＣ,
matched,10,磐田,徳島,
matched,11,八戸,仙台,
matched,12,新潟,藤枝,
matched,13,秋田,甲府,
