match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J2,仙台,山形,best=1 second=0 third=2 (base=1) margin=0.048,1,H,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True,1,True,1,True
2,J1,清水,名古屋,best=1 second=0 third=2 (base=1) margin=0.050,2,A,1,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,1,False,1,False
3,J1,岡山,福岡,best=0 second=1 third=2 (base=0) margin=0.132,1,H,0,False,0,False,0,False,0,False,0,False,0,False,0,False,1,True,2,False,0,False
4,J1,浦和,横浜FM,best=1 second=0 third=2 (base=1) margin=0.299,2,A,1,False,1,False,1,False,0,False,1,False,1,False,1,False,1,False,1,False,1,False
5,J1,川崎Ｆ,千葉,best=1 second=0 third=2 (base=1) margin=0.360,1,H,1,True,1,True,1,True,0,False,1,True,1,True,1,True,1,True,1,True,1,True
6,J1,長崎,Ｇ大阪,best=2 second=0 third=1 (base=2) margin=0.012,0,D,2,False,0,True,0,True,2,False,2,False,2,False,0,True,2,False,2,False,0,True
7,J2,札幌,いわき,best=2 second=0 third=1 (base=2) margin=0.040,1,H,2,False,0,False,1,True,2,False,0,False,2,False,1,True,2,False,2,False,2,False
8,J2,藤枝,大宮,best=2 second=0 third=1 (base=2) margin=0.012,0,D,2,False,0,True,0,True,2,False,2,False,2,False,1,False,2,False,2,False,1,False
9,UNKNOWN,HOME_09,AWAY_09,,,,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
10,J2,今治,富山,best=1 second=0 third=2 (base=1) margin=0.013,2,A,1,False,0,False,1,False,1,False,1,False,0,False,0,False,1,False,1,False,1,False
11,UNKNOWN,HOME_11,AWAY_11,,,,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
12,UNKNOWN,HOME_12,AWAY_12,,,,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
13,UNKNOWN,HOME_13,AWAY_13,,,,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False,1,False
