diff_type,match_no,home_team,away_team,league
missing_in_toto_order,,いわき,新潟,j2
missing_in_toto_order,,今治,山形,j2
missing_in_toto_order,,大宮,湘南,j2
missing_in_toto_order,,富山,藤枝,j2
missing_in_toto_order,,栃木Ｃ,磐田,j2
missing_in_toto_order,,横浜FC,鳥栖,j2
missing_in_toto_order,,甲府,札幌,j2
matched,1,水戸,町田,
matched,2,清水,柏,
matched,3,京都,福岡,
matched,4,東京V,鹿島,
matched,5,神戸,C大阪,
matched,6,G大阪,広島,
matched,7,浦和,横浜ＦM,
matched,8,川崎F,千葉,
matched,9,名古屋,岡山,
matched,10,長崎,ＦＣ東京,
matched,11,徳島,大分,
matched,12,八戸,秋田,
matched,13,仙台,宮崎,
