N,logloss,brier,top1_accuracy,pred_H_pct,pred_D_pct,pred_A_pct,pred_H_cnt,pred_D_cnt,pred_A_cnt,actual_H_pct,actual_D_pct,actual_A_pct,actual_H_cnt,actual_D_cnt,actual_A_cnt,prob_cols,set,league,dataset,season_year,season_label
2,1.4898726285345025,0.9186161277851599,0.0,100.0,0.0,0.0,2,0,0,0.0,100.0,0.0,0,2,0,"prob_home_win,prob_draw,prob_away_win",baseline,j2,2026_r3to4,2026,j2_2026_r3to4
2,1.3227629127129892,0.823951583119992,0.0,100.0,0.0,0.0,2,0,0,0.0,100.0,0.0,0,2,0,"prob_home_win,prob_draw,prob_away_win",current,j2,2026_r3to4,2026,j2_2026_r3to4
