match_no,home_team,away_team,league,context_primary_pick,context_secondary_pick,context_risk_level,context_ticket_guidance,context_decision_summary,context_match_purchase_type,context_match_purchase_subtype,context_purchase_type_confidence,context_purchase_type_reason,context_anchor_candidate_flag,context_draw_core_candidate_flag,context_draw_core_flag,context_draw_purchase_tier,p_home,p_draw,p_away,diff_ha,margin_best_second,entropy,draw_candidate,draw_candidate_reason,draw_score,draw_branch_candidate,draw_branch_score,away_value_candidate,away_value_score,flab_trial_flag,flab_trial_score,closeness_2axis,closeness_effective_base,d_weight_base,buyplan_base_choice,buyplan_base_reason,shape_draw_pressure_score,shape_swing_score,shape_hold_lock_score,shape_hold_strength,shape_draw_compression,shape_swing_instability,shape_path_imbalance,shape_entropy,shape_directionality,topology_asymmetry_score,admission_draw_score,admission_escape_draw_score,admission_escape_home_score,admission_escape_away_score,shape_cluster_label,shape_overlap_subtype,lab_draw_pressure_score,lab_swing_score,lab_hold_lock_score,lab_cluster_label,lab_overlap_subtype,lab_matchup_profile,lab_hold_weight,lab_stall_weight,lab_flip_weight,lab_volatility_score,lab_draw_tension_score,lab_dynamic_swing_score,lab_hold_foundation_score,lab_stall_compactness_score,lab_flip_dislocation_score,lab_home_path_score,lab_away_path_score,lab_scenario_entropy_score,lab_draw_path_score,lab_mix_home,lab_mix_draw,lab_mix_away,lab_tempo_band,lab_control_band,lab_pressure_band,lab_state_notes,lab_basis_hint,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,横浜FM,千葉,J1,2,2,medium,side_single,side A: top_gap=0.066 max_prob=0.388,chaos_draw_watch,draw_live,medium,pd=0.388 draw_tension=0.744 entropy=0.439 top_gap=0.066,False,False,False,side,0.28120515536320567,0.40641573487462174,0.3123791097621725,0.031173954398966808,0.09403662511244926,1.0861497038682495,False,shape_not_close_3way,1.172033913038344,False,0.8655856697608767,False,0.7153639528206063,,0.0,0.7921736373402213,0.7921736373402213,0.2772607730690774,0,2AXIS_CLOSE_DRAW,0.7111979071058732,0.29152201305901226,0.23694953783668943,0.23694953783668943,0.7111979071058732,0.29152201305901226,0.166448236659144,0.7627544928616421,0.09204738141604654,0.1242426605939687,0.6727440767000268,0.7316599722201133,0.32938079616762395,0.23390145720785677,draw_core,non_overlap,0.7111979071058732,0.29152201305901226,0.23694953783668943,draw_core,non_overlap,stall_shape,0.250440720835942,0.5606407181449652,0.1889185610190928,0.1629631404750452,0.7440089653238541,0.2407135033727296,0.4571178913268094,0.5477714817776065,0.2427397016254081,0.583224118329572,0.416775881670428,0.4393592818550348,0.6411728730743378,0.2415493693662985,0.5394591802188456,0.2189914504148558,low,neutral,home,"profile=stall_shape,stall,draw_tension_high",basis_balanced,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,1,10,Blend Wide,balanced draw+swing blend,H
2,名古屋,神戸,J1,2,2,medium,side_with_cover,side A: top_gap=0.015 max_prob=0.383,draw_trap,weak_draw_side_bias,high,pd=0.383 top_gap=0.015 draw_tension=0.694 mix_draw=0.555 side_gap=0.120,False,False,False,side,0.23747795919230136,0.41048297575528553,0.3520390650524131,0.11456110586011176,0.058443910702872415,1.0744534173763904,False,shape_not_close_3way,1.090680382017531,False,0.5491588294563408,False,0.7932472773078713,,0.0,0.23625929426592163,0.23625929426592163,0.08269075299307256,0,2AXIS_CLOSE_DRAW,0.6661150816165263,0.3562068575435877,0.20096142650100116,0.20096142650100116,0.6661150816165263,0.3562068575435877,0.11807983177353276,0.7664000067352938,0.1161445325211512,0.11698198928854542,0.6452709297024813,0.7072314641834008,0.3122834447840367,0.26331615654064,hold_core,non_overlap,0.6661150816165263,0.3562068575435877,0.20096142650100116,hold_core,non_overlap,stall_shape,0.229171217314669,0.5416534039058026,0.2291753787795282,0.2272192318753165,0.6935518129972077,0.3843899994528301,0.4561721197134452,0.5611830896184405,0.2870055641456191,0.4409600841132336,0.5590399158867664,0.4583465960941973,0.6487504167340782,0.2148001344533912,0.5547658385892611,0.2304340269573477,mid,neutral,away,"profile=stall_shape,stall,draw_tension_high",basis_balanced,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,0,04,Hold Guard,balanced round guard ticket,D,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
3,水戸,FC東京,J1,2,0,medium,side_single,side A: top_gap=0.071 max_prob=0.413,chaos_side_watch,away_watch,medium,best=A top_prob=0.413 side_gap=0.168 path_gap=0.461 entropy=0.529,False,False,False,side,0.23840388766680537,0.3595651731330314,0.40203093920016325,0.16362705153335788,0.04246576606713187,1.0759467894040147,False,shape_not_close_3way,1.0161555350331577,False,0.5359375311070036,False,0.9979368973478739,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.5382819668572439,0.30774149758570724,0.311180816946736,0.311180816946736,0.5382819668572439,0.30774149758570724,0.46064416545247977,0.8023966299740806,0.29728475279696276,0.36797482590971375,0.5625102124847373,0.5684598778379466,0.3719867621573776,0.4160618884831063,hold_core,non_overlap,0.5382819668572439,0.30774149758570724,0.311180816946736,hold_core,non_overlap,stall_side_preserve,0.3794971533505729,0.4711535294558536,0.1493493171935733,0.1369766606605231,0.5157920814846803,0.2264579233535913,0.5959177159118435,0.4527284615222992,0.1862683737645978,0.2696779172737601,0.7303220827262399,0.5288464705441465,0.5091807120246615,0.2454194785541937,0.4270887561779917,0.3274917652678145,mid,away,away,"profile=stall_side_preserve,stall,away_control",basis_balanced,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,0,04,Hold Guard,balanced round guard ticket,D,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
4,京都,Ｃ大阪,J1,2,0,medium,side_single,side A: top_gap=0.055 max_prob=0.402,chaos_side_watch,away_watch,low,best=A top_prob=0.402 side_gap=0.151 path_gap=0.221 entropy=0.471,False,False,False,side,0.24420709466933768,0.36486150546700064,0.3909313998636616,0.14672430519432392,0.026069894396660964,1.079307045286567,False,shape_not_close_3way,1.0357064475391764,False,0.5467035263460789,False,0.9982427610194542,,0.0,0.021837965371173884,0.021837965371173884,0.007643287879910859,2,2AXIS_APPLIED_NO_SWITCH,0.6017466632134815,0.3214752160130825,0.23367484600910782,0.23367484600910782,0.6017466632134815,0.3214752160130825,0.22147882739022579,0.775065478075318,0.18036384018247975,0.1981554164651044,0.5985088009464118,0.6422254101735744,0.3290512663777928,0.310587091243145,hold_core,non_overlap,0.6017466632134815,0.3214752160130825,0.23367484600910782,hold_core,non_overlap,stall_side_preserve,0.2885916691164411,0.529176089135931,0.1822322417476278,0.2127135756659566,0.5934224862348922,0.3217193519663758,0.4995680315387917,0.509934704283589,0.2286832852679031,0.3892605863048871,0.6107394136951129,0.470823910864069,0.5881755684980812,0.2313093887990722,0.5041826800257825,0.2645079311751451,mid,away,neutral,"profile=stall_side_preserve,stall,away_control",basis_balanced,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
5,広島,Ｇ大阪,J1,0,1,low,draw_core_keep,draw core keep: pd=0.376 gap=-0.043 top_gap=0.043,chaos_draw_watch,draw_live,low,pd=0.376 draw_tension=0.643 entropy=0.448 top_gap=0.043,False,False,True,core,0.3231152471468486,0.39401450005505506,0.2828702527980962,0.040244994348752394,0.07089925290820648,1.089209763288531,False,shape_not_close_3way,1.156762255678775,False,0.8442403552174085,False,0.587356125111759,,0.0,0.731700037674984,0.731700037674984,0.2560950131862444,0,2AXIS_CLOSE_DRAW,0.6460297678275563,0.2914699350360867,0.22848250442480456,0.22848250442480456,0.6460297678275563,0.2914699350360867,0.21049720684092627,0.7688237127415477,0.11685848997023064,0.157378516543368,0.6302661139667544,0.6795878479875981,0.3523057402988685,0.25094625774201984,hold_core,non_overlap,0.6460297678275563,0.2914699350360867,0.22848250442480456,hold_core,non_overlap,stall_shape,0.2595259901176815,0.5515623378054355,0.188911672076883,0.1981320117272498,0.6432838776321075,0.2919593067866877,0.4706075584555847,0.5829534310635376,0.2448496474746318,0.6052486034204632,0.3947513965795369,0.4484376621945645,0.6160444410123208,0.2491187457244408,0.5310163358895024,0.2198649183860567,mid,home,neutral,"profile=stall_shape,stall,draw_tension_high,home_control",basis_balanced,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,1,07,Away Swing,balanced round away swing,H,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
6,柏,町田,J1,0,2,low,draw_core_keep,draw core keep: pd=0.425 gap=-0.115 top_gap=0.115,chaos_draw_watch,draw_live,high,pd=0.425 draw_tension=0.745 entropy=0.480 top_gap=0.115,False,False,True,core,0.2564452791579516,0.4437571336182452,0.2997975872238031,0.0433523080658515,0.14395954639444208,1.0706743206717073,False,shape_not_close_3way,1.178526258743271,False,0.7856291968560286,False,0.6853306183922191,,0.0,0.7109846128943234,0.7109846128943234,0.24884461451301315,0,2AXIS_CLOSE_DRAW,0.6822891497464372,0.260792179799462,0.2859332350996482,0.2859332350996482,0.6822891497464372,0.260792179799462,0.04897502030016665,0.7755854394128541,0.045882528571293324,0.04722073408306032,0.6627832850992098,0.7430947536238217,0.2698940770851145,0.19241753256136307,draw_core,non_overlap,0.6822891497464372,0.260792179799462,0.2859332350996482,draw_core,non_overlap,stall_shape,0.3090417462194875,0.5195034418459992,0.1714548119345132,0.2149351979100656,0.7453450488227665,0.2096133897395471,0.5398030109832498,0.5848594056977673,0.2261640103687,0.5244875101500833,0.4755124898499167,0.4804965581540008,0.6904314980935919,0.2383223564201305,0.530577331699221,0.2311003118806484,mid,neutral,neutral,"profile=stall_shape,stall,draw_tension_high,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
7,清水,岡山,J1,0,2,low,draw_core_keep,draw core keep: pd=0.467 gap=-0.194 top_gap=0.194,chaos_draw_watch,draw_live,high,pd=0.467 draw_tension=0.882 entropy=0.420 top_gap=0.194,False,False,True,core,0.25148156256201093,0.4859033753507858,0.26261506208720325,0.011133499525192325,0.22328831326358256,1.0489737587780397,False,shape_not_close_3way,1.2318181881502006,False,0.869734655532239,False,0.6417794489884833,,0.0,0.9257766698320512,0.9257766698320512,0.3240218344412179,0,2AXIS_CLOSE_DRAW,0.8030039785432868,0.24156326865783448,0.27482266610030287,0.27482266610030287,0.8030039785432868,0.24156326865783448,0.11736813251489953,0.7343891846978734,0.058939084370560564,0.08422292702211089,0.7385449232634039,0.8061731579801011,0.26968831515171426,0.20934260640795757,hold_core,non_overlap,0.8030039785432868,0.24156326865783448,0.27482266610030287,hold_core,non_overlap,draw_anchor,0.2233119124989658,0.5801953893822928,0.1964926981187413,0.1396270242103575,0.8817307321609562,0.158450194261206,0.4404258338016378,0.6739318396677201,0.2612334240871286,0.4413159337425502,0.5586840662574497,0.4198046106177072,0.714524762482871,0.2029802217377072,0.5797658593113882,0.2172539189509046,low,neutral,neutral,"profile=draw_anchor,stall,draw_tension_high,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
8,鹿島,川崎Ｆ,J1,2,0,medium,side_with_cover,side A: top_gap=0.030 max_prob=0.354,chaos_side_watch,away_watch,low,best=A top_prob=0.354 side_gap=0.031 path_gap=0.426 entropy=0.514,False,False,False,side,0.3146747090744021,0.3405299713274252,0.3447953195981727,0.03012061052377063,0.004265348270747538,1.0978080669659254,True,shape_close_3way,1.140144375139942,False,0.8994515580927179,False,0.9999267965859767,,0.0,0.7991959298415291,0.7991959298415291,0.27971857544453516,0,2AXIS_CLOSE_DRAW,0.5114554014451406,0.36054613262173685,0.23410036932162973,0.23410036932162973,0.5114554014451406,0.36054613262173685,0.42589605975948497,0.8056884836916433,0.2082195626798421,0.30241411959794207,0.5429539490756067,0.5491556660335324,0.4498950659609978,0.3443848651746867,draw_core,non_overlap,0.5114554014451406,0.36054613262173685,0.23410036932162973,draw_core,non_overlap,balanced,0.3327360881130225,0.4864310995826389,0.1808328123043386,0.2130884118331208,0.403867409406139,0.3639296599625634,0.5433155338355874,0.4511857511758984,0.216676084872342,0.7129480298797425,0.2870519701202575,0.5135689004173611,0.4856815003099784,0.3132644935448184,0.4457306368077736,0.241004869647408,mid,home,home,"profile=balanced,stall,home_control",basis_balanced,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,0,03,Volatility Swing,balanced round swing cluster,D,2,04,Hold Guard,balanced round guard ticket,A,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
9,東京Ｖ,浦和,J1,2,0,medium,side_with_cover,side A: top_gap=0.016 max_prob=0.384,chaos_side_watch,away_watch,low,best=A top_prob=0.384 side_gap=0.136 path_gap=0.126 entropy=0.459,False,False,False,side,0.23768348430273678,0.39453204983244144,0.3677844658648217,0.13010098156208494,0.026747583967619726,1.0763231829895663,False,shape_not_close_3way,1.0671650433541358,False,0.539033356660684,False,0.9043546142818268,,0.0,0.13266012291943374,0.13266012291943374,0.04643104302180181,0,2AXIS_CLOSE_DRAW,0.6714353204703176,0.32201165163606893,0.21037207959828383,0.21037207959828383,0.6714353204703176,0.32201165163606893,0.12590208017015708,0.7678398983136854,0.1282114759357174,0.12721213740443857,0.646411712736931,0.7004987870166267,0.30817673160898973,0.2615886457806325,hold_core,non_overlap,0.6714353204703176,0.32201165163606893,0.21037207959828383,hold_core,non_overlap,stall_shape,0.2483256038408907,0.5406433863621954,0.2110310097969138,0.2475870738119415,0.6678333192909165,0.3334725747014106,0.4905660045314041,0.6183760909701324,0.2801126947976241,0.4370489599149215,0.5629510400850786,0.4593566136378045,0.654915985932174,0.2157810207952775,0.5514744028138908,0.2327445763908316,mid,neutral,neutral,"profile=stall_shape,stall,draw_tension_high,basis=draw_compressed",draw_compressed,2,01,Main,本線,A,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
10,長崎,福岡,J1,0,1,low,draw_core_keep,draw core keep: pd=0.431 gap=-0.143 top_gap=0.143,chaos_draw_watch,draw_live,high,pd=0.431 draw_tension=0.855 entropy=0.434 top_gap=0.143,False,False,True,core,0.27813213563797445,0.44946452428738365,0.27240334007464195,0.0057287955633325005,0.1713323886494092,1.0696030858526542,False,shape_not_close_3way,1.2190034665803593,False,0.919873572663964,False,0.6477994369016321,,0.0,0.9618080295777833,0.9618080295777833,0.33663281035222414,0,2AXIS_CLOSE_DRAW,0.7708767385108243,0.2635968553935464,0.2725940605161886,0.2725940605161886,0.7708767385108243,0.2635968553935464,0.18166185552063618,0.7518048562810886,0.08489867254411916,0.12677074081395745,0.7156364077891266,0.7780874297188219,0.32254577411138374,0.2223258422586103,draw_core,non_overlap,0.7708767385108243,0.2635968553935464,0.2725940605161886,draw_core,non_overlap,stall_shape,0.2546630103819224,0.5659933732904768,0.1793436163276007,0.1503258657372414,0.8545393809009958,0.1902774777091907,0.4733795236079349,0.6013246539463738,0.2453210884307697,0.5908309277603181,0.4091690722396819,0.4340066267095231,0.6770522015090641,0.2383783770479424,0.5475711224471581,0.2140505005048994,low,home,neutral,"profile=stall_shape,stall,draw_tension_high,home_control,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,1,10,Blend Wide,balanced draw+swing blend,H
