match_no,side,team,history_no,source_league,previous_datetime,venue_side,opponent,goals_for,goals_against,days_before_target,status
10,home,長崎,2,j1,2026-08-21 19:03:00,away,柏,2.0,4.0,12.0,ok
10,home,長崎,3,j1,2026-08-15 19:00:00,away,岡山,0.0,1.0,18.0,ok
11,away,富山,1,j2,2026-08-29 18:33:00,home,藤枝,2.0,3.0,4.02,ok
11,away,富山,2,j2,2026-08-22 18:33:00,home,今治,4.0,0.0,11.02,ok
11,away,富山,3,j2,2026-08-15 18:03:00,away,秋田,4.0,0.0,18.04,ok
11,home,宮崎,1,j2,2026-08-29 19:03:00,away,仙台,2.0,4.0,4.0,ok
11,home,宮崎,2,j2,2026-08-22 19:03:00,home,湘南,0.0,0.0,11.0,ok
11,home,宮崎,3,j2,2026-08-15 19:03:00,away,甲府,1.0,1.0,18.0,ok
12,away,秋田,1,j2,2026-08-29 18:33:00,away,八戸,0.0,1.0,4.02,ok
12,away,秋田,2,j2,2026-08-22 18:03:00,home,甲府,3.0,0.0,11.04,ok
12,away,秋田,3,j2,2026-08-15 18:03:00,home,富山,0.0,4.0,18.04,ok
12,home,愛媛,1,j3,2026-08-30 19:03:00,away,金沢,1.0,0.0,3.0,ok
12,home,愛媛,2,j3,2026-08-22 18:03:00,away,松本,2.0,2.0,11.04,ok
12,home,愛媛,3,j3,2026-08-16 19:03:00,home,鳥取,4.0,0.0,17.0,ok
13,away,大宮,1,j2,2026-08-29 19:04:00,home,湘南,2.0,2.0,4.0,ok
13,away,大宮,2,j2,2026-08-22 15:04:00,away,札幌,4.0,1.0,11.16,ok
13,away,大宮,3,j2,2026-08-15 19:03:00,away,今治,3.0,2.0,18.0,ok
13,home,鳥取,1,j3,2026-08-30 18:33:00,away,滋賀,1.0,0.0,3.02,ok
13,home,鳥取,2,j3,2026-08-22 19:03:00,home,福島,2.0,1.0,11.0,ok
13,home,鳥取,3,j3,2026-08-16 19:03:00,away,愛媛,0.0,4.0,17.0,ok
