diff_type,match_no,home_team,away_team,league
missing_in_toto_order,,大分,湘南,j2
missing_in_toto_order,,大宮,新潟,j2
missing_in_toto_order,,宮崎,横浜FC,j2
missing_in_toto_order,,磐田,秋田,j2
missing_in_toto_order,,鳥栖,甲府,j2
matched,1,ＦＣ東京,町田,
matched,2,C大阪,岡山,
matched,3,名古屋,清水,
matched,4,福岡,神戸,
matched,5,広島,千葉,
matched,6,柏,水戸,
matched,7,東京V,川崎F,
matched,8,長崎,京都,
matched,9,札幌,徳島,
matched,10,藤枝,仙台,
matched,11,八戸,富山,
matched,12,山形,栃木C,
matched,13,いわき,今治,
