league,節,match_id,datetime,home_team,away_team,home_elo_at_prediction,away_elo_at_prediction,elo_diff_before_hfa,hfa_added_to_diff,elo_diff_after_hfa,diff_raw_no_hfa,prob_home_win_before_signfix,prob_draw_raw,prob_away_win_before_signfix,argmax_result,final_result,predicted_result,decision_reason,sign_gap
j1,第１０節第１日,j1_2026_04111303_千葉_水戸,2026-04-11 13:03:00,千葉,水戸,1480,1489,-8.9491,0.0,-8.9491,-8.9491,0.2907004565246559,0.4188693906276013,0.29043015284774276,D,D,D,NARROW_DRAW_OVERRIDE,0.0002703036769131639
j1,第１５節第１日,j1_2026_05061403_名古屋_Ｇ大阪,2026-05-06 14:03:00,名古屋,Ｇ大阪,1505,1524,-19.0528,0.0,-19.0528,-19.0528,0.30296996925651,0.40405659714839254,0.2929734335950975,D,D,D,NARROW_DRAW_OVERRIDE,0.009996535661412509
j1,第１５節第１日,j1_2026_05061303_清水_Ｃ大阪,2026-05-06 13:03:00,清水,Ｃ大阪,1476,1499,-23.2202,0.0,-23.2202,-23.2202,0.2998911122027117,0.4110459026084357,0.28906298518885265,D,D,D,NARROW_DRAW_OVERRIDE,0.010828127013859046
j1,第２節第１日,j1_2026_02141503_FC東京_浦和,2026-02-14 15:03:00,FC東京,浦和,1509,1537,-27.9862,0.0,-27.9862,-27.9862,0.3135743131781269,0.3841062089736374,0.3023194778482357,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.011254835329891189
j1,第１２節第１日,j1_2026_04251404_岡山_福岡,2026-04-25 14:04:00,岡山,福岡,1455,1478,-23.0397,0.0,-23.0397,-23.0397,0.301188995600785,0.40919633946661915,0.2896146649325959,D,D,D,NARROW_DRAW_OVERRIDE,0.011574330668189081
j1,第７節第１日,j1_2026_03181933_浦和_柏,2026-03-18 19:33:00,浦和,柏,1533,1555,-21.8359,0.0,-21.8359,-21.8359,0.3137982998292169,0.3923333340086287,0.2938683661621544,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.019929933667062527
j1,第８節第１日,j1_2026_03211403_岡山_長崎,2026-03-21 14:03:00,岡山,長崎,1477,1495,-17.1784,0.0,-17.1784,-17.1784,0.30595663396255957,0.41005286757797305,0.28399049845946744,D,D,D,NARROW_DRAW_OVERRIDE,0.02196613550309212
j1,第１３節第１日,j1_2026_04291403_千葉_横浜FM,2026-04-29 14:03:00,千葉,横浜FM,1461,1465,-3.2036,0.0,-3.2036,-3.2036,0.29479169635869756,0.4327177490509781,0.27249055459032434,D,D,D,NARROW_DRAW_OVERRIDE,0.022301141768373223
j1,第３節第２日,j1_2026_02221403_水戸_千葉,2026-02-22 14:03:00,水戸,千葉,1490,1492,-1.6403,0.0,-1.6403,-1.6403,0.30478197397876067,0.4185690728613049,0.2766489531599345,D,D,D,NARROW_DRAW_OVERRIDE,0.028133020818826182
j1,第１６節第２日,j1_2026_05101603_名古屋_京都,2026-05-10 16:03:00,名古屋,京都,1516,1533,-16.5749,0.0,-16.5749,-16.5749,0.3259590636339486,0.38162917675201047,0.292411759614041,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.03354730401990763
j1,第９節第２日,j1_2026_04051503_FC東京_町田,2026-04-05 15:03:00,FC東京,町田,1538,1544,-6.6957,0.0,-6.6957,-6.6957,0.3059410411262133,0.42341131828557105,0.2706476405882157,D,D,D,NARROW_DRAW_OVERRIDE,0.035293400537997566
j1,第９節第１日,j1_2026_04041503_名古屋_Ｃ大阪,2026-04-04 15:03:00,名古屋,Ｃ大阪,1485,1493,-8.7818,0.0,-8.7818,-8.7818,0.3182101762079483,0.4030775613489755,0.2787122624430762,D,D,D,NARROW_DRAW_OVERRIDE,0.039497913764872106
j1,第１３節第１日,j1_2026_04291303_清水_長崎,2026-04-29 13:03:00,清水,長崎,1474,1475,-0.9191,0.0,-0.9191,-0.9191,0.32738158156949254,0.4002845664471881,0.27233385198331933,D,D,D,NARROW_DRAW_OVERRIDE,0.05504772958617321
j1,第３節第１日,j1_2026_02211503_名古屋_長崎,2026-02-21 15:03:00,名古屋,長崎,1478,1484,-5.916,0.0,-5.916,-5.916,0.34240745112377485,0.3725747716515122,0.28501777722471294,D,D,D,NARROW_DRAW_OVERRIDE,0.05738967389906191
