節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,weather_missing,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均走行距離_home,stats_1試合平均スプリント回数_home,stats_1試合平均Atスプリント回数_home,stats_1試合平均Mtスプリント回数_home,stats_1試合平均Dtスプリント回数_home,stats_1試合平均ポゼッション時の走行距離_home,stats_1試合平均ポゼッション時のスプリント回数_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均走行距離_away,stats_1試合平均スプリント回数_away,stats_1試合平均Atスプリント回数_away,stats_1試合平均Mtスプリント回数_away,stats_1試合平均Dtスプリント回数_away,stats_1試合平均ポゼッション時の走行距離_away,stats_1試合平均ポゼッション時のスプリント回数_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,stats_stats_missing_ratio_away,management_manager_name_home,management_recent_injuries_suspensions_count_home,management_weather_influence_score_home,management_motivation_score_home,management_manager_name_away,management_recent_injuries_suspensions_count_away,management_weather_influence_score_away,management_motivation_score_away,_merge_home_team,_merge_away_team,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_rank_change_3w_home,rankmot_points_change_3w_home,rankmot_motivation_score_3w_home,rankmot_rank_change_5w_home,rankmot_points_change_5w_home,rankmot_motivation_score_5w_home,rankmot_season_home,rankmot_fetched_date_home,_merge_team_name,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_rank_change_3w_away,rankmot_points_change_3w_away,rankmot_motivation_score_3w_away,rankmot_rank_change_5w_away,rankmot_points_change_5w_away,rankmot_motivation_score_5w_away,rankmot_season_away,rankmot_fetched_date_away,_merge_rankmot_future_away
第２戦第１日,j1_2026_06061500_鹿島_未定,2026-06-06 15:00:00,メルスタ,鹿島,未定,,,0.0,11.5,0.0,0.0,,,,,,,0.0,11.5,2026-06-06 15:00:00,メルスタ,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,10.7,4.0,17.3,1.9,484.0,80.0,8.1,38.6,16.3,53.5,12.0,12.0,53.5,50.9,10.3,13.8,32.1,9.3,112.0,132.0,54.0,40.0,37.0,33.0,69.0,11.3,3.1,0.4,21.9,17.7,60.5,23.1,2.1,7.9,1.1,7.1,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,鹿島,未定,1,13,0,3,0.3,0,3,0.3,2026,20260314,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061500_水戸_未定,2026-06-06 15:00:00,Ｋｓスタ,水戸,未定,,,0.0,11.5,0.0,0.0,,,,,,,0.0,11.5,2026-06-06 15:00:00,Ｋｓスタ,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,12.6,4.1,9.1,1.1,435.4,75.5,10.1,43.7,10.7,44.0,10.1,16.7,50.9,51.2,9.7,13.7,30.6,8.5,118.0,132.0,50.0,43.0,39.0,32.0,59.0,9.1,2.9,1.6,22.0,14.3,65.0,17.9,2.4,8.3,1.1,6.7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,水戸,未定,8,4,-1,0,-1.0,-1,0,-1.0,2026,20260314,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061500_町田_未定,2026-06-06 15:00:00,Ｇスタ,町田,未定,,,0.0,11.5,0.0,0.0,2026-04-25,,42,,long_haul,,0.0,11.5,2026-06-06 15:00:00,Ｇスタ,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,11.3,3.5,14.7,1.7,399.7,76.2,10.2,52.5,8.0,45.8,11.5,13.2,50.3,44.8,8.5,17.5,29.2,7.2,119.0,111.0,43.0,32.0,36.0,31.0,50.0,12.2,4.2,1.7,17.8,16.5,73.7,17.7,1.3,8.4,1.4,7.6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,町田,未定,4,9,-2,0,-2.0,-2,0,-2.0,2026,20260314,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061600_浦和_未定,2026-06-06 16:00:00,埼玉,浦和,未定,,,0.0,11.5,0.0,0.0,,,,,,,0.0,11.5,2026-06-06 16:00:00,埼玉,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,12.8,4.0,11.1,1.4,417.1,75.3,11.1,61.5,15.1,52.8,12.8,13.1,46.2,49.1,9.0,21.1,37.0,11.3,118.0,158.0,57.0,50.0,51.0,32.0,70.0,14.1,3.4,0.9,22.7,22.3,64.1,22.7,1.7,9.4,1.3,8.6,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,浦和,未定,2,10,2,3,2.3,2,3,2.3,2026,20260314,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061600_東京Ｖ_未定,2026-06-06 16:00:00,味スタ,東京Ｖ,未定,,,0.0,11.5,0.0,0.0,,,,,,,0.0,11.5,2026-06-06 16:00:00,味スタ,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,6.8,2.1,20.8,1.4,438.1,77.5,8.8,29.0,7.3,49.0,10.7,17.4,53.0,47.6,6.8,13.8,23.6,4.4,122.0,146.0,53.0,47.0,47.0,34.0,62.0,10.8,3.3,1.6,20.6,17.7,63.7,21.0,1.6,8.5,1.2,7.7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,東京V,未定,5,8,-2,0,-2.0,-2,0,-2.0,2026,20260314,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061700_横浜FM_未定,2026-06-06 17:00:00,日産ス,横浜FM,未定,,,0.0,11.5,0.0,0.0,,,,,,,0.0,11.5,2026-06-06 17:00:00,日産ス,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,12.1,2.3,8.2,1.0,394.4,72.3,11.3,57.0,13.4,43.6,15.3,14.6,47.4,47.4,8.8,20.1,26.6,8.7,118.0,141.0,50.0,40.0,51.0,31.0,57.0,9.3,3.6,1.7,19.4,20.9,65.8,17.0,1.1,7.0,1.0,7.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,横浜FM,未定,10,3,-1,0,-1.0,-1,0,-1.0,2026,20260314,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061800_柏_未定,2026-06-06 18:00:00,三協Ｆ柏,柏,未定,,,0.0,11.5,0.0,0.0,,,,,,,0.0,11.5,2026-06-06 18:00:00,三協Ｆ柏,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,15.1,4.3,7.5,1.1,603.4,83.3,16.0,54.5,19.6,53.3,17.1,9.7,49.3,58.3,17.0,22.9,35.1,12.4,122.0,136.0,56.0,44.0,36.0,41.0,65.0,10.8,4.1,1.9,16.4,20.1,70.2,15.0,1.1,8.9,1.2,8.1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,柏,未定,9,3,-1,0,-1.0,-1,0,-1.0,2026,20260314,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061900_川崎Ｆ_未定,2026-06-06 19:00:00,Ｕ等々力,川崎Ｆ,未定,,,0.0,11.5,0.0,0.0,,,,,,,0.0,11.5,2026-06-06 19:00:00,Ｕ等々力,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,12.5,4.2,13.3,1.7,508.5,81.8,10.2,55.7,18.7,52.7,13.3,10.5,42.9,48.4,13.8,16.2,36.5,7.4,116.0,117.0,48.0,38.0,31.0,32.0,59.0,17.5,4.5,1.3,24.8,16.8,62.4,24.7,1.3,11.3,1.8,11.3,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,川崎F,未定,6,7,-1,0,-1.0,-1,0,-1.0,2026,20260314,,,,,,,,,,,,left_only
第１戦第３日,j1_2026_00000000_名古屋_未定,,●未定●,名古屋,未定,,,,,0.0,0.0,,,,,,,0.0,0.0,,●未定●,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,15.0,5.0,9.5,1.4,459.7,77.1,10.3,58.3,16.9,40.7,16.0,20.1,57.6,52.7,13.4,19.9,36.4,10.6,115.0,141.0,53.0,47.0,40.0,34.0,73.0,15.3,5.0,1.3,22.9,20.9,66.4,20.4,2.0,9.9,1.4,9.9,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,名古屋,未定,2,9,4,3,4.3,4,3,4.3,2026,20260314,,,,,,,,,,,,left_only
第１戦第３日,j1_2026_00000000_岡山_未定,,●未定●,岡山,未定,,,,,0.0,0.0,,,,,,,0.0,0.0,,●未定●,False,False,False,15.0,3.0,,20260215,weather_features_j1_2026_asof_20260215.csv,True,12.7,4.0,9.0,1.1,325.7,67.2,12.1,51.8,9.7,45.6,15.8,20.7,55.3,43.5,10.0,17.7,32.1,9.5,114.0,137.0,55.0,47.0,36.0,28.0,64.0,10.7,3.9,1.0,24.6,17.4,65.6,22.6,1.7,6.5,0.9,6.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,岡山,未定,6,7,3,3,3.3,3,3,3.3,2026,20260314,,,,,,,,,,,,left_only
