節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,_merge_weather
第１３節第１日,j1_2026_04291503_京都_Ｇ大阪,2026-04-29 15:03:00,サンガＳ,京都,Ｇ大阪,1.0,1.0,4.11,7.92,0.0,6.1625,,2026-04-15,,14,,long,4.11,14.0825,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291503_名古屋_岡山,2026-04-29 15:03:00,パロ瑞穂,名古屋,岡山,1.0,1.0,3.9,7.7,0.0,0.0,,,,,,,3.9,7.7,,,,,,,,,,,left_only
第１４節第１日,j1_2026_05021403_横浜FM_水戸,2026-05-02 14:03:00,日産ス,横浜FM,水戸,1.0,1.0,5.09,8.23,0.0,0.0,,,,,,,5.09,8.23,,,,,,,,,,,left_only
第１４節第２日,j1_2026_05031603_鹿島_町田,2026-05-03 16:03:00,メルスタ,鹿島,町田,1.0,1.0,4.82,9.14,0.0,8.6275,,2026-04-26,,7,,long_haul,4.82,17.7675,,,,,,,,,,,left_only
第１４節第２日,j1_2026_05031503_Ｃ大阪_福岡,2026-05-03 15:03:00,ハナサカ,Ｃ大阪,福岡,1.0,1.0,4.93,8.95,0.0,0.0,,,,,,,4.93,8.95,,,,,,,,,,,left_only
第１５節第１日,j1_2026_05061303_清水_Ｃ大阪,2026-05-06 13:03:00,アイスタ,清水,Ｃ大阪,1.0,1.0,4.96,9.2,0.0,0.0,,,,,,,4.96,9.2,,,,,,,,,,,left_only
第１５節第１日,j1_2026_05061403_福岡_京都,2026-05-06 14:03:00,ベススタ,福岡,京都,1.0,1.0,6.35,7.07,0.0,0.0,,,,,,,6.35,7.07,,,,,,,,,,,left_only
第１５節第１日,j1_2026_05061503_広島_神戸,2026-05-06 15:03:00,Ｅピース,広島,神戸,1.0,1.0,4.31,8.12,0.0,0.0,,2026-04-16,,20,,long_haul,4.31,8.12,,,,,,,,,,,left_only
第１節第１日,j1_2026_02061903_横浜FM_町田,2026-02-06 19:03:00,日産ス,横浜FM,町田,2.0,3.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111504_横浜FM_FC東京,2026-04-11 15:04:00,日産ス,横浜FM,FC東京,1.0,3.0,4.91,8.46,0.0,0.0,,,,,,,4.91,8.46,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111403_町田_柏,2026-04-11 14:03:00,Ｇスタ,町田,柏,1.0,0.0,3.43,7.03,0.0,0.0,,,,,,,3.43,7.03,,,,,,,,,,,left_only
第９節第２日,j1_2026_04051403_岡山_神戸,2026-04-05 14:03:00,ＪＦＥス,岡山,神戸,1.0,4.0,3.44,7.01,0.0,0.0,,,,,,,3.44,7.01,,,,,,,,,,,left_only
第９節第２日,j1_2026_04051403_広島_福岡,2026-04-05 14:03:00,Ｅピース,広島,福岡,0.0,1.0,4.77,6.77,0.0,0.0,,,,,,,4.77,6.77,,,,,,,,,,,left_only
第９節第２日,j1_2026_04051303_長崎_清水,2026-04-05 13:03:00,ピースタ,長崎,清水,0.0,3.0,3.58,8.55,0.0,0.0,,,,,,,3.58,8.55,,,,,,,,,,,left_only
第９節第２日,j1_2026_04051603_川崎Ｆ_浦和,2026-04-05 16:03:00,Ｕ等々力,川崎Ｆ,浦和,3.0,2.0,3.87,6.47,0.0,0.0,,,,,,,3.87,6.47,,,,,,,,,,,left_only
第９節第２日,j1_2026_04051403_柏_横浜FM,2026-04-05 14:03:00,三協Ｆ柏,柏,横浜FM,3.0,0.0,3.68,8.04,0.0,0.0,,,,,,,3.68,8.04,,,,,,,,,,,left_only
第９節第１日,j1_2026_04041603_Ｇ大阪_京都,2026-04-04 16:03:00,パナスタ,Ｇ大阪,京都,2.0,0.0,4.96,7.27,0.0,0.0,,,,,,,4.96,7.27,,,,,,,,,,,left_only
第９節第１日,j1_2026_04041503_名古屋_Ｃ大阪,2026-04-04 15:03:00,豊田ス,名古屋,Ｃ大阪,3.0,0.0,3.38,6.32,0.0,0.0,,,,,,,3.38,6.32,,,,,,,,,,,left_only
第９節第１日,j1_2026_04041303_千葉_東京Ｖ,2026-04-04 13:03:00,フクアリ,千葉,東京Ｖ,3.0,2.0,3.83,5.98,0.0,0.0,,,,,,,3.83,5.98,,,,,,,,,,,left_only
第１１節第１日,j1_2026_04011903_神戸_清水,2026-04-01 19:03:00,ノエスタ,神戸,清水,2.0,0.0,3.03,7.19,0.0,0.0,,,,,,,3.03,7.19,,,,,,,,,,,left_only
第１１節第１日,j1_2026_04011903_町田_FC東京,2026-04-01 19:03:00,Ｇスタ,町田,FC東京,0.0,3.0,3.03,8.49,0.0,0.0,,,,,,,3.03,8.49,,,,,,,,,,,left_only
第５節第３日,j1_2026_03271903_神戸_広島,2026-03-27 19:03:00,ノエスタ,神戸,広島,2.0,1.0,3.72,7.88,0.0,0.0,,,,,,,3.72,7.88,,,,,,,,,,,left_only
第８節第２日,j1_2026_03221304_清水_広島,2026-03-22 13:04:00,アイスタ,清水,広島,3.0,1.0,4.2,7.19,0.0,0.0,,,,,,,4.2,7.19,,,,,,,,,,,left_only
第８節第１日,j1_2026_03221603_浦和_町田,2026-03-22 16:03:00,埼玉,浦和,町田,1.0,2.0,3.3,7.08,0.0,0.0,,,,,,,3.3,7.08,,,,,,,,,,,left_only
第８節第１日,j1_2026_03221603_柏_水戸,2026-03-22 16:03:00,三協Ｆ柏,柏,水戸,3.0,0.0,4.84,7.3,0.0,0.0,,,,,,,4.84,7.3,,,,,,,,,,,left_only
第８節第１日,j1_2026_03221503_鹿島_千葉,2026-03-22 15:03:00,メルスタ,鹿島,千葉,2.0,1.0,3.07,7.22,0.0,0.0,,,,,,,3.07,7.22,,,,,,,,,,,left_only
第８節第１日,j1_2026_03221503_川崎Ｆ_横浜FM,2026-03-22 15:03:00,MUFG国立,川崎Ｆ,横浜FM,0.0,5.0,3.82,7.53,0.0,0.0,,,,,,,3.82,7.53,,,,,,,,,,,left_only
第８節第１日,j1_2026_03211403_岡山_長崎,2026-03-21 14:03:00,ＪＦＥス,岡山,長崎,0.0,1.0,4.56,7.43,0.0,0.0,,,,,,,4.56,7.43,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181903_長崎_京都,2026-03-18 19:03:00,ピースタ,長崎,京都,1.0,2.0,3.22,7.05,0.0,0.0,,,,,,,3.22,7.05,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111403_福岡_長崎,2026-04-11 14:03:00,ベススタ,福岡,長崎,1.0,0.0,3.53,7.06,0.0,0.0,,,,,,,3.53,7.06,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111503_神戸_名古屋,2026-04-11 15:03:00,ノエスタ,神戸,名古屋,3.0,2.0,3.43,6.87,0.0,0.0,,,,,,,3.43,6.87,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111603_Ｇ大阪_Ｃ大阪,2026-04-11 16:03:00,パナスタ,Ｇ大阪,Ｃ大阪,0.0,1.0,4.15,7.14,3.625,0.0,2026-04-08,,3,,none,,7.775,7.14,,,,,,,,,,,left_only
第１２節第２日,j1_2026_04251503_川崎Ｆ_千葉,2026-04-25 15:03:00,Ｕ等々力,川崎Ｆ,千葉,2.0,1.0,3.32,7.31,0.0,0.0,,,,,,,3.32,7.31,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291303_清水_長崎,2026-04-29 13:03:00,アイスタ,清水,長崎,1.0,2.0,5.06,8.38,0.0,0.0,,,,,,,5.06,8.38,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291603_柏_FC東京,2026-04-29 16:03:00,三協Ｆ柏,柏,FC東京,1.0,3.0,3.8,7.99,0.0,0.0,,,,,,,3.8,7.99,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291503_浦和_川崎Ｆ,2026-04-29 15:03:00,埼玉,浦和,川崎Ｆ,2.0,0.0,2.96,6.8,0.0,0.0,,,,,,,2.96,6.8,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291403_千葉_横浜FM,2026-04-29 14:03:00,フクアリ,千葉,横浜FM,2.0,3.0,4.69,7.83,0.0,0.0,,,,,,,4.69,7.83,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291303_東京Ｖ_鹿島,2026-04-29 13:03:00,味スタ,東京Ｖ,鹿島,2.0,1.0,3.37,8.23,0.0,0.0,,,,,,,3.37,8.23,,,,,,,,,,,left_only
第１２節第１日,j1_2026_04251603_広島_Ｃ大阪,2026-04-25 16:03:00,Ｅピース,広島,Ｃ大阪,2.0,1.0,2.37,7.49,0.0,0.0,,,,,,,2.37,7.49,,,,,,,,,,,left_only
第１２節第１日,j1_2026_04251404_岡山_福岡,2026-04-25 14:04:00,ＪＦＥス,岡山,福岡,2.0,0.0,4.33,9.66,0.0,0.0,,,,,,,4.33,9.66,,,,,,,,,,,left_only
第１２節第１日,j1_2026_04251403_清水_名古屋,2026-04-25 14:03:00,アイスタ,清水,名古屋,0.0,2.0,5.53,7.03,0.0,0.0,,,,,,,5.53,7.03,,,,,,,,,,,left_only
第１２節第２日,j1_2026_04251403_浦和_横浜FM,2026-04-25 14:03:00,埼玉,浦和,横浜FM,2.0,3.0,3.67,7.21,0.0,0.0,,,,,,,3.67,7.21,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111603_京都_岡山,2026-04-11 16:03:00,サンガＳ,京都,岡山,5.0,1.0,4.11,6.77,0.0,0.0,,,,,,,4.11,6.77,,,,,,,,,,,left_only
第１２節第１日,j1_2026_04241903_FC東京_水戸,2026-04-24 19:03:00,味スタ,FC東京,水戸,5.0,2.0,4.94,7.17,0.0,0.0,,,,,,,4.94,7.17,,,,,,,,,,,left_only
第１２節第１日,j1_2026_04241903_柏_鹿島,2026-04-24 19:03:00,三協Ｆ柏,柏,鹿島,0.0,1.0,4.46,7.59,0.0,0.0,,,,,,,4.46,7.59,,,,,,,,,,,left_only
第１７節第１日,j1_2026_04221903_Ｇ大阪_福岡,2026-04-22 19:03:00,パナスタ,Ｇ大阪,福岡,1.0,2.0,2.98,8.33,6.1625,0.0,2026-04-15,,7,,long,,9.1425,8.33,,,,,,,,,,,left_only
第１１節第３日,j1_2026_04191303_水戸_柏,2026-04-19 13:03:00,Ｋｓスタ,水戸,柏,2.0,0.0,3.95,7.68,0.0,0.0,,,,,,,3.95,7.68,,,,,,,,,,,left_only
第１１節第２日,j1_2026_04181603_Ｃ大阪_京都,2026-04-18 16:03:00,ハナサカ,Ｃ大阪,京都,3.0,0.0,4.07,7.33,0.0,0.0,,,,,,,4.07,7.33,,,,,,,,,,,left_only
第１１節第２日,j1_2026_04181404_広島_長崎,2026-04-18 14:04:00,Ｅピース,広島,長崎,2.0,0.0,3.13,7.93,0.0,0.0,,,,,,,3.13,7.93,,,,,,,,,,,left_only
第１１節第２日,j1_2026_04181503_東京Ｖ_千葉,2026-04-18 15:03:00,味スタ,東京Ｖ,千葉,1.0,0.0,3.93,6.58,0.0,0.0,,,,,,,3.93,6.58,,,,,,,,,,,left_only
第１１節第２日,j1_2026_04181403_鹿島_浦和,2026-04-18 14:03:00,メルスタ,鹿島,浦和,1.0,0.0,4.18,6.76,0.0,0.0,,,,,,,4.18,6.76,,,,,,,,,,,left_only
第１１節第２日,j1_2026_04181303_横浜FM_川崎Ｆ,2026-04-18 13:03:00,日産ス,横浜FM,川崎Ｆ,1.0,2.0,4.08,6.59,0.0,0.0,,,,,,,4.08,6.59,,,,,,,,,,,left_only
第１０節第２日,j1_2026_04121603_川崎Ｆ_鹿島,2026-04-12 16:03:00,Ｕ等々力,川崎Ｆ,鹿島,0.0,2.0,3.15,7.41,0.0,0.0,,,,,,,3.15,7.41,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181903_名古屋_広島,2026-03-18 19:03:00,豊田ス,名古屋,広島,2.0,1.0,3.05,5.76,0.0,0.0,,,,,,,3.05,5.76,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181833_Ｃ大阪_岡山,2026-03-18 18:33:00,ヨドコウ,Ｃ大阪,岡山,1.0,2.0,3.16,6.53,0.0,0.0,,,,,,,3.16,6.53,,,,,,,,,,,left_only
