N,logloss,brier,top1_accuracy,pred_H_pct,pred_D_pct,pred_A_pct,pred_H_cnt,pred_D_cnt,pred_A_cnt,actual_H_pct,actual_D_pct,actual_A_pct,actual_H_cnt,actual_D_cnt,actual_A_cnt,prob_cols,set,league,dataset,season_year,season_label
15,1.534131676533213,0.9428724990218869,0.0,46.666666666666664,0.0,53.333333333333336,7,0,8,0.0,100.0,0.0,0,15,0,"prob_home_win,prob_draw,prob_away_win",baseline,j1,2026_r1to4,2026,j1_2026_r1to4
15,1.3564532366846973,0.845176376066346,0.0,46.666666666666664,0.0,53.333333333333336,7,0,8,0.0,100.0,0.0,0,15,0,"prob_home_win,prob_draw,prob_away_win",current,j1,2026_r1to4,2026,j1_2026_r1to4
