mode,after_ticket_generation_H,after_ticket_generation_D,after_ticket_generation_A,final_H,final_D,final_A,zero_uncovered_matches,all_same_matches,ticket_hit_counts,avg_hit_rate
balance_ha,59,39,32,63,38,29,3,4,NA(actual_result unavailable),
tri_argmax,68,30,32,66,35,29,3,3,NA(actual_result unavailable),
