ticket,hits,total,hit_rate
ticket01,2,13,0.15384615384615385
ticket02,2,13,0.15384615384615385
ticket03,2,13,0.15384615384615385
ticket04,2,13,0.15384615384615385
ticket05,2,13,0.15384615384615385
ticket06,2,13,0.15384615384615385
ticket07,2,13,0.15384615384615385
ticket08,2,13,0.15384615384615385
ticket09,2,13,0.15384615384615385
ticket10,2,13,0.15384615384615385
