ticket,hits,total,hit_rate,draw_count,sway_count,cluster_changes,basis_changes,role_family,role_unique_only,role_same_family,role_diff_family,role_mode,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count
ticket01,6,13,0.46153846153846156,7.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,none,0.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket02,8,13,0.6153846153846154,6.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,1.0,1.0,0.0,none,balanced,13.0,13.0,13.0
ticket03,6,13,0.46153846153846156,8.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,swing,1.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket04,6,13,0.46153846153846156,9.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=2,side=0 drawcmp=1 trap=0 split=0 balanced=1,none,0.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket05,7,13,0.5384615384615384,6.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,1.0,0.0,none,balanced,13.0,13.0,13.0
ticket06,6,13,0.46153846153846156,7.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,0.0,skip,balanced,13.0,13.0,13.0
ticket07,5,13,0.38461538461538464,4.0,5.0,draw=0 overlap=1 swing=0 neutral=0 hold=0,side=0 drawcmp=1 trap=0 split=0 balanced=0,swing,5.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket08,6,13,0.46153846153846156,7.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket09,6,13,0.46153846153846156,7.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,0.0,none,balanced,13.0,13.0,13.0
ticket10,6,13,0.46153846153846156,5.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,swing,2.0,0.0,0.0,none,balanced,13.0,13.0,13.0
