match_no,league,home_team,away_team,best_second,actual_symbol,actual_result,ticket01,ticket01_is_hit,ticket02,ticket02_is_hit,ticket03,ticket03_is_hit,ticket04,ticket04_is_hit,ticket05,ticket05_is_hit,ticket06,ticket06_is_hit,ticket07,ticket07_is_hit,ticket08,ticket08_is_hit,ticket09,ticket09_is_hit,ticket10,ticket10_is_hit
1,J1,清水,京都,best=2 second=0 third=1 (base=2) margin=0.387,0,D,2,False,2,False,2,False,2,False,2,False,2,False,0,True,2,False,2,False,2,False
2,J1,町田,水戸,best=1 second=2 third=0 (base=1) margin=0.231,0,D,1,False,1,False,1,False,1,False,2,False,1,False,1,False,1,False,1,False,1,False
3,J1,鹿島,横浜FM,best=1 second=0 third=2 (base=1) margin=0.436,1,H,1,True,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True
4,J1,柏,東京Ｖ,best=1 second=0 third=2 (base=1) margin=0.332,2,A,1,False,1,False,1,False,0,False,1,False,1,False,1,False,0,False,1,False,1,False
5,J1,福岡,Ｃ大阪,best=1 second=0 third=2 (base=1) margin=0.246,2,A,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,1,False
6,J1,広島,岡山,best=1 second=0 third=2 (base=1) margin=0.351,0,D,1,False,1,False,1,False,1,False,1,False,1,False,1,False,0,True,1,False,1,False
7,J1,FC東京,浦和,best=1 second=2 third=0 (base=1) margin=0.043,0,D,1,False,1,False,2,False,2,False,1,False,1,False,1,False,1,False,2,False,0,True
8,J1,千葉,川崎Ｆ,best=0 second=2 third=1 (base=0) margin=0.120,0,D,0,True,0,True,0,True,2,False,0,True,0,True,0,True,0,True,0,True,0,True
9,J1,Ｇ大阪,名古屋,best=1 second=0 third=2 (base=1) margin=0.453,0,D,1,False,1,False,1,False,1,False,1,False,1,False,0,True,1,False,1,False,1,False
10,J2,徳島,新潟,best=1 second=0 third=2 (base=1) margin=0.353,1,H,1,True,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True,1,True
11,J2,大宮,札幌,best=1 second=0 third=2 (base=1) margin=0.255,1,H,1,True,1,True,1,True,1,True,1,True,0,False,1,True,1,True,1,True,1,True
12,J2,横浜FC,仙台,best=2 second=1 third=0 (base=2) margin=0.209,2,A,2,True,2,True,2,True,2,True,1,False,2,True,2,True,2,True,1,False,2,True
13,J2,栃木Ｃ,秋田,best=1 second=0 third=2 (base=1) margin=0.236,2,A,1,False,1,False,1,False,1,False,1,False,0,False,1,False,1,False,1,False,1,False
