ticket,hits,total,hit_rate,avg_draw_count,avg_sway_count,avg_role_unique_only,avg_role_same_family,avg_role_diff_family,avg_base_miss_recovery,avg_base_hit_loss,avg_base_net_gain,avg_family_hit_unique,avg_family_hit_shared,base_miss_recovery_rate,mode_skip_rounds,mode_active_rounds,rounds
ticket02,71,190,0.3736842105263158,5.266666666666667,1.8,0.8666666666666667,0.6,0.3333333333333333,1.0,0.26666666666666666,0.7333333333333333,0.7333333333333333,4.0,0.07894736842105263,0,0,15
ticket03,64,190,0.3368421052631579,5.066666666666666,1.7333333333333334,1.1333333333333333,0.3333333333333333,0.26666666666666666,0.6666666666666666,0.4,0.26666666666666666,0.6,3.6666666666666665,0.05263157894736842,0,0,15
ticket05,58,190,0.30526315789473685,5.466666666666667,1.7333333333333334,0.9333333333333333,0.6,0.2,0.4666666666666667,0.6,-0.13333333333333333,0.13333333333333333,3.7333333333333334,0.03684210526315789,0,0,15
ticket06,57,190,0.3,5.066666666666666,0.7333333333333333,0.4666666666666667,0.06666666666666667,0.2,0.2,0.4,-0.2,0.2,3.6,0.015789473684210527,14,1,15
ticket07,66,190,0.3473684210526316,3.8666666666666667,2.8,1.6,0.7333333333333333,0.4666666666666667,1.3333333333333333,0.9333333333333333,0.4,0.8,3.6,0.10526315789473684,0,0,15
ticket08,63,190,0.33157894736842103,5.133333333333334,0.6666666666666666,0.13333333333333333,0.06666666666666667,0.4666666666666667,0.2,0.0,0.2,0.2,4.0,0.015789473684210527,0,0,15
ticket09,64,190,0.3368421052631579,5.0,0.4666666666666667,0.0,0.4,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.0,4.266666666666667,0.02631578947368421,0,0,15
ticket10,67,190,0.3526315789473684,3.933333333333333,2.2,1.1333333333333333,0.6,0.4666666666666667,1.0666666666666667,0.6,0.4666666666666667,0.7333333333333333,3.7333333333333334,0.08421052631578947,0,0,15
