節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第５節第１日,j1_2026_03071300_千葉_柏,2026-03-07 13:00:00,千葉,柏,,,0.5,True,0.425,0.251,0.324,H,,False,H
第５節第３日,j1_2026_03271900_神戸_広島,2026-03-27 19:00:00,神戸,広島,,,0.0,False,0.362,0.258,0.38,A,,False,A
第６節第１日,j1_2026_03141300_横浜FM_千葉,2026-03-14 13:00:00,横浜FM,千葉,,,0.0,False,0.344,0.255,0.401,D,,False,D
第６節第１日,j1_2026_03141400_水戸_FC東京,2026-03-14 14:00:00,水戸,FC東京,,,0.0,False,0.351,0.256,0.392,D,,False,D
第６節第１日,j1_2026_03141400_柏_町田,2026-03-14 14:00:00,柏,町田,,,-3.0,False,0.125,0.201,0.674,A,,False,A
第６節第１日,j1_2026_03141500_鹿島_川崎Ｆ,2026-03-14 15:00:00,鹿島,川崎Ｆ,,,2.0,True,0.504,0.237,0.259,H,,False,H
第６節第２日,j1_2026_03151400_長崎_福岡,2026-03-15 14:00:00,長崎,福岡,,,0.0,False,0.339,0.254,0.407,A,,False,A
第６節第１日,j1_2026_03141500_広島_Ｇ大阪,2026-03-14 15:00:00,広島,Ｇ大阪,,,0.0,False,0.411,0.253,0.336,H,,False,H
第６節第１日,j1_2026_03141400_京都_Ｃ大阪,2026-03-14 14:00:00,京都,Ｃ大阪,,,-2.0,False,0.225,0.229,0.546,A,,False,A
第６節第１日,j1_2026_03141400_名古屋_神戸,2026-03-14 14:00:00,名古屋,神戸,,,2.0,True,0.517,0.235,0.249,H,,False,H
第６節第１日,j1_2026_03141400_清水_岡山,2026-03-14 14:00:00,清水,岡山,,,0.0,False,0.318,0.249,0.433,A,,False,A
第６節第１日,j1_2026_03141600_東京Ｖ_浦和,2026-03-14 16:00:00,東京Ｖ,浦和,,,1.0,True,0.465,0.244,0.291,H,,False,H
第７節第１日,j1_2026_03181900_福岡_清水,2026-03-18 19:00:00,福岡,清水,,,0.5,True,0.397,0.255,0.348,H,,False,H
第７節第１日,j1_2026_03181900_長崎_京都,2026-03-18 19:00:00,長崎,京都,,,-1.0,False,0.229,0.23,0.541,A,,False,A
第７節第１日,j1_2026_03181900_神戸_Ｇ大阪,2026-03-18 19:00:00,神戸,Ｇ大阪,,,2.0,True,0.543,0.23,0.227,H,,False,H
第７節第１日,j1_2026_03181900_名古屋_広島,2026-03-18 19:00:00,名古屋,広島,,,0.0,False,0.37,0.26,0.37,D,,False,D
