節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第１節第１日,j2_2026_02071403_横浜FC_山形,2026-02-07 14:03:00,横浜FC,山形,1.0,2.0,-0.5,False,0.341,0.254,0.405,D,A,False,D
第１節第１日,j2_2026_02071403_栃木Ｃ_仙台,2026-02-07 14:03:00,栃木Ｃ,仙台,1.0,4.0,-3.0,False,0.203,0.224,0.573,A,A,True,A
第１節第１日,j2_2026_02071404_湘南_秋田,2026-02-07 14:04:00,湘南,秋田,1.0,2.0,-1.0,False,0.312,0.248,0.44,A,A,True,A
第１節第２日,j2_2026_02081405_いわき_札幌,2026-02-08 14:05:00,いわき,札幌,1.0,0.0,0.3333,True,0.393,0.256,0.351,H,H,True,H
第２節第２日,j2_2026_02151403_徳島_新潟,2026-02-15 14:03:00,徳島,新潟,4.0,0.0,0.0,False,0.37,0.26,0.37,H,H,True,H
第２節第１日,j2_2026_02141403_横浜FC_仙台,2026-02-14 14:03:00,横浜FC,仙台,0.0,1.0,-2.0,False,0.235,0.231,0.534,A,A,True,A
第２節第１日,j2_2026_02141403_大宮_札幌,2026-02-14 14:03:00,大宮,札幌,3.0,2.0,0.5,True,0.415,0.252,0.333,H,H,True,H
第２節第２日,j2_2026_02151403_栃木Ｃ_秋田,2026-02-15 14:03:00,栃木Ｃ,秋田,0.0,1.0,-3.0,False,0.185,0.219,0.595,A,A,True,A
第３節第１日,j2_2026_02211403_湘南_八戸,2026-02-21 14:03:00,湘南,八戸,1.0,0.0,1.6667,True,0.461,0.244,0.295,H,H,True,H
第３節第１日,j2_2026_02211403_藤枝_甲府,2026-02-21 14:03:00,藤枝,甲府,1.0,1.0,0.5,True,0.405,0.254,0.341,D,D,True,D
第３節第１日,j2_2026_02211403_宮崎_鳥栖,2026-02-21 14:03:00,宮崎,鳥栖,2.0,1.0,3.0,True,0.573,0.224,0.203,H,H,True,H
第３節第２日,j2_2026_02221403_横浜FC_栃木Ｃ,2026-02-22 14:03:00,横浜FC,栃木Ｃ,5.0,1.0,-0.5,False,0.341,0.254,0.405,A,H,False,A
第３節第２日,j2_2026_02221403_徳島_富山,2026-02-22 14:03:00,徳島,富山,1.0,3.0,-1.5,False,0.291,0.244,0.465,A,A,True,A
第４節第１日,j2_2026_02281303_仙台_八戸,2026-02-28 13:03:00,仙台,八戸,0.0,0.0,0.6667,True,0.487,0.24,0.273,H,D,False,H
第４節第１日,j2_2026_02281403_栃木Ｃ_湘南,2026-02-28 14:03:00,栃木Ｃ,湘南,1.0,3.0,-2.0,False,0.223,0.229,0.548,A,A,True,A
第４節第２日,j2_2026_03011403_今治_新潟,2026-03-01 14:03:00,今治,新潟,0.0,2.0,0.0,False,0.39,0.257,0.354,D,A,False,D
第４節第２日,j2_2026_03011403_いわき_藤枝,2026-03-01 14:03:00,いわき,藤枝,1.0,2.0,-1.6667,False,0.298,0.245,0.457,A,A,True,A
第５節第１日,j2_2026_03071403_藤枝_磐田,2026-03-07 14:03:00,藤枝,磐田,1.0,1.0,0.0,False,0.381,0.258,0.361,D,D,True,D
第５節第２日,j2_2026_03081303_八戸_横浜FC,2026-03-08 13:03:00,八戸,横浜FC,1.0,1.0,-0.5,False,0.379,0.258,0.362,H,D,False,H
第５節第２日,j2_2026_03081403_山形_秋田,2026-03-08 14:03:00,山形,秋田,0.0,1.0,-3.0,False,0.182,0.219,0.599,A,A,True,A
第５節第１日,j2_2026_03071403_いわき_大宮,2026-03-07 14:03:00,いわき,大宮,1.0,1.0,-0.6667,False,0.327,0.251,0.421,A,D,False,A
第５節第１日,j2_2026_03071403_仙台_湘南,2026-03-07 14:03:00,仙台,湘南,1.0,1.0,-1.0,False,0.392,0.256,0.352,H,D,False,H
第６節第２日,j2_2026_03151303_八戸_栃木Ｃ,2026-03-15 13:03:00,八戸,栃木Ｃ,0.0,1.0,-1.0,False,0.417,0.252,0.331,H,A,False,H
第６節第１日,j2_2026_03141403_宮崎_大分,2026-03-14 14:03:00,宮崎,大分,1.0,0.0,3.0,True,0.597,0.219,0.184,H,H,True,H
第６節第１日,j2_2026_03141403_湘南_山形,2026-03-14 14:03:00,湘南,山形,2.0,1.0,0.5,True,0.358,0.258,0.384,D,H,False,D
第６節第１日,j2_2026_03141403_磐田_札幌,2026-03-14 14:03:00,磐田,札幌,0.0,1.0,-1.0,False,0.379,0.258,0.362,H,A,False,H
第６節第１日,j2_2026_03141403_大宮_藤枝,2026-03-14 14:03:00,大宮,藤枝,1.0,2.0,-1.5,False,0.294,0.244,0.461,A,A,True,A
第６節第１日,j2_2026_03141403_甲府_いわき,2026-03-14 14:03:00,甲府,いわき,0.0,1.0,-3.0,False,0.197,0.222,0.58,A,A,True,A
第７節第１日,j2_2026_03201403_新潟_富山,2026-03-20 14:03:00,新潟,富山,2.0,3.0,-3.0,False,0.164,0.214,0.622,A,A,True,A
第７節第２日,j2_2026_03211403_秋田_八戸,2026-03-21 14:03:00,秋田,八戸,1.0,0.0,2.6667,True,0.694,0.196,0.11,H,H,True,H
第７節第１日,j2_2026_03211403_磐田_大宮,2026-03-21 14:03:00,磐田,大宮,1.0,4.0,-2.0,False,0.224,0.229,0.547,A,A,True,A
第７節第１日,j2_2026_03211403_札幌_甲府,2026-03-21 14:03:00,札幌,甲府,1.0,0.0,2.5,True,0.475,0.242,0.283,D,H,False,D
第７節第３日,j2_2026_03221403_山形_仙台,2026-03-22 14:03:00,山形,仙台,0.0,1.0,-3.0,False,0.166,0.214,0.62,A,A,True,A
第７節第２日,j2_2026_03221403_今治_徳島,2026-03-22 14:03:00,今治,徳島,2.0,1.0,1.5,True,0.437,0.249,0.315,H,H,True,H
第８節第２日,j2_2026_03291400_富山_今治,2026-03-29 14:00:00,富山,今治,,,0.0,False,0.487,0.24,0.273,H,,False,H
第８節第２日,j2_2026_03291400_いわき_磐田,2026-03-29 14:00:00,いわき,磐田,,,0.3333,True,0.455,0.245,0.3,H,,False,H
第８節第２日,j2_2026_03291400_山形_栃木Ｃ,2026-03-29 14:00:00,山形,栃木Ｃ,,,-1.5,False,0.447,0.247,0.306,H,,False,H
第８節第２日,j2_2026_03291400_秋田_仙台,2026-03-29 14:00:00,秋田,仙台,,,0.0,False,0.431,0.25,0.319,D,,False,D
第８節第１日,j2_2026_03281400_藤枝_札幌,2026-03-28 14:00:00,藤枝,札幌,,,0.0,False,0.497,0.238,0.265,D,,False,D
第８節第１日,j2_2026_03281400_甲府_大宮,2026-03-28 14:00:00,甲府,大宮,,,-2.0,False,0.209,0.225,0.566,A,,False,A
第８節第１日,j2_2026_03281400_横浜FC_湘南,2026-03-28 14:00:00,横浜FC,湘南,,,-1.0,False,0.214,0.227,0.559,A,,False,A
第９節第１日,j2_2026_04041400_横浜FC_秋田,2026-04-04 14:00:00,横浜FC,秋田,,,-2.0,False,0.088,0.187,0.726,A,,False,A
第９節第１日,j2_2026_04041400_磐田_甲府,2026-04-04 14:00:00,磐田,甲府,,,-0.5,False,0.331,0.252,0.417,A,,False,A
第９節第２日,j2_2026_04051400_鳥栖_大分,2026-04-05 14:00:00,鳥栖,大分,,,0.0,False,0.348,0.255,0.397,A,,False,A
第９節第２日,j2_2026_04051300_八戸_山形,2026-04-05 13:00:00,八戸,山形,,,-1.0,False,0.24,0.233,0.527,A,,False,A
第１０節第１日,j2_2026_04121400_栃木Ｃ_八戸,2026-04-12 14:00:00,栃木Ｃ,八戸,,,-0.3333,False,0.289,0.243,0.468,A,,False,A
第１０節第１日,j2_2026_04121400_山形_横浜FC,2026-04-12 14:00:00,山形,横浜FC,,,-1.0,False,0.382,0.258,0.36,D,,False,D
第１０節第１日,j2_2026_04121400_秋田_湘南,2026-04-12 14:00:00,秋田,湘南,,,1.0,True,0.58,0.223,0.197,H,,False,H
第１０節第１日,j2_2026_04111400_甲府_札幌,2026-04-11 14:00:00,甲府,札幌,,,-1.0,False,0.299,0.245,0.455,A,,False,A
第１１節第２日,j2_2026_04181400_新潟_今治,2026-04-18 14:00:00,新潟,今治,,,0.0,False,0.385,0.257,0.357,D,,False,D
第１１節第２日,j2_2026_04191400_山形_八戸,2026-04-19 14:00:00,山形,八戸,,,-0.3333,False,0.445,0.247,0.308,H,,False,H
第１１節第２日,j2_2026_04191400_秋田_横浜FC,2026-04-19 14:00:00,秋田,横浜FC,,,2.0,True,0.757,0.176,0.067,H,,False,H
第１１節第１日,j2_2026_04181400_甲府_藤枝,2026-04-18 14:00:00,甲府,藤枝,,,-3.0,False,0.101,0.193,0.706,A,,False,A
第１１節第１日,j2_2026_04181400_大宮_磐田,2026-04-18 14:00:00,大宮,磐田,,,0.5,True,0.545,0.229,0.225,D,,False,D
第１１節第１日,j2_2026_04181400_仙台_栃木Ｃ,2026-04-18 14:00:00,仙台,栃木Ｃ,,,-0.5,False,0.646,0.208,0.146,H,,False,H
第１２節第１日,j2_2026_04251400_仙台_山形,2026-04-25 14:00:00,仙台,山形,,,-0.5,False,0.525,0.233,0.242,H,,False,H
第１２節第２日,j2_2026_04261300_八戸_秋田,2026-04-26 13:00:00,八戸,秋田,,,-2.5,False,0.045,0.16,0.795,A,,False,A
第１２節第１日,j2_2026_04251400_今治_富山,2026-04-25 14:00:00,今治,富山,,,-1.5,False,0.142,0.207,0.651,A,,False,A
第１２節第１日,j2_2026_04251400_藤枝_大宮,2026-04-25 14:00:00,藤枝,大宮,,,-1.0,False,0.364,0.259,0.377,D,,False,D
第１２節第１日,j2_2026_04251400_札幌_いわき,2026-04-25 14:00:00,札幌,いわき,,,0.0,False,0.304,0.246,0.45,A,,False,A
第１３節第１日,j2_2026_04291400_横浜FC_八戸,2026-04-29 14:00:00,横浜FC,八戸,,,0.6667,True,0.449,0.246,0.304,D,,False,D
第１３節第１日,j2_2026_04291400_秋田_山形,2026-04-29 14:00:00,秋田,山形,,,1.5,True,0.73,0.185,0.085,H,,False,H
第１３節第１日,j2_2026_04291400_札幌_藤枝,2026-04-29 14:00:00,札幌,藤枝,,,0.0,False,0.24,0.233,0.527,A,,False,A
第１３節第１日,j2_2026_04291400_大宮_甲府,2026-04-29 14:00:00,大宮,甲府,,,1.0,True,0.59,0.22,0.189,H,,False,H
第１３節第１日,j2_2026_04291400_富山_新潟,2026-04-29 14:00:00,富山,新潟,,,-1.5,False,0.476,0.242,0.282,H,,False,H
第１４節第１日,j2_2026_05021400_湘南_栃木Ｃ,2026-05-02 14:00:00,湘南,栃木Ｃ,,,0.5,True,0.688,0.198,0.114,H,,False,H
第１４節第１日,j2_2026_05021400_鳥栖_宮崎,2026-05-02 14:00:00,鳥栖,宮崎,,,0.0,False,0.198,0.223,0.579,D,,False,D
第１４節第１日,j2_2026_05021400_磐田_いわき,2026-05-02 14:00:00,磐田,いわき,,,-3.0,False,0.1,0.192,0.707,A,,False,A
第１４節第１日,j2_2026_05021400_仙台_秋田,2026-05-02 14:00:00,仙台,秋田,,,-2.0,False,0.161,0.213,0.627,A,,False,A
第１５節第１日,j2_2026_05061400_新潟_徳島,2026-05-06 14:00:00,新潟,徳島,,,0.0,False,0.385,0.257,0.358,D,,False,D
第１５節第１日,j2_2026_05061400_甲府_磐田,2026-05-06 14:00:00,甲府,磐田,,,-1.0,False,0.332,0.252,0.416,A,,False,A
第１５節第１日,j2_2026_05061400_大宮_いわき,2026-05-06 14:00:00,大宮,いわき,,,-1.5,False,0.293,0.244,0.463,A,,False,A
第１５節第１日,j2_2026_05061400_栃木Ｃ_横浜FC,2026-05-06 14:00:00,栃木Ｃ,横浜FC,,,-1.0,False,0.25,0.235,0.515,A,,False,A
第１５節第１日,j2_2026_05061400_八戸_湘南,2026-05-06 14:00:00,八戸,湘南,,,-1.5,False,0.094,0.19,0.716,A,,False,A
第１６節第２日,j2_2026_05101400_大分_鳥栖,2026-05-10 14:00:00,大分,鳥栖,,,0.0,False,0.394,0.256,0.35,D,,False,D
第１６節第２日,j2_2026_05101400_湘南_横浜FC,2026-05-10 14:00:00,湘南,横浜FC,,,1.0,True,0.68,0.2,0.12,H,,False,H
第１６節第２日,j2_2026_05101400_八戸_仙台,2026-05-10 14:00:00,八戸,仙台,,,-2.5,False,0.055,0.168,0.777,A,,False,A
第１６節第１日,j2_2026_05091400_いわき_甲府,2026-05-09 14:00:00,いわき,甲府,,,0.8333,True,0.603,0.218,0.179,H,,False,H
第１６節第１日,j2_2026_05091400_札幌_大宮,2026-05-09 14:00:00,札幌,大宮,,,1.0,True,0.349,0.256,0.395,A,,False,A
第１７節第１日,j2_2026_05161430_磐田_藤枝,2026-05-16 14:30:00,磐田,藤枝,,,-3.0,False,0.056,0.169,0.775,A,,False,A
第１７節第１日,j2_2026_05161400_湘南_仙台,2026-05-16 14:00:00,湘南,仙台,,,-1.0,False,0.283,0.242,0.475,D,,False,D
第１７節第１日,j2_2026_05161400_栃木Ｃ_山形,2026-05-16 14:00:00,栃木Ｃ,山形,,,-1.5,False,0.172,0.216,0.612,A,,False,A
第１７節第２日,j2_2026_05171400_富山_徳島,2026-05-17 14:00:00,富山,徳島,,,0.0,False,0.641,0.209,0.149,H,,False,H
第１７節第２日,j2_2026_05171400_大分_宮崎,2026-05-17 14:00:00,大分,宮崎,,,0.0,False,0.186,0.22,0.595,A,,False,A
第１８節第２日,j2_2026_05241400_徳島_今治,2026-05-24 14:00:00,徳島,今治,,,1.5,True,0.47,0.243,0.287,D,,False,D
第１８節第２日,j2_2026_05241400_山形_湘南,2026-05-24 14:00:00,山形,湘南,,,-2.0,False,0.114,0.197,0.689,A,,False,A
第１８節第２日,j2_2026_05241400_秋田_栃木Ｃ,2026-05-24 14:00:00,秋田,栃木Ｃ,,,1.5,True,0.832,0.141,0.027,H,,False,H
第１８節第１日,j2_2026_05231400_藤枝_いわき,2026-05-23 14:00:00,藤枝,いわき,,,-2.0,False,0.336,0.253,0.411,D,,False,D
第１８節第１日,j2_2026_05231400_札幌_磐田,2026-05-23 14:00:00,札幌,磐田,,,2.0,True,0.638,0.21,0.152,H,,False,H
第１８節第１日,j2_2026_05231400_仙台_横浜FC,2026-05-23 14:00:00,仙台,横浜FC,,,0.0,False,0.672,0.202,0.126,H,,False,H
