節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第１節第１日,j2_2025_02151403_鳥栖_仙台,2025-02-15 14:03:00,鳥栖,仙台,0,1,0.0526,True,0.374,0.259,0.367,D,A,False,D
第１節第１日,j2_2025_02151403_甲府_山口,2025-02-15 14:03:00,甲府,山口,1,0,0.3684,True,0.396,0.256,0.349,H,H,True,H
第１節第１日,j2_2025_02151403_いわき_千葉,2025-02-15 14:03:00,いわき,千葉,0,2,-0.3158,False,0.352,0.256,0.392,A,A,True,A
第１節第１日,j2_2025_02151403_藤枝_徳島,2025-02-15 14:03:00,藤枝,徳島,0,2,-0.4737,False,0.342,0.254,0.403,A,A,True,A
第１節第１日,j2_2025_02151403_大宮_山形,2025-02-15 14:03:00,大宮,山形,2,1,0.3684,True,0.396,0.256,0.349,H,H,True,H
第１節第１日,j2_2025_02151404_磐田_水戸,2025-02-15 14:04:00,磐田,水戸,3,2,0.0526,True,0.374,0.259,0.367,D,H,False,D
第１節第１日,j2_2025_02151903_長崎_熊本,2025-02-15 19:03:00,長崎,熊本,3,2,1.2632,True,0.459,0.245,0.296,H,H,True,H
第１節第２日,j2_2025_02161253_愛媛_富山,2025-02-16 12:53:00,愛媛,富山,0,1,-0.5789,False,0.336,0.253,0.411,A,A,True,A
第１節第２日,j2_2025_02161313_今治_秋田,2025-02-16 13:13:00,今治,秋田,0,1,-0.0526,False,0.367,0.259,0.374,D,A,False,D
第１節第２日,j2_2025_02161403_大分_札幌,2025-02-16 14:03:00,大分,札幌,2,0,-0.0526,False,0.367,0.259,0.374,A,H,False,A
第２節第１日,j2_2025_02221403_大宮_甲府,2025-02-22 14:03:00,大宮,甲府,1,0,0.4211,True,0.4,0.255,0.345,D,H,False,D
第２節第１日,j2_2025_02221403_千葉_富山,2025-02-22 14:03:00,千葉,富山,2,0,0.8947,True,0.433,0.249,0.318,H,H,True,H
第２節第１日,j2_2025_02221403_磐田_鳥栖,2025-02-22 14:03:00,磐田,鳥栖,1,0,0.5263,True,0.43,0.25,0.32,H,H,True,H
第２節第２日,j2_2025_02231303_山口_長崎,2025-02-23 13:03:00,山口,長崎,2,2,-0.4211,False,0.329,0.252,0.42,A,D,False,A
第２節第２日,j2_2025_02231303_熊本_札幌,2025-02-23 13:03:00,熊本,札幌,3,0,-0.1053,False,0.364,0.259,0.377,D,H,False,D
第２節第２日,j2_2025_02231400_徳島_仙台,2025-02-23 14:00:00,徳島,仙台,1,0,0.0,False,0.37,0.26,0.37,D,H,False,D
第２節第２日,j2_2025_02231403_今治_藤枝,2025-02-23 14:03:00,今治,藤枝,0,0,0.3158,True,0.392,0.256,0.352,H,D,False,H
第２節第２日,j2_2025_02231403_大分_いわき,2025-02-23 14:03:00,大分,いわき,0,0,-0.2632,False,0.375,0.259,0.366,H,D,False,H
第２節第２日,j2_2025_02231403_水戸_山形,2025-02-23 14:03:00,水戸,山形,1,0,0.5789,True,0.411,0.253,0.336,H,H,True,H
第２節第２日,j2_2025_02231503_愛媛_秋田,2025-02-23 15:03:00,愛媛,秋田,1,2,-0.7895,False,0.302,0.246,0.452,A,A,True,A
第３節第１日,j2_2025_03011303_仙台_大分,2025-03-01 13:03:00,仙台,大分,2,0,0.7895,True,0.425,0.251,0.324,H,H,True,H
第３節第１日,j2_2025_03011403_千葉_山形,2025-03-01 14:03:00,千葉,山形,3,2,0.5263,True,0.472,0.242,0.285,H,H,True,H
第３節第１日,j2_2025_03011403_藤枝_秋田,2025-03-01 14:03:00,藤枝,秋田,2,1,0.1053,True,0.324,0.251,0.425,A,H,False,A
第３節第１日,j2_2025_03011403_長崎_磐田,2025-03-01 14:03:00,長崎,磐田,1,0,0.5263,True,0.399,0.255,0.346,H,H,True,H
第３節第１日,j2_2025_03011403_鳥栖_今治,2025-03-01 14:03:00,鳥栖,今治,1,4,0.0526,True,0.367,0.259,0.373,D,A,False,D
第３節第２日,j2_2025_03021303_熊本_大宮,2025-03-02 13:03:00,熊本,大宮,0,4,-0.4737,False,0.31,0.248,0.442,A,A,True,A
